corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2	Tatoeba	v2023-04-12	232	482	228	98.27	47.30
Tatoeba	v2	Tatoeba	v2022-03-03	232	464	228	98.27	49.13
Tatoeba	v2	Tatoeba	v2021-03-10	232	460	228	98.27	49.56
Tatoeba	v2	Tatoeba	v2021-07-22	232	460	228	98.27	49.56
Tatoeba	v2	Tatoeba	v2020-11-09	232	459	228	98.27	49.67
Tatoeba	v2	Tatoeba	v2020-05-31	232	457	228	98.27	49.89
Tatoeba	v2	Tatoeba	v20190709	232	454	228	98.27	50.22
Tatoeba	v2	NLLB	v1	232	30902595	6	2.58	0
Tatoeba	v2	wikimedia	v20230407	232	899002	1	.43	0
Tatoeba	v2	Tanzil	v1	232	137534	0	0	0
Tatoeba	v2	KDE4	v2	232	35265	0	0	0
Tatoeba	v2	TED2020	v1	232	6166	0	0	0
Tatoeba	v2	GNOME	v1	232	5474	0	0	0
Tatoeba	v2	wikimedia	v20210402	232	5222	0	0	0
Tatoeba	v2	QED	v2.0a	232	3310	0	0	0
Tatoeba	v2	Ubuntu	v14.10	232	2124	0	0	0
Tatoeba	v2	wikimedia	v20190628	232	71	0	0	0
