corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2	Tatoeba	v20190709	154660	707362	150613	97.38	21.29
Tatoeba	v2	Tatoeba	v2022-03-03	154660	915518	150530	97.32	16.44
Tatoeba	v2	Tatoeba	v2021-03-10	154660	848702	150522	97.32	17.73
Tatoeba	v2	Tatoeba	v2020-11-09	154660	827336	150522	97.32	18.19
Tatoeba	v2	Tatoeba	v2021-07-22	154660	817443	150516	97.32	18.41
Tatoeba	v2	Tatoeba	v2020-05-31	154660	780617	150520	97.32	19.28
Tatoeba	v2	OpenSubtitles	v2018	154660	25317409	26229	16.95	.10
Tatoeba	v2	CCAligned	v1	154660	72184499	8684	5.61	.01
Tatoeba	v2	MultiCCAligned	v1.1	154660	72184380	8684	5.61	.01
Tatoeba	v2	CCMatrix	v1	154660	107495399	6942	4.48	0
Tatoeba	v2	QED	v2.0a	154660	841910	3820	2.46	.45
Tatoeba	v2	OpenSubtitles	v1	154660	83473	2191	1.41	2.62
Tatoeba	v2	MultiParaCrawl	v8	154660	5497548	1775	1.14	.03
Tatoeba	v2	MultiParaCrawl	v9	154660	5497548	1775	1.14	.03
Tatoeba	v2	MultiParaCrawl	v9b	154660	5497548	1775	1.14	.03
Tatoeba	v2	ParaCrawl	v9	154660	5497548	1775	1.14	.03
Tatoeba	v2	ChuBiCo	v1	154660	1000235	1753	1.13	.17
Tatoeba	v2	WikiMatrix	v1	154660	17796859	1425	.92	0
Tatoeba	v2	TED2020	v1	154660	426136	1371	.88	.32
Tatoeba	v2	UNPC	v1.0	154660	21234699	487	.31	0
Tatoeba	v2	GlobalVoices	v2018q4	154660	199016	402	.25	.20
Tatoeba	v2	TED2013	v1.1	154660	132320	327	.21	.24
Tatoeba	v2	GlobalVoices	v2017q3	154660	157414	315	.20	.20
Tatoeba	v2	GlobalVoices	v2015	154660	103572	217	.14	.20
Tatoeba	v2	News-Commentary	v16	154660	387244	179	.11	.04
Tatoeba	v2	News-Commentary	v14	154660	332801	167	.10	.05
Tatoeba	v2	wikimedia	v20210402	154660	2066455	145	.09	0
Tatoeba	v2	News-Commentary	v9.0	154660	240944	126	.08	.05
Tatoeba	v2	News-Commentary	v9.1	154660	240944	126	.08	.05
Tatoeba	v2	News-Commentary	v11	154660	224379	135	.08	.06
Tatoeba	v2	Books	v1	154660	26812	127	.08	.47
Tatoeba	v2	Wikipedia	v1.0	154660	659214	100	.06	.01
Tatoeba	v2	Mozilla-I10n	v1	154660	50942	81	.05	.15
Tatoeba	v2	WikiTitles	v3	154660	1034886	61	.03	0
Tatoeba	v2	KDE4	v2	154660	138754	34	.02	.02
Tatoeba	v2	Tanzil	v1	154660	118260	31	.02	.02
Tatoeba	v2	bible-uedin	v1	154660	34670	33	.02	.09
Tatoeba	v2	EUbookshop	v2	154660	65993	29	.01	.04
Tatoeba	v2	TildeMODEL	v2018	154660	40309	19	.01	.04
Tatoeba	v2	MultiUN	v1	154660	10186416	0	0	0
Tatoeba	v2	XLEnt	v1.1	154660	6553510	0	0	0
Tatoeba	v2	XLEnt	v1	154660	6553510	0	0	0
Tatoeba	v2	ELRC-5183-SciPar_Ukraine	v1	154660	139599	0	0	0
Tatoeba	v2	UN	v20090831	154660	57771	0	0	0
Tatoeba	v2	OpenOffice	v3	154660	46793	5	0	.01
Tatoeba	v2	wikimedia	v20190628	154660	39686	3	0	0
Tatoeba	v2	GoURMET	v1	154660	23461	15	0	.06
Tatoeba	v2	komi	v1	154660	22715	2	0	0
Tatoeba	v2	infopankki	v1	154660	21525	4	0	.01
Tatoeba	v2	ELRC_2922	v1	154660	4074	0	0	0
Tatoeba	v2	ELRC-3075-wikipedia_health	v1	154660	4074	0	0	0
Tatoeba	v2	ELRC-wikipedia_health	v1	154660	4074	0	0	0
Tatoeba	v2	ada83	v1	154660	4038	0	0	0
Tatoeba	v2	ELRC-5067-SciPar	v1	154660	3995	1	0	.02
Tatoeba	v2	GNOME	v1	154660	3488	4	0	.11
Tatoeba	v2	tico-19	v2020-10-28	154660	3322	0	0	0
Tatoeba	v2	KDEdoc	v1	154660	2897	3	0	.10
Tatoeba	v2	WMT-News	v2019	154660	1994	3	0	.15
Tatoeba	v2	ELRC-3855-SWPS_University_Soci	v1	154660	111	1	0	.90
Tatoeba	v2	Ubuntu	v14.10	154660	45	0	0	0
