corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v20190709	Tatoeba	v2022-03-03	92	111	92	100.00	82.88
Tatoeba	v20190709	Tatoeba	v2021-07-22	92	109	92	100.00	84.40
Tatoeba	v20190709	Tatoeba	v2021-03-10	92	107	92	100.00	85.98
Tatoeba	v20190709	Tatoeba	v2020-11-09	92	106	92	100.00	86.79
Tatoeba	v20190709	Tatoeba	v2020-05-31	92	93	92	100.00	98.92
Tatoeba	v20190709	XLEnt	v1.1	92	24459	0	0	0
Tatoeba	v20190709	XLEnt	v1	92	24459	0	0	0
Tatoeba	v20190709	WikiMatrix	v1	92	16991	0	0	0
Tatoeba	v20190709	wikimedia	v20210402	92	808	0	0	0
Tatoeba	v20190709	wikimedia	v20190628	92	17	0	0	0
