corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v20190709	Tatoeba	v2020-11-09	17	18	17	100.00	94.44
Tatoeba	v20190709	Tatoeba	v2021-03-10	17	18	17	100.00	94.44
Tatoeba	v20190709	Tatoeba	v2021-07-22	17	18	17	100.00	94.44
Tatoeba	v20190709	Tatoeba	v2022-03-03	17	18	17	100.00	94.44
Tatoeba	v20190709	Tatoeba	v2020-05-31	17	17	17	100.00	100.00
Tatoeba	v20190709	XLEnt	v1.1	17	19423	0	0	0
Tatoeba	v20190709	XLEnt	v1	17	19423	0	0	0
Tatoeba	v20190709	WikiMatrix	v1	17	10435	0	0	0
Tatoeba	v20190709	wikimedia	v20190628	17	117	0	0	0
Tatoeba	v20190709	wikimedia	v20210402	17	107	0	0	0
