corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v20190709	Tatoeba	v2020-11-09	26	27	26	100.00	96.29
Tatoeba	v20190709	Tatoeba	v2021-03-10	26	27	26	100.00	96.29
Tatoeba	v20190709	Tatoeba	v2021-07-22	26	27	26	100.00	96.29
Tatoeba	v20190709	Tatoeba	v2022-03-03	26	27	26	100.00	96.29
Tatoeba	v20190709	Tatoeba	v2020-05-31	26	26	26	100.00	100.00
Tatoeba	v20190709	CCAligned	v1	26	491433	0	0	0
Tatoeba	v20190709	CCMatrix	v1	26	270600	0	0	0
Tatoeba	v20190709	XLEnt	v1.1	26	139933	0	0	0
Tatoeba	v20190709	XLEnt	v1	26	139933	0	0	0
Tatoeba	v20190709	wikimedia	v20210402	26	2260	0	0	0
Tatoeba	v20190709	wikimedia	v20190628	26	453	0	0	0
