corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v20190709	Tatoeba	v2023-04-12	5318	6849	5318	100.00	77.64
Tatoeba	v20190709	Tatoeba	v2022-03-03	5318	5689	5318	100.00	93.47
Tatoeba	v20190709	Tatoeba	v2021-07-22	5318	5633	5318	100.00	94.40
Tatoeba	v20190709	Tatoeba	v2021-03-10	5318	5630	5318	100.00	94.45
Tatoeba	v20190709	Tatoeba	v2020-11-09	5318	5517	5318	100.00	96.39
Tatoeba	v20190709	Tatoeba	v2020-05-31	5318	5324	5315	99.94	99.83
Tatoeba	v20190709	Tatoeba	v2	5318	2166	2000	37.60	92.33
Tatoeba	v20190709	CCMatrix	v1	5318	49682115	105	1.97	0
Tatoeba	v20190709	NLLB	v1	5318	49681154	105	1.97	0
Tatoeba	v20190709	OpenSubtitles	v2018	5318	3046635	73	1.37	0
Tatoeba	v20190709	OpenSubtitles	v2016	5318	1990878	63	1.18	0
Tatoeba	v20190709	MultiCCAligned	v1	5318	12230118	49	.92	0
Tatoeba	v20190709	CCAligned	v1	5318	12229912	49	.92	0
Tatoeba	v20190709	QED	v2.0a	5318	315775	18	.33	0
Tatoeba	v20190709	ParaCrawl-Bonus	v9	5318	6255074	17	.31	0
Tatoeba	v20190709	HPLT	v2	5318	19231734	10	.18	0
Tatoeba	v20190709	TED2020	v1	5318	319120	4	.07	0
Tatoeba	v20190709	NeuLab-TedTalks	v1	5318	180861	1	.01	0
Tatoeba	v20190709	translatewiki	v2025-01-01	5318	34254	1	.01	0
Tatoeba	v20190709	WikiMatrix	v1	5318	1073752	0	0	0
Tatoeba	v20190709	wikimedia	v20230407	5318	613874	0	0	0
Tatoeba	v20190709	wikimedia	v20210402	5318	549683	0	0	0
Tatoeba	v20190709	StanfordNLP-NMT	v1.0	5318	133039	0	0	0
Tatoeba	v20190709	bible-uedin	v1	5318	119297	0	0	0
Tatoeba	v20190709	KDE4	v2	5318	39809	0	0	0
Tatoeba	v20190709	Wikipedia	v1.0	5318	36186	0	0	0
Tatoeba	v20190709	Ubuntu	v14.10	5318	5036	0	0	0
Tatoeba	v20190709	ELRC-3086-wikipedia_health	v1	5318	4274	0	0	0
Tatoeba	v20190709	ELRC-wikipedia_health	v1	5318	4274	0	0	0
Tatoeba	v20190709	ELRC_2922	v1	5318	4273	0	0	0
Tatoeba	v20190709	GNOME	v1	5318	148	0	0	0
Tatoeba	v20190709	XLEnt	v1.1	5318	3	0	0	0
Tatoeba	v20190709	XLEnt	v1.2	5318	3	0	0	0
Tatoeba	v20190709	XLEnt	v1	5318	3	0	0	0
