corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v20190709	Tatoeba	v2023-04-12	78205	78516	78205	100.00	99.60
Tatoeba	v20190709	Tatoeba	v2022-03-03	78205	78413	78205	100.00	99.73
Tatoeba	v20190709	Tatoeba	v2021-07-22	78205	78406	78205	100.00	99.74
Tatoeba	v20190709	Tatoeba	v2021-03-10	78205	78403	78205	100.00	99.74
Tatoeba	v20190709	Tatoeba	v2020-11-09	78205	78352	78205	100.00	99.81
Tatoeba	v20190709	Tatoeba	v2020-05-31	78205	78212	78205	100.00	99.99
Tatoeba	v20190709	OpenSubtitles	v2018	78205	3350344	9770	12.49	.29
Tatoeba	v20190709	OpenSubtitles	v2016	78205	2800956	9183	11.74	.32
Tatoeba	v20190709	OpenSubtitles	v2012	78205	892652	5257	6.72	.58
Tatoeba	v20190709	OpenSubtitles	v2013	78205	466820	3810	4.87	.81
Tatoeba	v20190709	CCMatrix	v1	78205	8977047	447	.57	0
Tatoeba	v20190709	NLLB	v1	78205	8977022	447	.57	0
Tatoeba	v20190709	CCAligned	v1	78205	1839468	395	.50	.02
Tatoeba	v20190709	MultiCCAligned	v1.1	78205	1839467	395	.50	.02
Tatoeba	v20190709	MultiCCAligned	v1	78205	1839467	395	.50	.02
Tatoeba	v20190709	QED	v2.0a	78205	74147	388	.49	.52
Tatoeba	v20190709	TED2020	v1	78205	48481	176	.22	.36
Tatoeba	v20190709	HPLT	v1	78205	1065687	159	.20	.01
Tatoeba	v20190709	MultiHPLT	v1	78205	1065687	159	.20	.01
Tatoeba	v20190709	NeuLab-TedTalks	v1	78205	30488	130	.16	.42
Tatoeba	v20190709	GlobalVoices	v2018q4	78205	58840	73	.09	.12
Tatoeba	v20190709	GlobalVoices	v2017q3	78205	55313	71	.09	.12
Tatoeba	v20190709	MaCoCu	v2	78205	380089	63	.08	.01
Tatoeba	v20190709	MultiMaCoCu	v2	78205	380089	63	.08	.01
Tatoeba	v20190709	GlobalVoices	v2015	78205	51838	65	.08	.12
Tatoeba	v20190709	WikiMatrix	v1	78205	1263561	48	.06	0
Tatoeba	v20190709	wikimedia	v20230407	78205	564381	19	.02	0
Tatoeba	v20190709	SETIMES	v2	78205	210945	21	.02	0
Tatoeba	v20190709	wikimedia	v20210402	78205	232656	9	.01	0
Tatoeba	v20190709	GoURMET	v2	78205	58436	10	.01	.01
Tatoeba	v20190709	XLEnt	v1.1	78205	1378463	0	0	0
Tatoeba	v20190709	XLEnt	v1.2	78205	1378463	0	0	0
Tatoeba	v20190709	XLEnt	v1	78205	1378463	0	0	0
Tatoeba	v20190709	KDE4	v2	78205	46830	4	0	0
Tatoeba	v20190709	Mozilla-I10n	v1	78205	7887	7	0	.08
Tatoeba	v20190709	wikimedia	v20190628	78205	6746	0	0	0
Tatoeba	v20190709	ELRC-5067-SciPar	v1	78205	5306	1	0	.01
Tatoeba	v20190709	EUbookshop	v2	78205	4144	0	0	0
Tatoeba	v20190709	GNOME	v1	78205	2462	0	0	0
Tatoeba	v20190709	ELRC_2922	v1	78205	754	0	0	0
Tatoeba	v20190709	ELRC-3050-wikipedia_health	v1	78205	754	0	0	0
Tatoeba	v20190709	ELRC-wikipedia_health	v1	78205	754	0	0	0
Tatoeba	v20190709	Ubuntu	v14.10	78205	24	0	0	0
