corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2020-05-31	Tatoeba	v2021-03-10	1	5	1	100.00	20.00
Tatoeba	v2020-05-31	Tatoeba	v2021-07-22	1	5	1	100.00	20.00
Tatoeba	v2020-05-31	Tatoeba	v2022-03-03	1	5	1	100.00	20.00
Tatoeba	v2020-05-31	Tatoeba	v2020-11-09	1	4	1	100.00	25.00
Tatoeba	v2020-05-31	CCAligned	v1	1	363369	0	0	0
Tatoeba	v2020-05-31	CCMatrix	v1	1	221310	0	0	0
Tatoeba	v2020-05-31	Tanzil	v1	1	92769	0	0	0
Tatoeba	v2020-05-31	XLEnt	v1.1	1	68709	0	0	0
Tatoeba	v2020-05-31	XLEnt	v1	1	68709	0	0	0
Tatoeba	v2020-05-31	bible-uedin	v1	1	61572	0	0	0
Tatoeba	v2020-05-31	ParaCrawl	v9	1	14736	0	0	0
Tatoeba	v2020-05-31	infopankki	v1	1	14277	0	0	0
Tatoeba	v2020-05-31	tico-19	v2020-10-28	1	3071	0	0	0
Tatoeba	v2020-05-31	TED2020	v1	1	1971	0	0	0
Tatoeba	v2020-05-31	wikimedia	v20210402	1	945	0	0	0
Tatoeba	v2020-05-31	GNOME	v1	1	751	0	0	0
Tatoeba	v2020-05-31	wikimedia	v20190628	1	673	0	0	0
Tatoeba	v2020-05-31	Ubuntu	v14.10	1	28	0	0	0
