corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2020-05-31	Tatoeba	v2023-04-12	1451	1474	1451	100.00	98.43
Tatoeba	v2020-05-31	Tatoeba	v2021-07-22	1451	1456	1451	100.00	99.65
Tatoeba	v2020-05-31	Tatoeba	v2022-03-03	1451	1456	1451	100.00	99.65
Tatoeba	v2020-05-31	Tatoeba	v2021-03-10	1451	1455	1451	100.00	99.72
Tatoeba	v2020-05-31	Tatoeba	v2020-11-09	1451	1454	1451	100.00	99.79
Tatoeba	v2020-05-31	Tatoeba	v20190709	1451	1414	1414	97.45	100.00
Tatoeba	v2020-05-31	Tatoeba	v2	1451	362	289	19.91	79.83
Tatoeba	v2020-05-31	NLLB	v1	1451	10319904	53	3.65	0
Tatoeba	v2020-05-31	QED	v2.0a	1451	586	1	.06	.17
Tatoeba	v2020-05-31	Tanzil	v1	1451	121603	0	0	0
Tatoeba	v2020-05-31	XLEnt	v1.1	1451	33211	0	0	0
Tatoeba	v2020-05-31	XLEnt	v1	1451	33211	0	0	0
Tatoeba	v2020-05-31	XLEnt	v1.2	1451	33211	0	0	0
Tatoeba	v2020-05-31	WikiMatrix	v1	1451	32154	0	0	0
Tatoeba	v2020-05-31	Ubuntu	v14.10	1451	3684	0	0	0
Tatoeba	v2020-05-31	wikimedia	v20230407	1451	754	0	0	0
Tatoeba	v2020-05-31	GNOME	v1	1451	730	0	0	0
Tatoeba	v2020-05-31	wikimedia	v20210402	1451	587	0	0	0
Tatoeba	v2020-05-31	TED2020	v1	1451	264	0	0	0
Tatoeba	v2020-05-31	wikimedia	v20190628	1451	203	0	0	0
