corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2020-11-09	Tatoeba	v2023-04-12	6505	8337	6505	100.00	78.02
Tatoeba	v2020-11-09	Tatoeba	v2022-03-03	6505	8268	6505	100.00	78.67
Tatoeba	v2020-11-09	Tatoeba	v2021-07-22	6505	8199	6505	100.00	79.33
Tatoeba	v2020-11-09	Tatoeba	v2021-03-10	6505	7955	6505	100.00	81.77
Tatoeba	v2020-11-09	Tatoeba	v2020-05-31	6505	6213	6213	95.51	100.00
Tatoeba	v2020-11-09	Tatoeba	v20190709	6505	6135	6134	94.29	99.98
Tatoeba	v2020-11-09	Tatoeba	v2	6505	4872	4844	74.46	99.42
Tatoeba	v2020-11-09	OpenSubtitles	v2018	6505	456959	299	4.59	.06
Tatoeba	v2020-11-09	OpenSubtitles	v2016	6505	390246	286	4.39	.07
Tatoeba	v2020-11-09	MultiParaCrawl	v8	6505	31837190	190	2.92	0
Tatoeba	v2020-11-09	ParaCrawl	v8	6505	31837190	190	2.92	0
Tatoeba	v2020-11-09	OpenSubtitles	v2012	6505	111184	169	2.59	.15
Tatoeba	v2020-11-09	MultiCCAligned	v1.1	6505	5854732	166	2.55	0
Tatoeba	v2020-11-09	MultiCCAligned	v1	6505	5854732	166	2.55	0
Tatoeba	v2020-11-09	CCAligned	v1	6505	5854730	166	2.55	0
Tatoeba	v2020-11-09	OpenSubtitles	v2013	6505	85021	161	2.47	.18
Tatoeba	v2020-11-09	CCMatrix	v1	6505	50785503	138	2.12	0
Tatoeba	v2020-11-09	NLLB	v1	6505	50701984	137	2.10	0
Tatoeba	v2020-11-09	MultiParaCrawl	v9	6505	16255585	124	1.90	0
Tatoeba	v2020-11-09	MultiParaCrawl	v9b	6505	16255585	124	1.90	0
Tatoeba	v2020-11-09	ParaCrawl	v9	6505	16255585	124	1.90	0
Tatoeba	v2020-11-09	MultiParaCrawl	v7.1	6505	6284190	104	1.59	0
Tatoeba	v2020-11-09	ParaCrawl	v7.1	6505	6284190	104	1.59	0
Tatoeba	v2020-11-09	HPLT	v1	6505	7919073	78	1.19	0
Tatoeba	v2020-11-09	MultiHPLT	v1	6505	7919073	78	1.19	0
Tatoeba	v2020-11-09	QED	v2.0a	6505	90557	67	1.02	.07
Tatoeba	v2020-11-09	MaCoCu	v2	6505	3127073	56	.86	0
Tatoeba	v2020-11-09	MultiMaCoCu	v2	6505	3127073	56	.86	0
Tatoeba	v2020-11-09	TED2020	v1	6505	57042	29	.44	.05
Tatoeba	v2020-11-09	WikiMatrix	v1	6505	6220718	20	.30	0
Tatoeba	v2020-11-09	GlobalVoices	v2018q4	6505	25928	12	.18	.04
Tatoeba	v2020-11-09	GlobalVoices	v2017q3	6505	25573	12	.18	.04
Tatoeba	v2020-11-09	GlobalVoices	v2015	6505	24258	10	.15	.04
Tatoeba	v2020-11-09	Mozilla-I10n	v1	6505	26545	8	.12	.03
Tatoeba	v2020-11-09	wikimedia	v20230407	6505	1263703	7	.10	0
Tatoeba	v2020-11-09	DOGC	v2	6505	4430758	6	.09	0
Tatoeba	v2020-11-09	wikimedia	v20210402	6505	856154	6	.09	0
Tatoeba	v2020-11-09	KDE4	v2	6505	137751	4	.06	0
Tatoeba	v2020-11-09	ELRC-5129-GEnCaTA_a	v1	6505	37928	4	.06	.01
Tatoeba	v2020-11-09	WikiTitles	v3	6505	470241	3	.04	0
Tatoeba	v2020-11-09	Books	v1	6505	4863	3	.04	.06
Tatoeba	v2020-11-09	DOGC	v3	6505	7858365	2	.03	0
Tatoeba	v2020-11-09	ELRC-5189-Catalan_WMT2013_Mach	v1	6505	3037	2	.03	.06
Tatoeba	v2020-11-09	ELRC_2922	v1	6505	1537	1	.01	.06
Tatoeba	v2020-11-09	ELRC-3040-wikipedia_health	v1	6505	1537	1	.01	.06
Tatoeba	v2020-11-09	ELRC-wikipedia_health	v1	6505	1537	1	.01	.06
Tatoeba	v2020-11-09	XLEnt	v1.1	6505	2452904	0	0	0
Tatoeba	v2020-11-09	XLEnt	v1.2	6505	2452904	0	0	0
Tatoeba	v2020-11-09	XLEnt	v1	6505	2452904	0	0	0
Tatoeba	v2020-11-09	EUbookshop	v2	6505	5164	0	0	0
Tatoeba	v2020-11-09	wikimedia	v20190628	6505	3085	0	0	0
Tatoeba	v2020-11-09	GNOME	v1	6505	1385	0	0	0
Tatoeba	v2020-11-09	ELRC-5190-Cyber_MT_Test	v1	6505	1068	0	0	0
Tatoeba	v2020-11-09	tldr-pages	v2023-08-29	6505	740	0	0	0
Tatoeba	v2020-11-09	Ubuntu	v14.10	6505	45	0	0	0
Tatoeba	v2020-11-09	ELRC-2638-monumentos_2007	v1	6505	32	0	0	0
Tatoeba	v2020-11-09	ELRC-Localidades_2007	v1	6505	11	0	0	0
Tatoeba	v2020-11-09	ELRC-Museus_2007	v1	6505	11	0	0	0
Tatoeba	v2020-11-09	ELRC-2614-Localidades_2007	v1	6505	9	0	0	0
Tatoeba	v2020-11-09	ELRC-2616-Museus_2007	v1	6505	7	0	0	0
Tatoeba	v2020-11-09	ELRC-2617-Museus_2007_Part2	v1	6505	7	0	0	0
Tatoeba	v2020-11-09	ELRC-Artigos_visitportuga	v1	6505	7	0	0	0
Tatoeba	v2020-11-09	ELRC-2612-Artigos_visitportuga	v1	6505	6	0	0	0
Tatoeba	v2020-11-09	ELRC-2615-Localidades_2007_Par	v1	6505	4	0	0	0
Tatoeba	v2020-11-09	ELRC-2613-Artigos_visitportuga	v1	6505	3	0	0	0
Tatoeba	v2020-11-09	ELRC-2622-Arquitectura_2007	v1	6505	3	0	0	0
Tatoeba	v2020-11-09	ELRC-Arquitectura_2007	v1	6505	3	0	0	0
Tatoeba	v2020-11-09	ELRC-2480-Estatuto_dos_Deputad	v1	6505	2	0	0	0
Tatoeba	v2020-11-09	ELRC-2481-Constituio_da_Repbli	v1	6505	2	0	0	0
Tatoeba	v2020-11-09	ELRC-2482-RELATRIO_GAM	v1	6505	1	0	0	0
Tatoeba	v2020-11-09	ELRC-2611-localidades_alentejo	v1	6505	1	0	0	0
Tatoeba	v2020-11-09	ELRC-2624-Arquitectura_2007_Pa	v1	6505	1	0	0	0
Tatoeba	v2020-11-09	ELRC-2641-Praias_2007	v1	6505	1	0	0	0
Tatoeba	v2020-11-09	ELRC-Praias_2007	v1	6505	1	0	0	0
