corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2020-11-09	Tatoeba	v2023-04-12	1923	1993	1923	100.00	96.48
Tatoeba	v2020-11-09	Tatoeba	v2022-03-03	1923	1974	1923	100.00	97.41
Tatoeba	v2020-11-09	Tatoeba	v2021-07-22	1923	1941	1923	100.00	99.07
Tatoeba	v2020-11-09	Tatoeba	v2021-03-10	1923	1934	1923	100.00	99.43
Tatoeba	v2020-11-09	Tatoeba	v2020-05-31	1923	1913	1913	99.47	100.00
Tatoeba	v2020-11-09	Tatoeba	v20190709	1923	1894	1894	98.49	100.00
Tatoeba	v2020-11-09	Tatoeba	v2	1923	501	454	23.60	90.61
Tatoeba	v2020-11-09	NLLB	v1	1923	22449475	39	2.02	0
Tatoeba	v2020-11-09	ParaCrawl	v9	1923	3245616	21	1.09	0
Tatoeba	v2020-11-09	ParaCrawl	v8	1923	1995660	8	.41	0
Tatoeba	v2020-11-09	MultiParaCrawl	v7.1	1923	2694761	7	.36	0
Tatoeba	v2020-11-09	ParaCrawl	v7.1	1923	2694760	6	.31	0
Tatoeba	v2020-11-09	QED	v2.0a	1923	17173	5	.26	.02
Tatoeba	v2020-11-09	HPLT	v1	1923	994747	4	.20	0
Tatoeba	v2020-11-09	EUbookshop	v2	1923	91074	4	.20	0
Tatoeba	v2020-11-09	ELRC-2867-EU_publications_medi	v1	1923	410	2	.10	.48
Tatoeba	v2020-11-09	ELRC-EU_publications	v1	1923	410	2	.10	.48
Tatoeba	v2020-11-09	XLEnt	v1.1	1923	170416	1	.05	0
Tatoeba	v2020-11-09	XLEnt	v1	1923	170416	1	.05	0
Tatoeba	v2020-11-09	XLEnt	v1.2	1923	170416	1	.05	0
Tatoeba	v2020-11-09	ELRC-781-Gaois_legislation	v1	1923	68272	1	.05	0
Tatoeba	v2020-11-09	wikimedia	v20230407	1923	19361	1	.05	0
Tatoeba	v2020-11-09	wikimedia	v20210402	1923	9931	1	.05	.01
Tatoeba	v2020-11-09	ELRC-2442-_Chonradh_Ginearlta	v1	1923	7563	1	.05	.01
Tatoeba	v2020-11-09	ELRC-2438-www.citizensinformat	v1	1923	6690	1	.05	.01
Tatoeba	v2020-11-09	ELRC-5060-A_mix_annual	v1	1923	6588	1	.05	.01
Tatoeba	v2020-11-09	ELRC-2443-LithrenGrasinOG	v1	1923	3684	1	.05	.02
Tatoeba	v2020-11-09	ELRC-2414-Tuarasclaca_Bliantla	v1	1923	2954	1	.05	.03
Tatoeba	v2020-11-09	ELRC-2497-Tuarascil_Bhliantil_	v1	1923	2645	1	.05	.03
Tatoeba	v2020-11-09	ELRC-801-Coimisineir_Teanga_R	v1	1923	2103	1	.05	.04
Tatoeba	v2020-11-09	ELRC-2441-_Chonradh_don	v1	1923	1998	1	.05	.05
Tatoeba	v2020-11-09	ELRC-805-Udras_na_Gaeltachta	v1	1923	1436	1	.05	.06
Tatoeba	v2020-11-09	ECDC	v2016-03-16	1923	1354	1	.05	.07
Tatoeba	v2020-11-09	ELRC-784-Coimisineir_Teanga_R	v1	1923	1227	1	.05	.08
Tatoeba	v2020-11-09	ELRC-5086-Intellectual_Propert	v1	1923	1136	1	.05	.08
Tatoeba	v2020-11-09	ELRC-2559-government_websites_	v1	1923	1135	1	.05	.08
Tatoeba	v2020-11-09	ELRC-government_websites	v1	1923	1135	1	.05	.08
Tatoeba	v2020-11-09	ELRC-5136-Tuarasclacha_Bliantl	v1	1923	1037	1	.05	.09
Tatoeba	v2020-11-09	ELRC-2506-Programme_Government	v1	1923	1021	1	.05	.09
Tatoeba	v2020-11-09	ELRC-2424-Preasritis_Gaois_Fio	v1	1923	974	1	.05	.10
Tatoeba	v2020-11-09	ELRC-5149-Tuarascil_Bhliantil_	v1	1923	947	1	.05	.10
Tatoeba	v2020-11-09	ELRC-5123-2020_Annual_Report	v1	1923	766	1	.05	.13
Tatoeba	v2020-11-09	ELRC-2439-Ritis_Airgeadais_Oll	v1	1923	677	1	.05	.14
Tatoeba	v2020-11-09	ELRC-5124-Government_Ireland_P	v1	1923	512	1	.05	.19
Tatoeba	v2020-11-09	ELRC-5150-Language_Scheme_Cust	v1	1923	491	1	.05	.20
Tatoeba	v2020-11-09	ELRC-2469-Ritis_Airgeadais_Oif	v1	1923	488	1	.05	.20
Tatoeba	v2020-11-09	ELRC-3557-EUR_LEX_covid	v1	1923	397	1	.05	.25
Tatoeba	v2020-11-09	ELRC-EUR_LEX	v1	1923	397	1	.05	.25
Tatoeba	v2020-11-09	ELRC-2748-vaccination	v1	1923	360	1	.05	.27
Tatoeba	v2020-11-09	ELRC-vaccination	v1	1923	360	1	.05	.27
Tatoeba	v2020-11-09	ELRC-2420-Press_Releases_Depar	v1	1923	354	1	.05	.28
Tatoeba	v2020-11-09	ELRC-Press_Releases	v1	1923	354	1	.05	.28
Tatoeba	v2020-11-09	ELRC-5126-IRC_Early_Career	v1	1923	343	1	.05	.29
Tatoeba	v2020-11-09	ELRC-5125-IRC_Conditions_award	v1	1923	315	1	.05	.31
Tatoeba	v2020-11-09	ELRC-780-Coimisineir_Teanga	v1	1923	313	1	.05	.31
Tatoeba	v2020-11-09	ELRC-5145-Roinn_an_Dl	v1	1923	285	1	.05	.35
