corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2020-11-09	Tatoeba	v2022-03-03	117	118	117	100.00	99.15
Tatoeba	v2020-11-09	Tatoeba	v2021-03-10	117	117	117	100.00	100.00
Tatoeba	v2020-11-09	Tatoeba	v2021-07-22	117	117	117	100.00	100.00
Tatoeba	v2020-11-09	Tatoeba	v2020-05-31	117	116	116	99.14	100.00
Tatoeba	v2020-11-09	Tatoeba	v20190709	117	114	114	97.43	100.00
Tatoeba	v2020-11-09	CCAligned	v1	117	239925	1	.85	0
Tatoeba	v2020-11-09	GoURMET	v1	117	14469	1	.85	0
Tatoeba	v2020-11-09	TED2020	v1	117	694	1	.85	.14
Tatoeba	v2020-11-09	wikimedia	v20210402	117	317	1	.85	.31
Tatoeba	v2020-11-09	GNOME	v1	117	12480	0	0	0
Tatoeba	v2020-11-09	Ubuntu	v14.10	117	9263	0	0	0
Tatoeba	v2020-11-09	QED	v2.0a	117	1460	0	0	0
Tatoeba	v2020-11-09	wikimedia	v20190628	117	36	0	0	0
