corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2020-11-09	Tatoeba	v2021-03-10	52	52	52	100.00	100.00
Tatoeba	v2020-11-09	Tatoeba	v2021-07-22	52	52	52	100.00	100.00
Tatoeba	v2020-11-09	Tatoeba	v2022-03-03	52	52	52	100.00	100.00
Tatoeba	v2020-11-09	Tatoeba	v2023-04-12	52	52	52	100.00	100.00
Tatoeba	v2020-11-09	Tatoeba	v20190709	52	51	51	98.07	100.00
Tatoeba	v2020-11-09	Tatoeba	v2020-05-31	52	51	51	98.07	100.00
Tatoeba	v2020-11-09	Tatoeba	v2	52	19	18	34.61	94.73
Tatoeba	v2020-11-09	MultiCCAligned	v1	52	378831	3	5.76	0
Tatoeba	v2020-11-09	CCAligned	v1	52	378824	3	5.76	0
Tatoeba	v2020-11-09	GlobalVoices	v2018q4	52	343853	2	3.84	0
Tatoeba	v2020-11-09	XLEnt	v1.1	52	310769	1	1.92	0
Tatoeba	v2020-11-09	XLEnt	v1.2	52	310769	1	1.92	0
Tatoeba	v2020-11-09	XLEnt	v1	52	310769	1	1.92	0
Tatoeba	v2020-11-09	GlobalVoices	v2017q3	52	277873	1	1.92	0
Tatoeba	v2020-11-09	GlobalVoices	v2015	52	201175	1	1.92	0
Tatoeba	v2020-11-09	WikiMatrix	v1	52	13960	1	1.92	0
Tatoeba	v2020-11-09	wikimedia	v20230407	52	538	1	1.92	.18
Tatoeba	v2020-11-09	wikimedia	v20210402	52	482	1	1.92	.20
Tatoeba	v2020-11-09	TED2020	v1	52	366	1	1.92	.27
Tatoeba	v2020-11-09	NLLB	v1	52	2326323	0	0	0
Tatoeba	v2020-11-09	CCMatrix	v1	52	1721265	0	0	0
Tatoeba	v2020-11-09	GNOME	v1	52	19038	0	0	0
Tatoeba	v2020-11-09	Ubuntu	v14.10	52	8445	0	0	0
