corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2021-03-10	Tatoeba	v2023-04-12	23365	25970	23365	100.00	89.96
Tatoeba	v2021-03-10	Tatoeba	v2022-03-03	23365	24112	23365	100.00	96.90
Tatoeba	v2021-03-10	Tatoeba	v2021-07-22	23365	23813	23365	100.00	98.11
Tatoeba	v2021-03-10	Tatoeba	v2020-11-09	23365	22908	22908	98.04	100.00
Tatoeba	v2021-03-10	Tatoeba	v2020-05-31	23365	22809	22809	97.62	100.00
Tatoeba	v2021-03-10	Tatoeba	v20190709	23365	22720	22720	97.23	100.00
Tatoeba	v2021-03-10	OpenSubtitles	v2018	23365	33318146	4319	18.48	.01
Tatoeba	v2021-03-10	OpenSubtitles	v2016	23365	26021007	4047	17.32	.01
Tatoeba	v2021-03-10	Tatoeba	v2	23365	2468	2026	8.67	82.09
Tatoeba	v2021-03-10	QED	v2.0a	23365	496445	565	2.41	.11
Tatoeba	v2021-03-10	OpenSubtitles	v1	23365	220324	377	1.61	.17
Tatoeba	v2021-03-10	ParaCrawl	v9	23365	21402043	334	1.42	0
Tatoeba	v2021-03-10	ParaCrawl	v8	23365	34585108	158	.67	0
Tatoeba	v2021-03-10	MultiParaCrawl	v7.1	23365	9402609	138	.59	0
Tatoeba	v2021-03-10	ParaCrawl	v7.1	23365	9402608	137	.58	0
Tatoeba	v2021-03-10	TED2020	v1	23365	262648	72	.30	.02
Tatoeba	v2021-03-10	CCMatrix	v1	23365	48860900	68	.29	0
Tatoeba	v2021-03-10	NLLB	v1	23365	48859850	68	.29	0
Tatoeba	v2021-03-10	Europarl	v8	23365	1260921	65	.27	0
Tatoeba	v2021-03-10	Europarl	v7	23365	1260526	65	.27	0
Tatoeba	v2021-03-10	NeuLab-TedTalks	v1	23365	149750	43	.18	.02
Tatoeba	v2021-03-10	GlobalVoices	v2018q4	23365	112880	28	.11	.02
Tatoeba	v2021-03-10	MultiCCAligned	v1	23365	8792897	24	.10	0
Tatoeba	v2021-03-10	CCAligned	v1	23365	8792737	24	.10	0
Tatoeba	v2021-03-10	Europarl	v3	23365	646689	22	.09	0
Tatoeba	v2021-03-10	GlobalVoices	v2017q3	23365	88305	21	.08	.02
Tatoeba	v2021-03-10	ParaCrawl	v5	23365	3803749	17	.07	0
Tatoeba	v2021-03-10	ELRA-W0202	v1	23365	61967	16	.06	.02
Tatoeba	v2021-03-10	EUbookshop	v2	23365	3606516	12	.05	0
Tatoeba	v2021-03-10	ParaCrawl	v4	23365	1976986	8	.03	0
Tatoeba	v2021-03-10	ELRC-EMEA	v1	23365	774830	5	.02	0
Tatoeba	v2021-03-10	ELRC-2711-EMEA	v1	23365	774829	5	.02	0
Tatoeba	v2021-03-10	SETIMES	v2	23365	224806	6	.02	0
Tatoeba	v2021-03-10	DGT	v2019	23365	3679234	3	.01	0
Tatoeba	v2021-03-10	DGT	v4	23365	2027952	3	.01	0
Tatoeba	v2021-03-10	ELRC_2682	v1	23365	774829	4	.01	0
Tatoeba	v2021-03-10	wikimedia	v20230407	23365	549337	4	.01	0
Tatoeba	v2021-03-10	KDE4	v2	23365	125457	3	.01	0
Tatoeba	v2021-03-10	ELRC-936-Prime_Minister_Helle	v1	23365	5268	3	.01	.05
Tatoeba	v2021-03-10	XLEnt	v1.1	23365	2799832	1	0	0
Tatoeba	v2021-03-10	XLEnt	v1.2	23365	2799832	1	0	0
Tatoeba	v2021-03-10	XLEnt	v1	23365	2799832	1	0	0
Tatoeba	v2021-03-10	LinguaTools-WikiTitles	v2014	23365	1795210	1	0	0
Tatoeba	v2021-03-10	ELRC-5067-SciPar	v1	23365	742987	1	0	0
Tatoeba	v2021-03-10	WikiMatrix	v1	23365	620802	2	0	0
Tatoeba	v2021-03-10	EMEA	v3	23365	368049	2	0	0
Tatoeba	v2021-03-10	ELITR-ECA	v1	23365	329071	1	0	0
Tatoeba	v2021-03-10	wikimedia	v20210402	23365	229838	1	0	0
