corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2021-03-10	Tatoeba	v2022-03-03	954	955	954	100.00	99.89
Tatoeba	v2021-03-10	Tatoeba	v2021-07-22	954	954	954	100.00	100.00
Tatoeba	v2021-03-10	Tatoeba	v2020-11-09	954	916	916	96.01	100.00
Tatoeba	v2021-03-10	Tatoeba	v2020-05-31	954	915	915	95.91	100.00
Tatoeba	v2021-03-10	Tatoeba	v20190709	954	913	913	95.70	100.00
Tatoeba	v2021-03-10	Tatoeba	v2	954	308	285	29.87	92.53
Tatoeba	v2021-03-10	XLEnt	v1.1	954	57951	1	.10	0
Tatoeba	v2021-03-10	XLEnt	v1	954	57951	1	.10	0
Tatoeba	v2021-03-10	wikimedia	v20210402	954	557	1	.10	.17
Tatoeba	v2021-03-10	CCMatrix	v1	954	310023	0	0	0
Tatoeba	v2021-03-10	Ubuntu	v14.10	954	8687	0	0	0
Tatoeba	v2021-03-10	GNOME	v1	954	5973	0	0	0
Tatoeba	v2021-03-10	bible-uedin	v1	954	1350	0	0	0
Tatoeba	v2021-03-10	wikimedia	v20190628	954	181	0	0	0
Tatoeba	v2021-03-10	EUbookshop	v2	954	100	0	0	0
Tatoeba	v2021-03-10	QED	v2.0a	954	27	0	0	0
