corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2021-03-10	Tatoeba	v2023-04-12	291	393	291	100.00	74.04
Tatoeba	v2021-03-10	Tatoeba	v2022-03-03	291	392	291	100.00	74.23
Tatoeba	v2021-03-10	Tatoeba	v2021-07-22	291	298	291	100.00	97.65
Tatoeba	v2021-03-10	Tatoeba	v2020-11-09	291	282	282	96.90	100.00
Tatoeba	v2021-03-10	Tatoeba	v2020-05-31	291	277	277	95.18	100.00
Tatoeba	v2021-03-10	Tatoeba	v20190709	291	112	112	38.48	100.00
Tatoeba	v2021-03-10	NLLB	v1	291	12743274	13	4.46	0
Tatoeba	v2021-03-10	XLEnt	v1.1	291	307139	1	.34	0
Tatoeba	v2021-03-10	XLEnt	v1.2	291	307139	1	.34	0
Tatoeba	v2021-03-10	XLEnt	v1	291	307139	1	.34	0
Tatoeba	v2021-03-10	WikiMatrix	v1	291	22282	1	.34	0
Tatoeba	v2021-03-10	wikimedia	v20230407	291	217	1	.34	.46
Tatoeba	v2021-03-10	wikimedia	v20210402	291	120	1	.34	.83
Tatoeba	v2021-03-10	TED2020	v1	291	88	1	.34	1.13
Tatoeba	v2021-03-10	CCMatrix	v1	291	11969121	0	0	0
Tatoeba	v2021-03-10	KDE4	v2	291	6938	0	0	0
Tatoeba	v2021-03-10	Ubuntu	v14.10	291	2913	0	0	0
Tatoeba	v2021-03-10	QED	v2.0a	291	1378	0	0	0
Tatoeba	v2021-03-10	wikimedia	v20190628	291	47	0	0	0
