corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2021-03-10	Tatoeba	v2023-04-12	80332	80340	80332	100.00	99.99
Tatoeba	v2021-03-10	Tatoeba	v2021-07-22	80332	80333	80332	100.00	99.99
Tatoeba	v2021-03-10	Tatoeba	v2022-03-03	80332	80333	80332	100.00	99.99
Tatoeba	v2021-03-10	Tatoeba	v2020-11-09	80332	80323	80323	99.98	100.00
Tatoeba	v2021-03-10	Tatoeba	v2020-05-31	80332	80283	80283	99.93	100.00
Tatoeba	v2021-03-10	Tatoeba	v20190709	80332	80279	80279	99.93	100.00
Tatoeba	v2021-03-10	OpenSubtitles	v2018	80332	2896675	3559	4.43	.12
Tatoeba	v2021-03-10	OpenSubtitles	v2016	80332	2217817	2999	3.73	.13
Tatoeba	v2021-03-10	HPLT	v2	80332	3991614	175	.21	0
Tatoeba	v2021-03-10	MultiHPLT	v2	80332	3991614	175	.21	0
Tatoeba	v2021-03-10	QED	v2.0a	80332	63772	91	.11	.14
Tatoeba	v2021-03-10	CCMatrix	v1	80332	11956949	77	.09	0
Tatoeba	v2021-03-10	NLLB	v1	80332	11956703	77	.09	0
Tatoeba	v2021-03-10	HPLT	v1.1	80332	1139052	33	.04	0
Tatoeba	v2021-03-10	HPLT	v1	80332	1139052	33	.04	0
Tatoeba	v2021-03-10	MultiHPLT	v1.1	80332	1139052	33	.04	0
Tatoeba	v2021-03-10	MultiHPLT	v1	80332	1139052	33	.04	0
Tatoeba	v2021-03-10	MultiCCAligned	v1	80332	1781824	31	.03	0
Tatoeba	v2021-03-10	CCAligned	v1	80332	1781797	31	.03	0
Tatoeba	v2021-03-10	TED2020	v1	80332	43314	25	.03	.05
Tatoeba	v2021-03-10	MaCoCu	v2	80332	376748	19	.02	0
Tatoeba	v2021-03-10	MultiMaCoCu	v2	80332	376748	19	.02	0
Tatoeba	v2021-03-10	GlobalVoices	v2018q4	80332	52502	18	.02	.03
Tatoeba	v2021-03-10	GlobalVoices	v2017q3	80332	49453	16	.01	.03
Tatoeba	v2021-03-10	GlobalVoices	v2015	80332	46424	15	.01	.03
Tatoeba	v2021-03-10	NeuLab-TedTalks	v1	80332	26763	16	.01	.05
Tatoeba	v2021-03-10	XLEnt	v1.1	80332	1696310	1	0	0
Tatoeba	v2021-03-10	XLEnt	v1.2	80332	1696310	1	0	0
Tatoeba	v2021-03-10	XLEnt	v1	80332	1696310	1	0	0
Tatoeba	v2021-03-10	WikiMatrix	v1	80332	395395	6	0	0
Tatoeba	v2021-03-10	wikimedia	v20230407	80332	353857	4	0	0
Tatoeba	v2021-03-10	SETIMES	v2	80332	205807	6	0	0
Tatoeba	v2021-03-10	SETIMES	v1	80332	153723	2	0	0
Tatoeba	v2021-03-10	wikimedia	v20210402	80332	137241	2	0	0
Tatoeba	v2021-03-10	KDE4	v2	80332	64415	0	0	0
Tatoeba	v2021-03-10	GoURMET	v2	80332	60664	2	0	0
Tatoeba	v2021-03-10	ELRC-5067-SciPar	v1	80332	4941	1	0	.02
Tatoeba	v2021-03-10	Ubuntu	v14.10	80332	3272	0	0	0
Tatoeba	v2021-03-10	EUbookshop	v2	80332	2331	0	0	0
Tatoeba	v2021-03-10	ELRC-3050-wikipedia_health	v1	80332	747	1	0	.13
Tatoeba	v2021-03-10	ELRC-wikipedia_health	v1	80332	747	1	0	.13
Tatoeba	v2021-03-10	ELRC_2922	v1	80332	746	0	0	0
Tatoeba	v2021-03-10	GNOME	v1	80332	116	0	0	0
