corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2021-03-10	Tatoeba	v2021-07-22	71	73	71	100.00	97.26
Tatoeba	v2021-03-10	Tatoeba	v2022-03-03	71	73	71	100.00	97.26
Tatoeba	v2021-03-10	Tatoeba	v2023-04-12	71	73	71	100.00	97.26
Tatoeba	v2021-03-10	Tatoeba	v2020-11-09	71	71	71	100.00	100.00
Tatoeba	v2021-03-10	Tatoeba	v20190709	71	70	70	98.59	100.00
Tatoeba	v2021-03-10	Tatoeba	v2020-05-31	71	70	70	98.59	100.00
Tatoeba	v2021-03-10	NLLB	v1	71	15188276	1	1.40	0
Tatoeba	v2021-03-10	wikimedia	v20230407	71	136	1	1.40	.73
Tatoeba	v2021-03-10	wikimedia	v20210402	71	111	1	1.40	.90
Tatoeba	v2021-03-10	Ubuntu	v14.10	71	199	0	0	0
Tatoeba	v2021-03-10	wikimedia	v20190628	71	36	0	0	0
Tatoeba	v2021-03-10	QED	v2.0a	71	33	0	0	0
