corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2021-03-10	Tatoeba	v2022-03-03	3287	4159	3287	100.00	79.03
Tatoeba	v2021-03-10	Tatoeba	v2021-07-22	3287	4107	3287	100.00	80.03
Tatoeba	v2021-03-10	Tatoeba	v2020-11-09	3287	3207	3207	97.56	100.00
Tatoeba	v2021-03-10	Tatoeba	v2020-05-31	3287	3006	3005	91.42	99.96
Tatoeba	v2021-03-10	Tatoeba	v20190709	3287	2993	2993	91.05	100.00
Tatoeba	v2021-03-10	Tatoeba	v2	3287	1374	1321	40.18	96.14
Tatoeba	v2021-03-10	OpenSubtitles	v2018	3287	16322093	113	3.43	0
Tatoeba	v2021-03-10	OpenSubtitles	v1	3287	317270	25	.76	0
Tatoeba	v2021-03-10	ParaCrawl	v9	3287	9516069	12	.36	0
Tatoeba	v2021-03-10	QED	v2.0a	3287	74807	9	.27	.01
Tatoeba	v2021-03-10	Europarl	v8	3287	604779	4	.12	0
Tatoeba	v2021-03-10	CCMatrix	v1	3287	27249324	3	.09	0
Tatoeba	v2021-03-10	CCAligned	v1	3287	4346640	3	.09	0
Tatoeba	v2021-03-10	TED2020	v1	3287	43251	3	.09	0
Tatoeba	v2021-03-10	WikiMatrix	v1	3287	318028	2	.06	0
Tatoeba	v2021-03-10	DGT	v2019	3287	3618655	1	.03	0
Tatoeba	v2021-03-10	XLEnt	v1.1	3287	817858	1	.03	0
Tatoeba	v2021-03-10	XLEnt	v1	3287	817858	1	.03	0
Tatoeba	v2021-03-10	ELRC-2727-EMEA	v1	3287	760104	1	.03	0
Tatoeba	v2021-03-10	ELRC-EMEA	v1	3287	760104	1	.03	0
Tatoeba	v2021-03-10	ELRC-5067-SciPar	v1	3287	300017	1	.03	0
Tatoeba	v2021-03-10	ELITR-ECA	v1	3287	90081	1	.03	0
Tatoeba	v2021-03-10	ELRC-490-Secretariat_General_	v1	3287	62951	1	.03	0
Tatoeba	v2021-03-10	ELRC-489-Secretariat_General_	v1	3287	55183	1	.03	0
Tatoeba	v2021-03-10	wikimedia	v20210402	3287	29488	1	.03	0
Tatoeba	v2021-03-10	ELRC-3576-EUR_LEX_covid	v1	3287	22372	1	.03	0
Tatoeba	v2021-03-10	ELRC-EUR_LEX	v1	3287	22372	1	.03	0
Tatoeba	v2021-03-10	ELRC-1180-EUIPO_2017	v1	3287	19765	1	.03	0
Tatoeba	v2021-03-10	ELRC-EUIPO_2017	v1	3287	19765	1	.03	0
Tatoeba	v2021-03-10	ELRC-2886-EU_publications_medi	v1	3287	13192	1	.03	0
Tatoeba	v2021-03-10	ELRC-EU_publications	v1	3287	13192	1	.03	0
Tatoeba	v2021-03-10	ELRC-924-statistical_reports_	v1	3287	11810	1	.03	0
Tatoeba	v2021-03-10	ELRC-statistical_reports	v1	3287	11810	1	.03	0
Tatoeba	v2021-03-10	ELRC-3617-presscorner_covid	v1	3287	6991	1	.03	.01
Tatoeba	v2021-03-10	ELRC-presscorner_covid	v1	3287	6991	1	.03	.01
Tatoeba	v2021-03-10	ELRC-923-chapters_Youth_2010	v1	3287	5855	1	.03	.01
Tatoeba	v2021-03-10	ELRC-3475-EC_EUROPA_covid	v1	3287	2534	1	.03	.03
Tatoeba	v2021-03-10	ELRC-EC_EUROPA	v1	3287	2534	1	.03	.03
Tatoeba	v2021-03-10	ELRC-2328-Agriculture_Forestry	v1	3287	1551	1	.03	.06
Tatoeba	v2021-03-10	ELRC-3215-antibiotic	v1	3287	986	1	.03	.10
Tatoeba	v2021-03-10	ELRC-antibiotic	v1	3287	986	1	.03	.10
Tatoeba	v2021-03-10	ELRC-3085-wikipedia_health	v1	3287	960	1	.03	.10
Tatoeba	v2021-03-10	ELRC-wikipedia_health	v1	3287	960	1	.03	.10
Tatoeba	v2021-03-10	ELRC-3304-EUROPARL_covid	v1	3287	816	1	.03	.12
Tatoeba	v2021-03-10	ELRC-EUROPARL_covid	v1	3287	816	1	.03	.12
Tatoeba	v2021-03-10	ELRC-2737-vaccination	v1	3287	491	1	.03	.20
Tatoeba	v2021-03-10	ELRC-vaccination	v1	3287	491	1	.03	.20
Tatoeba	v2021-03-10	TildeMODEL	v2018	3287	2019848	0	0	0
Tatoeba	v2021-03-10	EUbookshop	v2	3287	340004	0	0	0
Tatoeba	v2021-03-10	EMEA	v3	3287	333756	0	0	0
Tatoeba	v2021-03-10	KDE4	v2	3287	106508	0	0	0
Tatoeba	v2021-03-10	ECB	v1	3287	89567	0	0	0
Tatoeba	v2021-03-10	Wikipedia	v1.0	3287	81374	0	0	0
Tatoeba	v2021-03-10	ELRA-W0191	v1	3287	62950	0	0	0
Tatoeba	v2021-03-10	bible-uedin	v1	3287	61647	0	0	0
Tatoeba	v2021-03-10	ELRA-W0190	v1	3287	55182	0	0	0
Tatoeba	v2021-03-10	JRC-Acquis	v3.0	3287	30983	0	0	0
Tatoeba	v2021-03-10	TED2013	v1.1	3287	14855	0	0	0
Tatoeba	v2021-03-10	ELRA-W0267	v1	3287	11809	0	0	0
Tatoeba	v2021-03-10	Ubuntu	v14.10	3287	6911	0	0	0
Tatoeba	v2021-03-10	EUconst	v1	3287	6255	0	0	0
Tatoeba	v2021-03-10	PHP	v1	3287	3742	0	0	0
Tatoeba	v2021-03-10	ELRC_3382	v1	3287	3632	0	0	0
Tatoeba	v2021-03-10	GNOME	v1	3287	1360	0	0	0
Tatoeba	v2021-03-10	ELRC_2922	v1	3287	959	0	0	0
Tatoeba	v2021-03-10	ELRC_2923	v1	3287	451	0	0	0
