corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2021-03-10	Tatoeba	v2023-04-12	13333	13718	13333	100.00	97.19
Tatoeba	v2021-03-10	Tatoeba	v2022-03-03	13333	13510	13333	100.00	98.68
Tatoeba	v2021-03-10	Tatoeba	v2021-07-22	13333	13421	13333	100.00	99.34
Tatoeba	v2021-03-10	Tatoeba	v2020-11-09	13333	13279	13279	99.59	100.00
Tatoeba	v2021-03-10	Tatoeba	v2020-05-31	13333	13201	13201	99.00	100.00
Tatoeba	v2021-03-10	Tatoeba	v20190709	13333	12942	12942	97.06	100.00
Tatoeba	v2021-03-10	Tatoeba	v2	13333	6535	6454	48.40	98.76
Tatoeba	v2021-03-10	QED	v2.0a	13333	1062	1	0	.09
Tatoeba	v2021-03-10	TED2020	v1	13333	61	1	0	1.63
Tatoeba	v2021-03-10	Ubuntu	v14.10	13333	16	0	0	0
