corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2021-03-10	Tatoeba	v2023-04-12	6262	6377	6262	100.00	98.19
Tatoeba	v2021-03-10	Tatoeba	v2022-03-03	6262	6287	6262	100.00	99.60
Tatoeba	v2021-03-10	Tatoeba	v2021-07-22	6262	6265	6262	100.00	99.95
Tatoeba	v2021-03-10	Tatoeba	v2020-11-09	6262	6259	6259	99.95	100.00
Tatoeba	v2021-03-10	Tatoeba	v2020-05-31	6262	6201	6201	99.02	100.00
Tatoeba	v2021-03-10	Tatoeba	v20190709	6262	6150	6150	98.21	100.00
Tatoeba	v2021-03-10	Tatoeba	v2	6262	1749	1729	27.61	98.85
Tatoeba	v2021-03-10	OpenSubtitles	v2018	6262	705759	622	9.93	.08
Tatoeba	v2021-03-10	OpenSubtitles	v2016	6262	164147	311	4.96	.18
Tatoeba	v2021-03-10	OpenSubtitles	v2013	6262	160950	302	4.82	.18
Tatoeba	v2021-03-10	EhuHac	v1	6262	593758	242	3.86	.04
Tatoeba	v2021-03-10	MultiParaCrawl	v9	6262	3296755	221	3.52	0
Tatoeba	v2021-03-10	MultiParaCrawl	v9b	6262	3296755	221	3.52	0
Tatoeba	v2021-03-10	ParaCrawl	v9	6262	3296755	221	3.52	0
Tatoeba	v2021-03-10	CCMatrix	v1	6262	10632154	191	3.05	0
Tatoeba	v2021-03-10	MultiParaCrawl	v8	6262	2017421	96	1.53	0
Tatoeba	v2021-03-10	ParaCrawl	v8	6262	2017421	96	1.53	0
Tatoeba	v2021-03-10	HPLT	v1	6262	599782	90	1.43	.01
Tatoeba	v2021-03-10	MultiHPLT	v1	6262	599782	90	1.43	.01
Tatoeba	v2021-03-10	QED	v2.0a	6262	24639	77	1.22	.31
Tatoeba	v2021-03-10	Elhuyar	v1	6262	607763	72	1.14	.01
Tatoeba	v2021-03-10	MultiParaCrawl	v7.1	6262	525446	57	.91	.01
Tatoeba	v2021-03-10	ParaCrawl	v7.1	6262	525446	57	.91	.01
Tatoeba	v2021-03-10	WikiMatrix	v1	6262	1562084	48	.76	0
Tatoeba	v2021-03-10	EiTB-ParCC	v1	6262	636643	43	.68	0
Tatoeba	v2021-03-10	TED2020	v1	6262	11647	33	.52	.28
Tatoeba	v2021-03-10	Mozilla-I10n	v1	6262	27710	26	.41	.09
Tatoeba	v2021-03-10	OpenSubtitles	v2012	6262	657	23	.36	3.50
Tatoeba	v2021-03-10	NeuLab-TedTalks	v1	6262	6386	19	.30	.29
Tatoeba	v2021-03-10	XLEnt	v1.1	6262	567369	17	.27	0
Tatoeba	v2021-03-10	XLEnt	v1.2	6262	567369	17	.27	0
Tatoeba	v2021-03-10	XLEnt	v1	6262	567369	17	.27	0
Tatoeba	v2021-03-10	KDE4	v2	6262	77050	14	.22	.01
Tatoeba	v2021-03-10	wikimedia	v20230407	6262	290449	9	.14	0
Tatoeba	v2021-03-10	wikimedia	v20210402	6262	84372	6	.09	0
Tatoeba	v2021-03-10	bible-uedin	v1	6262	8487	2	.03	.02
Tatoeba	v2021-03-10	GNOME	v1	6262	2762	2	.03	.07
Tatoeba	v2021-03-10	wikimedia	v20190628	6262	2012	1	.01	.04
Tatoeba	v2021-03-10	ELRC-4993-Basque_Wikinews_MT	v1	6262	1824	0	0	0
Tatoeba	v2021-03-10	ELRC_2922	v1	6262	327	0	0	0
Tatoeba	v2021-03-10	ELRC-3042-wikipedia_health	v1	6262	327	0	0	0
Tatoeba	v2021-03-10	ELRC-wikipedia_health	v1	6262	327	0	0	0
Tatoeba	v2021-03-10	Ubuntu	v14.10	6262	45	0	0	0
Tatoeba	v2021-03-10	ELRC-2612-Artigos_visitportuga	v1	6262	1	0	0	0
Tatoeba	v2021-03-10	ELRC-Artigos_visitportuga	v1	6262	1	0	0	0
