corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2021-03-10	Tatoeba	v2023-04-12	469229	554763	469229	100.00	84.58
Tatoeba	v2021-03-10	Tatoeba	v2022-03-03	469229	509441	469229	100.00	92.10
Tatoeba	v2021-03-10	Tatoeba	v2020-11-09	469229	452708	452708	96.47	100.00
Tatoeba	v2021-03-10	Tatoeba	v2020-05-31	469229	435694	435694	92.85	100.00
Tatoeba	v2021-03-10	Tatoeba	v2021-07-22	469229	444821	432414	92.15	97.21
Tatoeba	v2021-03-10	Tatoeba	v20190709	469229	394746	377061	80.35	95.51
Tatoeba	v2021-03-10	Tatoeba	v2	469229	224269	208443	44.42	92.94
Tatoeba	v2021-03-10	OpenSubtitles	v2018	469229	42876478	77458	16.50	.18
Tatoeba	v2021-03-10	OpenSubtitles	v2016	469229	36854261	74315	15.83	.20
Tatoeba	v2021-03-10	OpenSubtitles	v2013	469229	17694776	60143	12.81	.33
Tatoeba	v2021-03-10	OpenSubtitles	v2012	469229	18177724	58637	12.49	.32
Tatoeba	v2021-03-10	CCMatrix	v1	469229	798656090	44596	9.50	0
Tatoeba	v2021-03-10	MultiParaCrawl	v9	469229	187085885	23917	5.09	.01
Tatoeba	v2021-03-10	MultiParaCrawl	v9b	469229	187085885	23917	5.09	.01
Tatoeba	v2021-03-10	ParaCrawl	v9	469229	187085885	23917	5.09	.01
Tatoeba	v2021-03-10	MultiParaCrawl	v8	469229	199141573	23049	4.91	.01
Tatoeba	v2021-03-10	ParaCrawl	v8	469229	199141573	23049	4.91	.01
Tatoeba	v2021-03-10	MultiParaCrawl	v7.1	469229	102000359	17827	3.79	.01
Tatoeba	v2021-03-10	ParaCrawl	v7.1	469229	102000359	17827	3.79	.01
Tatoeba	v2021-03-10	MultiCCAligned	v1.1	469229	102410788	14946	3.18	.01
Tatoeba	v2021-03-10	MultiCCAligned	v1	469229	102410788	14946	3.18	.01
Tatoeba	v2021-03-10	CCAligned	v1	469229	102410685	14945	3.18	.01
Tatoeba	v2021-03-10	MultiParaCrawl	v5	469229	52742733	9301	1.98	.01
Tatoeba	v2021-03-10	ParaCrawl	v5	469229	52742733	9301	1.98	.01
Tatoeba	v2021-03-10	OpenSubtitles	v1	469229	535394	8537	1.81	1.59
Tatoeba	v2021-03-10	ParaCrawl	v1	469229	27422308	8409	1.79	.03
Tatoeba	v2021-03-10	QED	v2.0a	469229	1265895	8209	1.74	.64
Tatoeba	v2021-03-10	NLLB	v1	469229	179205345	7337	1.56	0
Tatoeba	v2021-03-10	ParaCrawl	v4	469229	35218228	7132	1.51	.02
Tatoeba	v2021-03-10	EhuHac	v1	469229	602206	2932	.62	.48
Tatoeba	v2021-03-10	TED2020	v1	469229	437124	2798	.59	.64
Tatoeba	v2021-03-10	WikiMatrix	v1	469229	18783887	2278	.48	.01
Tatoeba	v2021-03-10	ELRC-4144-NTEU_TierA	v1	469229	12470878	2208	.47	.01
Tatoeba	v2021-03-10	ELRC-4166-NTEU_TierA	v1	469229	9514731	1926	.41	.02
Tatoeba	v2021-03-10	Europarl	v8	469229	2180255	1952	.41	.08
Tatoeba	v2021-03-10	Europarl	v7	469229	2179933	1951	.41	.08
Tatoeba	v2021-03-10	ELRC-4159-NTEU_TierA	v1	469229	11724160	1865	.39	.01
Tatoeba	v2021-03-10	NeuLab-TedTalks	v1	469229	234635	1809	.38	.77
Tatoeba	v2021-03-10	EUbookshop	v2	469229	13922861	1716	.36	.01
Tatoeba	v2021-03-10	Europarl	v3	469229	1444898	1223	.26	.08
Tatoeba	v2021-03-10	GlobalVoices	v2018q4	469229	457118	1142	.24	.24
Tatoeba	v2021-03-10	giga-fren	v2	469229	21270622	1088	.23	0
Tatoeba	v2021-03-10	GlobalVoices	v2017q3	469229	416159	1060	.22	.25
Tatoeba	v2021-03-10	GlobalVoices	v2015	469229	364202	945	.20	.25
Tatoeba	v2021-03-10	UNPC	v1.0	469229	24410320	904	.19	0
Tatoeba	v2021-03-10	ELRC-4227-NTEU_TierA	v1	469229	7414675	805	.17	.01
Tatoeba	v2021-03-10	ELRC-4212-NTEU_TierA	v1	469229	6955376	801	.17	.01
Tatoeba	v2021-03-10	ELRC-4250-NTEU_TierA	v1	469229	7092287	778	.16	.01
Tatoeba	v2021-03-10	ELRC-4163-NTEU_TierA	v1	469229	6278278	778	.16	.01
Tatoeba	v2021-03-10	TED2013	v1.1	469229	158664	680	.14	.42
Tatoeba	v2021-03-10	Books	v1	469229	161963	599	.12	.36
Tatoeba	v2021-03-10	TildeMODEL	v2018	469229	5592948	383	.08	0
Tatoeba	v2021-03-10	News-Commentary	v16	469229	428439	306	.06	.07
Tatoeba	v2021-03-10	ELRC-5174-French_Polish_Ukrain	v1	469229	33759	283	.06	.83
Tatoeba	v2021-03-10	wikimedia	v20230407	469229	2676731	252	.05	0
Tatoeba	v2021-03-10	News-Commentary	v14	469229	375202	254	.05	.06
Tatoeba	v2021-03-10	News-Commentary	v11	469229	268393	240	.05	.08
Tatoeba	v2021-03-10	News-Commentary	v9.0	469229	248316	189	.04	.07
Tatoeba	v2021-03-10	News-Commentary	v9.1	469229	248310	190	.04	.07
Tatoeba	v2021-03-10	wikimedia	v20210402	469229	1749281	167	.03	0
Tatoeba	v2021-03-10	Wikipedia	v1.0	469229	830904	149	.03	.01
Tatoeba	v2021-03-10	LinguaTools-WikiTitles	v2014	469229	2720213	100	.02	0
Tatoeba	v2021-03-10	ELRC-4241-NTEU_TierA	v1	469229	1665033	53	.01	0
Tatoeba	v2021-03-10	WikiTitles	v3	469229	895267	61	.01	0
Tatoeba	v2021-03-10	ELRC-2410-Portal_oficial_turis	v1	469229	147965	89	.01	.06
Tatoeba	v2021-03-10	Mozilla-I10n	v1	469229	55750	78	.01	.13
Tatoeba	v2021-03-10	MPC1	v1	469229	5006	50	.01	.99
Tatoeba	v2021-03-10	EuroPat	v2	469229	11489429	30	0	0
Tatoeba	v2021-03-10	MultiUN	v1	469229	11167694	0	0	0
Tatoeba	v2021-03-10	EuroPat	v3	469229	10716853	31	0	0
Tatoeba	v2021-03-10	EuroPat	v1	469229	8944736	24	0	0
Tatoeba	v2021-03-10	XLEnt	v1.1	469229	6760567	6	0	0
Tatoeba	v2021-03-10	XLEnt	v1.2	469229	6760567	6	0	0
Tatoeba	v2021-03-10	XLEnt	v1	469229	6760567	6	0	0
Tatoeba	v2021-03-10	MBS	v1	469229	2281253	29	0	0
Tatoeba	v2021-03-10	JRC-Acquis	v3.0	469229	1956392	22	0	0
