corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2021-03-10	Tatoeba	v2023-04-12	207594	243187	207594	100.00	85.36
Tatoeba	v2021-03-10	Tatoeba	v2022-03-03	207594	223161	207594	100.00	93.02
Tatoeba	v2021-03-10	Tatoeba	v2021-07-22	207594	214515	207594	100.00	96.77
Tatoeba	v2021-03-10	Tatoeba	v2020-11-09	207594	201078	201078	96.86	100.00
Tatoeba	v2021-03-10	Tatoeba	v2020-05-31	207594	193826	193826	93.36	100.00
Tatoeba	v2021-03-10	Tatoeba	v20190709	207594	187030	186946	90.05	99.95
Tatoeba	v2021-03-10	Tatoeba	v2	207594	175598	174379	84.00	99.30
Tatoeba	v2021-03-10	NLLB	v1	207594	148109607	53069	25.56	.03
Tatoeba	v2021-03-10	CCMatrix	v1	207594	148110109	53061	25.55	.03
Tatoeba	v2021-03-10	OpenSubtitles	v2018	207594	2182897	1360	.65	.06
Tatoeba	v2021-03-10	OpenSubtitles	v2016	207594	1644301	1156	.55	.07
Tatoeba	v2021-03-10	MultiCCAligned	v1.1	207594	21416605	987	.47	0
Tatoeba	v2021-03-10	MultiCCAligned	v1	207594	21416605	987	.47	0
Tatoeba	v2021-03-10	CCAligned	v1	207594	21416601	987	.47	0
Tatoeba	v2021-03-10	JParaCrawl	v3.0	207594	20891161	951	.45	0
Tatoeba	v2021-03-10	JESC	v2019-12-05	207594	2452879	616	.29	.02
Tatoeba	v2021-03-10	OpenSubtitles	v2012	207594	314267	491	.23	.15
Tatoeba	v2021-03-10	OpenSubtitles	v2013	207594	413936	424	.20	.10
Tatoeba	v2021-03-10	QED	v2.0a	207594	916537	341	.16	.03
Tatoeba	v2021-03-10	WikiMatrix	v1	207594	13947997	236	.11	0
Tatoeba	v2021-03-10	OpenSubtitles	v1	207594	15183	87	.04	.57
Tatoeba	v2021-03-10	XLEnt	v1.1	207594	4998401	51	.02	0
Tatoeba	v2021-03-10	XLEnt	v1	207594	4998401	51	.02	0
Tatoeba	v2021-03-10	XLEnt	v1.2	207594	4998401	51	.02	0
Tatoeba	v2021-03-10	TED2020	v1	207594	356086	53	.02	.01
Tatoeba	v2021-03-10	NeuLab-TedTalks	v1	207594	212489	37	.01	.01
Tatoeba	v2021-03-10	Mozilla-I10n	v1	207594	31514	22	.01	.06
Tatoeba	v2021-03-10	LinguaTools-WikiTitles	v2014	207594	1036385	12	0	0
Tatoeba	v2021-03-10	WikiTitles	v3	207594	680582	7	0	0
Tatoeba	v2021-03-10	KFTT	v1.0	207594	420956	5	0	0
Tatoeba	v2021-03-10	wikimedia	v20230407	207594	401267	4	0	0
Tatoeba	v2021-03-10	wikimedia	v20210402	207594	262143	2	0	0
Tatoeba	v2021-03-10	KDE4	v2	207594	100210	3	0	0
Tatoeba	v2021-03-10	OpenOffice	v3	207594	42638	1	0	0
Tatoeba	v2021-03-10	Tanzil	v1	207594	6168	0	0	0
Tatoeba	v2021-03-10	wikimedia	v20190628	207594	2752	0	0	0
Tatoeba	v2021-03-10	GNOME	v1	207594	1182	0	0	0
Tatoeba	v2021-03-10	News-Commentary	v16	207594	1064	0	0	0
Tatoeba	v2021-03-10	News-Commentary	v11	207594	978	0	0	0
Tatoeba	v2021-03-10	News-Commentary	v14	207594	978	0	0	0
Tatoeba	v2021-03-10	News-Commentary	v9.0	207594	677	0	0	0
Tatoeba	v2021-03-10	News-Commentary	v9.1	207594	677	0	0	0
Tatoeba	v2021-03-10	tldr-pages	v2023-08-29	207594	623	0	0	0
Tatoeba	v2021-03-10	KDEdoc	v1	207594	183	0	0	0
Tatoeba	v2021-03-10	EUbookshop	v2	207594	138	0	0	0
Tatoeba	v2021-03-10	Ubuntu	v14.10	207594	45	0	0	0
Tatoeba	v2021-03-10	MDN_Web_Docs	v2023-09-25	207594	27	0	0	0
