corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2021-03-10	Tatoeba	v2023-04-12	848530	992599	848530	100.00	85.48
Tatoeba	v2021-03-10	Tatoeba	v2022-03-03	848530	915310	848530	100.00	92.70
Tatoeba	v2021-03-10	Tatoeba	v2020-11-09	848530	827173	827173	97.48	100.00
Tatoeba	v2021-03-10	Tatoeba	v2021-07-22	848530	817271	800601	94.35	97.96
Tatoeba	v2021-03-10	Tatoeba	v2020-05-31	848530	780473	780473	91.97	100.00
Tatoeba	v2021-03-10	Tatoeba	v20190709	848530	707235	706866	83.30	99.94
Tatoeba	v2021-03-10	Tatoeba	v2	848530	154640	150612	17.74	97.39
Tatoeba	v2021-03-10	OpenSubtitles	v2018	848530	25192322	129973	15.31	.51
Tatoeba	v2021-03-10	OpenSubtitles	v2016	848530	18815068	116589	13.74	.61
Tatoeba	v2021-03-10	OpenSubtitles	v2012	848530	6064128	72400	8.53	1.19
Tatoeba	v2021-03-10	OpenSubtitles	v2013	848530	5700632	71203	8.39	1.24
Tatoeba	v2021-03-10	NLLB	v1	848530	405724899	59005	6.95	.01
Tatoeba	v2021-03-10	CCMatrix	v1	848530	106963899	30895	3.64	.02
Tatoeba	v2021-03-10	CCAligned	v1	848530	71915281	26354	3.10	.03
Tatoeba	v2021-03-10	MultiCCAligned	v1.1	848530	71915162	26354	3.10	.03
Tatoeba	v2021-03-10	MultiCCAligned	v1	848530	71915162	26354	3.10	.03
Tatoeba	v2021-03-10	QED	v2.0a	848530	841028	10842	1.27	1.28
Tatoeba	v2021-03-10	ParaCrawl	v1	848530	9829537	8361	.98	.08
Tatoeba	v2021-03-10	OpenSubtitles	v1	848530	83429	5570	.65	6.67
Tatoeba	v2021-03-10	ChuBiCo	v1	848530	1000206	5198	.61	.51
Tatoeba	v2021-03-10	MultiParaCrawl	v7.1	848530	5483226	4702	.55	.08
Tatoeba	v2021-03-10	MultiParaCrawl	v8	848530	5483226	4702	.55	.08
Tatoeba	v2021-03-10	MultiParaCrawl	v9	848530	5483226	4702	.55	.08
Tatoeba	v2021-03-10	MultiParaCrawl	v9b	848530	5483226	4702	.55	.08
Tatoeba	v2021-03-10	ParaCrawl	v7.1	848530	5483226	4702	.55	.08
Tatoeba	v2021-03-10	ParaCrawl	v8	848530	5483226	4702	.55	.08
Tatoeba	v2021-03-10	ParaCrawl	v9	848530	5483226	4702	.55	.08
Tatoeba	v2021-03-10	WikiMatrix	v1	848530	17794557	4023	.47	.02
