corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2021-07-22	Tatoeba	v2022-03-03	531553	602838	531553	100.00	88.17
Tatoeba	v2021-07-22	Tatoeba	v2021-03-10	531553	556720	506194	95.22	90.92
Tatoeba	v2021-07-22	Tatoeba	v2020-11-09	531553	545306	494780	93.08	90.73
Tatoeba	v2021-07-22	Tatoeba	v2020-05-31	531553	523304	472778	88.94	90.34
Tatoeba	v2021-07-22	Tatoeba	v20190709	531553	484305	430697	81.02	88.93
Tatoeba	v2021-07-22	Tatoeba	v2	531553	257448	235041	44.21	91.29
Tatoeba	v2021-07-22	OpenSubtitles	v2018	531553	21227082	61037	11.48	.28
Tatoeba	v2021-07-22	CCMatrix	v1	531553	534914327	54541	10.26	.01
Tatoeba	v2021-07-22	MultiParaCrawl	v9	531553	220731737	30807	5.79	.01
Tatoeba	v2021-07-22	MultiParaCrawl	v9b	531553	220731737	30807	5.79	.01
Tatoeba	v2021-07-22	ParaCrawl	v9	531553	220731737	30807	5.79	.01
Tatoeba	v2021-07-22	MultiParaCrawl	v8	531553	182106158	24198	4.55	.01
Tatoeba	v2021-07-22	MultiCCAligned	v1.1	531553	94952359	17560	3.30	.01
Tatoeba	v2021-07-22	CCAligned	v1	531553	94952271	17560	3.30	.01
Tatoeba	v2021-07-22	OpenSubtitles	v1	531553	241453	6789	1.27	2.81
Tatoeba	v2021-07-22	QED	v2.0a	531553	684273	5972	1.12	.87
Tatoeba	v2021-07-22	ELRC-4217-NTEU_TierA	v1	531553	13752401	2654	.49	.01
Tatoeba	v2021-07-22	WikiMatrix	v1	531553	23734871	2487	.46	.01
Tatoeba	v2021-07-22	ELRC-4244-NTEU_TierA	v1	531553	12025211	2131	.40	.01
Tatoeba	v2021-07-22	ELRC-4258-NTEU_TierA	v1	531553	11002908	2157	.40	.01
Tatoeba	v2021-07-22	Europarl	v8	531553	2110612	2143	.40	.10
Tatoeba	v2021-07-22	EUbookshop	v2	531553	13681030	2085	.39	.01
Tatoeba	v2021-07-22	TED2020	v1	531553	329147	2014	.37	.61
Tatoeba	v2021-07-22	ELRC-4240-NTEU_TierA	v1	531553	6884759	827	.15	.01
Tatoeba	v2021-07-22	ELRC-4189-NTEU_TierA	v1	531553	6763579	842	.15	.01
Tatoeba	v2021-07-22	ELRC-4149-NTEU_TierA	v1	531553	6413624	819	.15	.01
Tatoeba	v2021-07-22	ELRC-4171-NTEU_TierA	v1	531553	6198455	826	.15	.01
Tatoeba	v2021-07-22	TED2013	v1.1	531553	142424	579	.10	.40
Tatoeba	v2021-07-22	News-Commentary	v16	531553	438345	354	.06	.08
Tatoeba	v2021-07-22	TildeMODEL	v2018	531553	5030606	312	.05	0
Tatoeba	v2021-07-22	News-Commentary	v14	531553	373715	318	.05	.08
Tatoeba	v2021-07-22	Books	v1	531553	70054	283	.05	.40
Tatoeba	v2021-07-22	News-Commentary	v9.0	531553	273047	221	.04	.08
Tatoeba	v2021-07-22	News-Commentary	v9.1	531553	273046	221	.04	.08
Tatoeba	v2021-07-22	News-Commentary	v11	531553	269009	265	.04	.09
Tatoeba	v2021-07-22	GlobalVoices	v2018q4	531553	88834	258	.04	.29
Tatoeba	v2021-07-22	GlobalVoices	v2017q3	531553	82965	246	.04	.29
Tatoeba	v2021-07-22	Wikipedia	v1.0	531553	2478076	176	.03	0
Tatoeba	v2021-07-22	GlobalVoices	v2015	531553	71300	210	.03	.29
Tatoeba	v2021-07-22	ELRC-2410-Portal_oficial_turis	v1	531553	132023	119	.02	.09
Tatoeba	v2021-07-22	Mozilla-I10n	v1	531553	49522	148	.02	.29
