corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2021-07-22	Tatoeba	v2020-11-09	299	299	299	100.00	100.00
Tatoeba	v2021-07-22	Tatoeba	v2021-03-10	299	299	299	100.00	100.00
Tatoeba	v2021-07-22	Tatoeba	v2022-03-03	299	299	299	100.00	100.00
Tatoeba	v2021-07-22	Tatoeba	v2023-04-12	299	299	299	100.00	100.00
Tatoeba	v2021-07-22	Tatoeba	v2020-05-31	299	296	296	98.99	100.00
Tatoeba	v2021-07-22	Tatoeba	v20190709	299	109	109	36.45	100.00
Tatoeba	v2021-07-22	Tatoeba	v2	299	43	42	14.04	97.67
Tatoeba	v2021-07-22	MultiCCAligned	v1	299	137541	1	.33	0
Tatoeba	v2021-07-22	CCAligned	v1	299	137540	1	.33	0
Tatoeba	v2021-07-22	TED2020	v1	299	56857	1	.33	0
Tatoeba	v2021-07-22	NeuLab-TedTalks	v1	299	11579	1	.33	0
Tatoeba	v2021-07-22	wikimedia	v20230407	299	9422	1	.33	.01
Tatoeba	v2021-07-22	wikimedia	v20210402	299	3535	1	.33	.02
Tatoeba	v2021-07-22	GlobalVoices	v2018q4	299	33	1	.33	3.03
Tatoeba	v2021-07-22	Tanzil	v1	299	92343	0	0	0
Tatoeba	v2021-07-22	KDE4	v2	299	20547	0	0	0
Tatoeba	v2021-07-22	GNOME	v1	299	12046	0	0	0
Tatoeba	v2021-07-22	Bianet	v1	299	6047	0	0	0
Tatoeba	v2021-07-22	tico-19	v2020-10-28	299	3070	0	0	0
Tatoeba	v2021-07-22	Ubuntu	v14.10	299	2014	0	0	0
Tatoeba	v2021-07-22	QED	v2.0a	299	1294	0	0	0
Tatoeba	v2021-07-22	wikimedia	v20190628	299	186	0	0	0
