corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2022-03-03	Tatoeba	v2023-04-12	313068	322298	313068	100.00	97.13
Tatoeba	v2022-03-03	Tatoeba	v2021-07-22	313068	307276	307276	98.14	100.00
Tatoeba	v2022-03-03	Tatoeba	v2021-03-10	313068	302363	302363	96.58	100.00
Tatoeba	v2022-03-03	Tatoeba	v2020-11-09	313068	299698	299698	95.72	100.00
Tatoeba	v2022-03-03	Tatoeba	v2020-05-31	313068	294740	294708	94.13	99.98
Tatoeba	v2022-03-03	Tatoeba	v20190709	313068	289207	289207	92.37	100.00
Tatoeba	v2022-03-03	Tatoeba	v2	313068	142996	137791	44.01	96.36
Tatoeba	v2022-03-03	OpenSubtitles	v2018	313068	18698900	18608	5.94	.09
Tatoeba	v2022-03-03	OpenSubtitles	v2016	313068	11777113	15402	4.91	.13
Tatoeba	v2022-03-03	ParaCrawl	v9	313068	278310902	6630	2.11	0
Tatoeba	v2022-03-03	CCMatrix	v1	313068	245958729	6265	2.00	0
Tatoeba	v2022-03-03	NLLB	v1	313068	245954214	6267	2.00	0
Tatoeba	v2022-03-03	ParaCrawl	v8	313068	261106742	4019	1.28	0
Tatoeba	v2022-03-03	MultiParaCrawl	v7.1	313068	82638070	3044	.97	0
Tatoeba	v2022-03-03	ParaCrawl	v7.1	313068	82638069	3043	.97	0
Tatoeba	v2022-03-03	MultiCCAligned	v1	313068	91967663	1898	.60	0
Tatoeba	v2022-03-03	CCAligned	v1	313068	15192790	1550	.49	.01
Tatoeba	v2022-03-03	ParaCrawl	v5	313068	36657324	1435	.45	0
Tatoeba	v2022-03-03	QED	v2.0a	313068	492321	1426	.45	.28
Tatoeba	v2022-03-03	ParaCrawl	v1	313068	36203700	1240	.39	0
Tatoeba	v2022-03-03	ParaCrawl	v4	313068	16173851	682	.21	0
Tatoeba	v2022-03-03	OpenSubtitles	v1	313068	66867	570	.18	.85
Tatoeba	v2022-03-03	Europarl	v8	313068	1916512	298	.09	.01
Tatoeba	v2022-03-03	Europarl	v7	313068	1915803	298	.09	.01
Tatoeba	v2022-03-03	TED2020	v1	313068	289362	286	.09	.09
Tatoeba	v2022-03-03	NeuLab-TedTalks	v1	313068	182085	190	.06	.10
Tatoeba	v2022-03-03	Europarl	v3	313068	1285340	184	.05	.01
Tatoeba	v2022-03-03	TED2013	v1.1	313068	142758	165	.05	.11
Tatoeba	v2022-03-03	EUbookshop	v2	313068	8268818	118	.03	0
Tatoeba	v2022-03-03	WikiMatrix	v1	313068	1573421	104	.03	0
Tatoeba	v2022-03-03	TildeMODEL	v2018	313068	4184303	50	.01	0
Tatoeba	v2022-03-03	News-Commentary	v16	313068	285720	52	.01	.01
Tatoeba	v2022-03-03	News-Commentary	v14	313068	285704	57	.01	.01
Tatoeba	v2022-03-03	News-Commentary	v11	313068	222749	49	.01	.02
Tatoeba	v2022-03-03	News-Commentary	v9.0	313068	200304	48	.01	.02
Tatoeba	v2022-03-03	News-Commentary	v9.1	313068	200304	48	.01	.02
Tatoeba	v2022-03-03	GlobalVoices	v2018q4	313068	70537	35	.01	.04
