corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2022-03-03	Tatoeba	v2021-07-22	11285	11205	11205	99.29	100.00
Tatoeba	v2022-03-03	Tatoeba	v2021-03-10	11285	11061	11061	98.01	100.00
Tatoeba	v2022-03-03	Tatoeba	v2020-11-09	11285	10899	10899	96.57	100.00
Tatoeba	v2022-03-03	Tatoeba	v2020-05-31	11285	10739	10739	95.16	100.00
Tatoeba	v2022-03-03	Tatoeba	v20190709	11285	10012	10012	88.71	100.00
Tatoeba	v2022-03-03	Tatoeba	v2	11285	3033	2947	26.11	97.16
Tatoeba	v2022-03-03	GNOME	v1	11285	3703	0	0	0
Tatoeba	v2022-03-03	Ubuntu	v14.10	11285	3702	0	0	0
Tatoeba	v2022-03-03	QED	v2.0a	11285	2044	0	0	0
Tatoeba	v2022-03-03	wikimedia	v20210402	11285	165	1	0	.60
Tatoeba	v2022-03-03	wikimedia	v20190628	11285	92	0	0	0
