corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2022-03-03	Tatoeba	v2021-07-22	440	439	439	99.77	100.00
Tatoeba	v2022-03-03	Tatoeba	v2021-03-10	440	394	394	89.54	100.00
Tatoeba	v2022-03-03	Tatoeba	v2020-11-09	440	363	363	82.50	100.00
Tatoeba	v2022-03-03	Tatoeba	v2020-05-31	440	337	337	76.59	100.00
Tatoeba	v2022-03-03	Tatoeba	v20190709	440	336	336	76.36	100.00
Tatoeba	v2022-03-03	Tatoeba	v2	440	226	220	50.00	97.34
Tatoeba	v2022-03-03	CCAligned	v1	440	563447	1	.22	0
Tatoeba	v2022-03-03	XLEnt	v1.1	440	89047	1	.22	0
Tatoeba	v2022-03-03	XLEnt	v1.2	440	89047	1	.22	0
Tatoeba	v2022-03-03	XLEnt	v1	440	89047	1	.22	0
Tatoeba	v2022-03-03	TED2020	v1	440	24255	1	.22	0
Tatoeba	v2022-03-03	QED	v2.0a	440	23116	1	.22	0
Tatoeba	v2022-03-03	NeuLab-TedTalks	v1	440	9744	1	.22	.01
Tatoeba	v2022-03-03	wikimedia	v20210402	440	3015	1	.22	.03
Tatoeba	v2022-03-03	wikimedia	v20190628	440	1041	0	0	0
Tatoeba	v2022-03-03	GNOME	v1	440	691	0	0	0
Tatoeba	v2022-03-03	Ubuntu	v14.10	440	240	0	0	0
