corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2022-03-03	Tatoeba	v2023-04-12	5689	6849	5689	100.00	83.06
Tatoeba	v2022-03-03	Tatoeba	v2021-07-22	5689	5633	5633	99.01	100.00
Tatoeba	v2022-03-03	Tatoeba	v2021-03-10	5689	5630	5630	98.96	100.00
Tatoeba	v2022-03-03	Tatoeba	v2020-11-09	5689	5517	5517	96.97	100.00
Tatoeba	v2022-03-03	Tatoeba	v2020-05-31	5689	5324	5321	93.53	99.94
Tatoeba	v2022-03-03	Tatoeba	v20190709	5689	5318	5318	93.47	100.00
Tatoeba	v2022-03-03	Tatoeba	v2	5689	2166	2000	35.15	92.33
Tatoeba	v2022-03-03	CCMatrix	v1	5689	49682115	105	1.84	0
Tatoeba	v2022-03-03	NLLB	v1	5689	49681154	105	1.84	0
Tatoeba	v2022-03-03	OpenSubtitles	v2018	5689	3046635	73	1.28	0
Tatoeba	v2022-03-03	OpenSubtitles	v2016	5689	1990878	63	1.10	0
Tatoeba	v2022-03-03	MultiCCAligned	v1	5689	12230118	50	.87	0
Tatoeba	v2022-03-03	CCAligned	v1	5689	12229912	50	.87	0
Tatoeba	v2022-03-03	ParaCrawl-Bonus	v9	5689	6255074	19	.33	0
Tatoeba	v2022-03-03	QED	v2.0a	5689	315775	18	.31	0
Tatoeba	v2022-03-03	HPLT	v2	5689	19231734	10	.17	0
Tatoeba	v2022-03-03	MultiHPLT	v2	5689	19231734	10	.17	0
Tatoeba	v2022-03-03	TED2020	v1	5689	319120	5	.08	0
Tatoeba	v2022-03-03	NeuLab-TedTalks	v1	5689	180861	2	.03	0
Tatoeba	v2022-03-03	WikiMatrix	v1	5689	1073752	1	.01	0
Tatoeba	v2022-03-03	wikimedia	v20230407	5689	613874	1	.01	0
Tatoeba	v2022-03-03	wikimedia	v20210402	5689	549683	1	.01	0
Tatoeba	v2022-03-03	StanfordNLP-NMT	v1.0	5689	133039	1	.01	0
Tatoeba	v2022-03-03	translatewiki	v2025-01-01	5689	34254	1	.01	0
Tatoeba	v2022-03-03	ELRC-3086-wikipedia_health	v1	5689	4274	1	.01	.02
Tatoeba	v2022-03-03	ELRC-wikipedia_health	v1	5689	4274	1	.01	.02
Tatoeba	v2022-03-03	XLEnt	v1.1	5689	3	1	.01	33.33
Tatoeba	v2022-03-03	XLEnt	v1.2	5689	3	1	.01	33.33
Tatoeba	v2022-03-03	XLEnt	v1	5689	3	1	.01	33.33
Tatoeba	v2022-03-03	bible-uedin	v1	5689	119297	0	0	0
Tatoeba	v2022-03-03	KDE4	v2	5689	39809	0	0	0
Tatoeba	v2022-03-03	Wikipedia	v1.0	5689	36186	0	0	0
Tatoeba	v2022-03-03	Ubuntu	v14.10	5689	5036	0	0	0
Tatoeba	v2022-03-03	ELRC_2922	v1	5689	4273	0	0	0
Tatoeba	v2022-03-03	GNOME	v1	5689	148	0	0	0
