corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2023-04-12	Tatoeba	v2022-03-03	81642	81194	81194	99.45	100.00
Tatoeba	v2023-04-12	Tatoeba	v2021-07-22	81642	80545	80545	98.65	100.00
Tatoeba	v2023-04-12	Tatoeba	v2021-03-10	81642	80040	80040	98.03	100.00
Tatoeba	v2023-04-12	Tatoeba	v2020-11-09	81642	79854	79854	97.80	100.00
Tatoeba	v2023-04-12	Tatoeba	v2020-05-31	81642	79685	79671	97.58	99.98
Tatoeba	v2023-04-12	Tatoeba	v20190709	81642	78808	78808	96.52	100.00
Tatoeba	v2023-04-12	Tatoeba	v2	81642	12207	11809	14.46	96.73
Tatoeba	v2023-04-12	OpenSubtitles	v2018	81642	23382097	8074	9.88	.03
Tatoeba	v2023-04-12	OpenSubtitles	v2016	81642	16640273	7169	8.78	.04
Tatoeba	v2023-04-12	ParaCrawl	v9	81642	31315288	1212	1.48	0
Tatoeba	v2023-04-12	HPLT	v2	81642	29067798	730	.89	0
Tatoeba	v2023-04-12	OpenSubtitles	v1	81642	103215	679	.83	.65
Tatoeba	v2023-04-12	ParaCrawl	v8	81642	15301964	399	.48	0
Tatoeba	v2023-04-12	QED	v2.0a	81642	96483	398	.48	.41
Tatoeba	v2023-04-12	MultiParaCrawl	v7.1	81642	7268809	384	.47	0
Tatoeba	v2023-04-12	ParaCrawl	v7.1	81642	7268808	383	.46	0
Tatoeba	v2023-04-12	CCMatrix	v1	81642	35804134	349	.42	0
Tatoeba	v2023-04-12	NLLB	v1	81642	35803625	349	.42	0
Tatoeba	v2023-04-12	HPLT	v1	81642	25176463	272	.33	0
Tatoeba	v2023-04-12	HPLT	v1.1	81642	25176426	272	.33	0
Tatoeba	v2023-04-12	MultiCCAligned	v1	81642	9646186	267	.32	0
Tatoeba	v2023-04-12	CCAligned	v1	81642	9646025	267	.32	0
Tatoeba	v2023-04-12	ParaCrawl	v1	81642	618374	243	.29	.03
Tatoeba	v2023-04-12	ELRC-4239-NTEU_TierA	v1	81642	12577938	185	.22	0
Tatoeba	v2023-04-12	Europarl	v8	81642	1920092	152	.18	0
Tatoeba	v2023-04-12	Europarl	v7	81642	1919709	152	.18	0
Tatoeba	v2023-04-12	Europarl	v3	81642	1233965	100	.12	0
