corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2023-04-12	Tatoeba	v2022-03-03	676784	674238	674238	99.62	100.00
Tatoeba	v2023-04-12	Tatoeba	v2021-07-22	676784	672102	672102	99.30	100.00
Tatoeba	v2023-04-12	Tatoeba	v2021-03-10	676784	669921	669921	98.98	100.00
Tatoeba	v2023-04-12	Tatoeba	v2020-11-09	676784	668189	668189	98.73	100.00
Tatoeba	v2023-04-12	Tatoeba	v2020-05-31	676784	666781	666700	98.51	99.98
Tatoeba	v2023-04-12	Tatoeba	v20190709	676784	659717	659717	97.47	100.00
Tatoeba	v2023-04-12	Tatoeba	v2	676784	156220	152335	22.50	97.51
Tatoeba	v2023-04-12	OpenSubtitles	v2018	676784	35657527	37741	5.57	.10
Tatoeba	v2023-04-12	OpenSubtitles	v2016	676784	29870130	34543	5.10	.11
Tatoeba	v2023-04-12	CCMatrix	v1	676784	46757033	16899	2.49	.03
Tatoeba	v2023-04-12	NLLB	v1	676784	46756357	16899	2.49	.03
Tatoeba	v2023-04-12	OpenSubtitles	v1	676784	193626	1667	.24	.86
Tatoeba	v2023-04-12	QED	v2.0a	676784	454090	1331	.19	.29
Tatoeba	v2023-04-12	HPLT	v2	676784	21616639	444	.06	0
Tatoeba	v2023-04-12	MultiHPLT	v2	676784	21616639	444	.06	0
Tatoeba	v2023-04-12	MultiCCAligned	v1	676784	20085783	435	.06	0
Tatoeba	v2023-04-12	CCAligned	v1	676784	13511958	427	.06	0
Tatoeba	v2023-04-12	TED2020	v1	676784	368571	382	.05	.10
Tatoeba	v2023-04-12	NeuLab-TedTalks	v1	676784	191216	190	.02	.09
Tatoeba	v2023-04-12	TED2013	v1.1	676784	136068	124	.01	.09
Tatoeba	v2023-04-12	LinguaTools-WikiTitles	v2014	676784	3757493	1	0	0
Tatoeba	v2023-04-12	XLEnt	v1.1	676784	3624602	1	0	0
Tatoeba	v2023-04-12	XLEnt	v1.2	676784	3624602	1	0	0
Tatoeba	v2023-04-12	XLEnt	v1	676784	3624602	1	0	0
Tatoeba	v2023-04-12	MaCoCu	v2	676784	1646740	53	0	0
Tatoeba	v2023-04-12	MultiMaCoCu	v2	676784	1646740	53	0	0
Tatoeba	v2023-04-12	Tanzil	v1	676784	1145312	2	0	0
Tatoeba	v2023-04-12	GoURMET	v1	676784	778173	49	0	0
Tatoeba	v2023-04-12	GoURMET	v2	676784	778173	49	0	0
Tatoeba	v2023-04-12	wikimedia	v20230407	676784	618388	20	0	0
Tatoeba	v2023-04-12	WikiMatrix	v1	676784	477736	22	0	0
Tatoeba	v2023-04-12	wikimedia	v20210402	676784	278474	11	0	0
Tatoeba	v2023-04-12	SETIMES	v2	676784	205750	7	0	0
Tatoeba	v2023-04-12	SETIMES	v1	676784	165712	2	0	0
Tatoeba	v2023-04-12	Wikipedia	v1.0	676784	157248	12	0	0
Tatoeba	v2023-04-12	KDE4	v2	676784	130514	9	0	0
Tatoeba	v2023-04-12	bible-uedin	v1	676784	59699	5	0	0
Tatoeba	v2023-04-12	Bianet	v1	676784	31734	1	0	0
Tatoeba	v2023-04-12	EUbookshop	v2	676784	22034	2	0	0
Tatoeba	v2023-04-12	infopankki	v1	676784	13164	6	0	.04
Tatoeba	v2023-04-12	WMT-News	v2019	676784	10007	14	0	.13
Tatoeba	v2023-04-12	PHP	v1	676784	9057	1	0	.01
Tatoeba	v2023-04-12	GlobalVoices	v2018q4	676784	7479	7	0	.09
Tatoeba	v2023-04-12	Ubuntu	v14.10	676784	7285	1	0	.01
Tatoeba	v2023-04-12	GlobalVoices	v2017q3	676784	5465	5	0	.09
Tatoeba	v2023-04-12	GlobalVoices	v2015	676784	3925	1	0	.02
Tatoeba	v2023-04-12	ELRC-3057-wikipedia_health	v1	676784	2368	1	0	.04
Tatoeba	v2023-04-12	ELRC-wikipedia_health	v1	676784	2368	1	0	.04
Tatoeba	v2023-04-12	ELRC_2922	v1	676784	2367	0	0	0
Tatoeba	v2023-04-12	tldr-pages	v2023-08-29	676784	1721	1	0	.05
Tatoeba	v2023-04-12	TildeMODEL	v2018	676784	1584	0	0	0
Tatoeba	v2023-04-12	GNOME	v1	676784	149	0	0	0
