corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2023-04-12	Tatoeba	v2022-03-03	5434	5382	5382	99.04	100.00
Tatoeba	v2023-04-12	Tatoeba	v2021-07-22	5434	5379	5379	98.98	100.00
Tatoeba	v2023-04-12	Tatoeba	v2021-03-10	5434	5363	5363	98.69	100.00
Tatoeba	v2023-04-12	Tatoeba	v2020-11-09	5434	5308	5308	97.68	100.00
Tatoeba	v2023-04-12	Tatoeba	v2020-05-31	5434	5295	5294	97.42	99.98
Tatoeba	v2023-04-12	Tatoeba	v20190709	5434	5262	5262	96.83	100.00
Tatoeba	v2023-04-12	Tatoeba	v2	5434	2601	2494	45.89	95.88
Tatoeba	v2023-04-12	wikimedia	v20230407	5434	3696	1	.01	.02
Tatoeba	v2023-04-12	wikimedia	v20210402	5434	2205	1	.01	.04
Tatoeba	v2023-04-12	wikimedia	v20190628	5434	1074	0	0	0
