corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2023-04-12	Tatoeba	v2020-11-09	70	69	69	98.57	100.00
Tatoeba	v2023-04-12	Tatoeba	v2021-03-10	70	69	69	98.57	100.00
Tatoeba	v2023-04-12	Tatoeba	v2021-07-22	70	69	69	98.57	100.00
Tatoeba	v2023-04-12	Tatoeba	v2022-03-03	70	69	69	98.57	100.00
Tatoeba	v2023-04-12	Tatoeba	v20190709	70	34	34	48.57	100.00
Tatoeba	v2023-04-12	Tatoeba	v2020-05-31	70	34	34	48.57	100.00
Tatoeba	v2023-04-12	NLLB	v1	70	4583415	1	1.42	0
Tatoeba	v2023-04-12	MultiCCAligned	v1	70	125561	1	1.42	0
Tatoeba	v2023-04-12	CCAligned	v1	70	125560	1	1.42	0
Tatoeba	v2023-04-12	XLEnt	v1.1	70	27546	1	1.42	0
Tatoeba	v2023-04-12	XLEnt	v1.2	70	27546	1	1.42	0
Tatoeba	v2023-04-12	XLEnt	v1	70	27546	1	1.42	0
Tatoeba	v2023-04-12	wikimedia	v20230407	70	9263	1	1.42	.01
Tatoeba	v2023-04-12	wikimedia	v20210402	70	1217	1	1.42	.08
Tatoeba	v2023-04-12	bible-uedin	v1	70	15851	0	0	0
Tatoeba	v2023-04-12	GNOME	v1	70	9247	0	0	0
Tatoeba	v2023-04-12	Ubuntu	v14.10	70	4295	0	0	0
Tatoeba	v2023-04-12	tico-19	v2020-10-28	70	3070	0	0	0
Tatoeba	v2023-04-12	wikimedia	v20190628	70	428	0	0	0
