ParaCrawl	v9	216646825	369464/5053982	7.31
CCMatrix	v1	324789552	221044/5053982	4.37
ELRC-2720-EMEA	v1	764730	138682/5053982	2.74
ELRC-EMEA	v1	764730	138682/5053982	2.74
giga-fren	v2	21837483	89042/5053982	1.76
DGT	v2019	3594195	76805/5053982	1.51
EMEA	v3	363091	67008/5053982	1.32
EUbookshop	v2	9351611	47494/5053982	.93
JRC-Acquis	v3.0	501584	18007/5053982	.35
UNPC	v1.0	22819242	17483/5053982	.34
CCAligned	v1	15398414	13721/5053982	.27
MultiUN	v1	10468683	10250/5053982	.20
ECB	v1	195699	6772/5053982	.13
XLEnt	v1.1	7689402	3140/5053982	.06
XLEnt	v1	7689402	3140/5053982	.06
OpenSubtitles	v2018	34087404	1331/5053982	.02
KDE4	v2	179988	1047/5053982	.02
wikimedia	v20210402	908826	1022/5053982	.02
Europarl	v8	2008866	1008/5053982	.01
ELRC-2879-EU_publications_medi	v1	13128	937/5053982	.01
ELRC-EU_publications	v1	13128	937/5053982	.01
GNOME	v1	55185	662/5053982	.01
EUconst	v1	6664	469/5053982	0
ELRC-422-Portuguese_legislati	v1	2465	316/5053982	0
ELRC-Portuguese_legislati	v1	2465	316/5053982	0
ELRC-2481-Constituio_da_Repbli	v1	3055	306/5053982	0
QED	v2.0a	719317	277/5053982	0
OpenOffice	v2	31879	233/5053982	0
UN	v20090831	60159	226/5053982	0
ELRC-3569-EUR_LEX_covid	v1	23762	224/5053982	0
ELRC-EUR_LEX	v1	23762	224/5053982	0
ELRC-1100-EUIPO_list	v1	31627	220/5053982	0
ELRC-EUIPO_list	v1	31627	220/5053982	0
ELRA-W0149	v1	31626	219/5053982	0
ELRA-W0201	v1	36227	211/5053982	0
ELRC-638-Luxembourg.lu	v1	36226	211/5053982	0
ELITR-ECA	v1	373483	205/5053982	0
GlobalVoices	v2017q3	339221	194/5053982	0
GlobalVoices	v2015	295008	178/5053982	0
ELRC-1118-CORDIS_News	v1	132413	162/5053982	0
ELRC-CORDIS_News	v1	132413	162/5053982	0
ELRC-2018-EUIPO_2017	v1	17444	159/5053982	0
ELRC-EUIPO_2017	v1	17444	159/5053982	0
GlobalVoices	v2018q4	183156	119/5053982	0
WikiMatrix	v1	2757879	108/5053982	0
TED2020	v1	399799	95/5053982	0
EuroPat	v2	12081951	86/5053982	0
infopankki	v1	15545	82/5053982	0
EuroPat	v3	11098711	78/5053982	0
OpenSubtitles	v1	202060	76/5053982	0
Tatoeba	v2022-03-03	268076	76/5053982	0
EuroPat	v1	9213466	75/5053982	0
Tatoeba	v2020-05-31	259672	75/5053982	0
Tatoeba	v2020-11-09	261643	75/5053982	0
Tatoeba	v2021-03-10	262539	75/5053982	0
Tatoeba	v2021-07-22	264344	75/5053982	0
Tatoeba	v20190709	257088	73/5053982	0
ELRC-637-SIP	v1	10087	65/5053982	0
ELRC-816-ANR_containing_major	v1	10821	50/5053982	0
PHP	v1	16018	50/5053982	0
TED2013	v1.1	159223	49/5053982	0
ELRC-4329-PRINCIPLE_MVEP_legal	v1	11542	48/5053982	0
News-Commentary	v11	209253	47/5053982	0
News-Commentary	v9.0	182504	47/5053982	0
News-Commentary	v9.1	182504	47/5053982	0
Ubuntu	v14.10	9314	43/5053982	0
Tatoeba	v2	144368	42/5053982	0
Books	v1	126395	35/5053982	0
ELRA-W0309	v1	188	33/5053982	0
ELRC-745-Convention_against_T	v1	189	33/5053982	0
News-Commentary	v14	151418	33/5053982	0
ELRC-3610-presscorner_covid	v1	11315	31/5053982	0
ELRC-presscorner_covid	v1	11315	31/5053982	0
News-Commentary	v16	151418	30/5053982	0
ELRC-5067-SciPar	v1	1123122	29/5053982	0
ELRA-W0307	v1	221	27/5053982	0
ELRC-646-International_Judici	v1	222	27/5053982	0
ELRA-W0138	v1	70826	25/5053982	0
ELRC-1075-EUIPO_law	v1	70827	25/5053982	0
ELRC-EUIPO_law	v1	70827	25/5053982	0
ELRC_3382	v1	6559	18/5053982	0
Wikipedia	v1.0	803434	18/5053982	0
ELRC-2410-Portal_oficial_turis	v1	667	16/5053982	0
WMT-News	v2019	22557	14/5053982	0
WMT-News	v2014	19557	12/5053982	0
ELRC-2480-Estatuto_dos_Deputad	v1	446	11/5053982	0
ELRC-3468-EC_EUROPA_covid	v1	2636	11/5053982	0
ELRC-EC_EUROPA	v1	2636	11/5053982	0
ELRC-1122-CORDIS_Results_Brief	v1	259749	10/5053982	0
ELRC-CORDIS_Results	v1	259749	10/5053982	0
ELRC-416-Swedish_Social_Secur	v1	181	7/5053982	0
ELRC_416	v1	180	7/5053982	0
ELRA-W0301	v1	21	4/5053982	0
ELRC-3208-antibiotic	v1	1070	4/5053982	0
ELRC-403-Rights_Arrested	v1	24	4/5053982	0
ELRC-837-Legal	v1	985	4/5053982	0
ELRC-antibiotic	v1	1070	4/5053982	0
ELRC-Swedish_Labour	v1	1245	4/5053982	0
ELRA-W0305	v1	588	3/5053982	0
ELRC-2732-vaccination	v1	512	3/5053982	0
ELRC-406-Swedish_Labour_Part1	v1	604	3/5053982	0
ELRC-436-Swedish_Food	v1	589	3/5053982	0
ELRC-vaccination	v1	512	3/5053982	0
ELRC_2922	v1	4365	2/5053982	0
ELRC-3074-wikipedia_health	v1	4366	2/5053982	0
ELRC-401-Swedish_Labour_Part2	v1	686	2/5053982	0
ELRC-wikipedia_health	v1	4366	2/5053982	0
ELRC-844-PAeSI__Administratio	v1	313	1/5053982	0
Salome	v1	1227	1/5053982	0
bible-uedin	v1	61467	0/5053982	0
ELRA-W0308	v1	97	0/5053982	0
ELRC-2612-Artigos_visitportuga	v1	1231	0/5053982	0
ELRC-2614-Localidades_2007	v1	1399	0/5053982	0
ELRC-2616-Museus_2007	v1	817	0/5053982	0
ELRC-2622-Arquitectura_2007	v1	111	0/5053982	0
ELRC-2623-Patrimnio_Aores_2006	v1	63	0/5053982	0
ELRC-2638-monumentos_2007	v1	5	0/5053982	0
ELRC-2639-Parques_e_reservas	v1	132	0/5053982	0
ELRC-2641-Praias_2007	v1	581	0/5053982	0
ELRC_2923	v1	502	0/5053982	0
ELRC-3297-EUROPARL_covid	v1	788	0/5053982	0
ELRC-3852-Development_Funds_Re	v1	94	0/5053982	0
ELRC-417-Swedish_Work_Environ	v1	12	0/5053982	0
ELRC-648-Letter_rights_person	v1	87	0/5053982	0
ELRC-832-CHARTER_VALUES_CITIZ	v1	53	0/5053982	0
ELRC-Arquitectura_2007	v1	111	0/5053982	0
ELRC-Artigos_visitportuga	v1	1231	0/5053982	0
ELRC-EUROPARL_covid	v1	788	0/5053982	0
ELRC-Localidades_2007	v1	1399	0/5053982	0
ELRC-Museus_2007	v1	817	0/5053982	0
ELRC-Parques_e	v1	132	0/5053982	0
ELRC-Patrimnio_Aores	v1	63	0/5053982	0
ELRC-Praias_2007	v1	581	0/5053982	0
RF	v1	175	0/5053982	0
Tanzil	v1	129891	0/5053982	0
tico-19	v2020-10-28	3069	0/5053982	0
