corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
UNPC	v1.0	CCMatrix	v1	21391207	859439207	266160	1.24	.03
UNPC	v1.0	NLLB	v1	21391207	857517045	265946	1.24	.03
UNPC	v1.0	MultiParaCrawl	v8	21391207	264377956	132179	.61	.04
UNPC	v1.0	ParaCrawl	v8	21391207	264377956	132179	.61	.04
UNPC	v1.0	MultiParaCrawl	v9	21391207	226869093	114809	.53	.05
UNPC	v1.0	MultiParaCrawl	v9b	21391207	226869093	114809	.53	.05
UNPC	v1.0	ParaCrawl	v9	21391207	226869093	114809	.53	.05
UNPC	v1.0	MultiCCAligned	v1.1	21391207	87772506	99664	.46	.11
UNPC	v1.0	MultiCCAligned	v1	21391207	87772506	99664	.46	.11
UNPC	v1.0	CCAligned	v1	21391207	87772466	99664	.46	.11
UNPC	v1.0	MultiParaCrawl	v7.1	21391207	80856973	86079	.40	.10
UNPC	v1.0	ParaCrawl	v7.1	21391207	80856973	86079	.40	.10
UNPC	v1.0	ParaCrawl	v1	21391207	16428932	49558	.23	.30
UNPC	v1.0	ELRC-4140-NTEU_TierA	v1	21391207	11705042	47083	.22	.40
UNPC	v1.0	XLEnt	v1.1	21391207	7570294	48248	.22	.63
UNPC	v1.0	XLEnt	v1	21391207	7570294	48248	.22	.63
UNPC	v1.0	XLEnt	v1.2	21391207	7570294	48248	.22	.63
UNPC	v1.0	ELRC-4153-NTEU_TierA	v1	21391207	9300988	42921	.20	.46
UNPC	v1.0	ELRC-4168-NTEU_TierA	v1	21391207	8832028	42675	.19	.48
UNPC	v1.0	UN	v20090831	21391207	60390	39590	.18	65.55
UNPC	v1.0	ELRC-4158-NTEU_TierA	v1	21391207	5936845	36059	.16	.60
UNPC	v1.0	ELRC-4233-NTEU_TierA	v1	21391207	5856590	36348	.16	.62
UNPC	v1.0	ELRC-4255-NTEU_TierA	v1	21391207	5469855	35519	.16	.64
UNPC	v1.0	ELRC-4207-NTEU_TierA	v1	21391207	5162061	34258	.16	.66
UNPC	v1.0	LinguaTools-WikiTitles	v2014	21391207	2395569	35028	.16	1.46
UNPC	v1.0	MultiParaCrawl	v5	21391207	38478003	32511	.15	.08
UNPC	v1.0	ParaCrawl	v5	21391207	38478003	32511	.15	.08
UNPC	v1.0	ParaCrawl	v4	21391207	23511028	31631	.14	.13
UNPC	v1.0	TildeMODEL	v2018	21391207	3810888	29802	.13	.78
UNPC	v1.0	OpenSubtitles	v2018	21391207	73554496	20380	.09	.02
UNPC	v1.0	EUbookshop	v2	21391207	6643561	20106	.09	.30
UNPC	v1.0	DOGC	v2	21391207	4523454	21298	.09	.47
UNPC	v1.0	OpenSubtitles	v2016	21391207	62803566	18932	.08	.03
UNPC	v1.0	JRC-Acquis	v3.0	21391207	1984923	18149	.08	.91
UNPC	v1.0	DGT	v4	21391207	1863560	18425	.08	.98
UNPC	v1.0	ELRC-4236-NTEU_TierA	v1	21391207	1381523	17231	.08	1.24
UNPC	v1.0	WikiTitles	v3	21391207	812938	19054	.08	2.34
UNPC	v1.0	DOGC	v3	21391207	8104246	15614	.07	.19
UNPC	v1.0	OpenSubtitles	v2012	21391207	33156044	13517	.06	.04
UNPC	v1.0	OpenSubtitles	v2013	21391207	22632732	10563	.04	.04
UNPC	v1.0	wikimedia	v20230407	21391207	3894558	8995	.04	.23
UNPC	v1.0	wikimedia	v20210402	21391207	2575869	6983	.03	.27
UNPC	v1.0	Elhuyar	v1	21391207	584148	7899	.03	1.35
UNPC	v1.0	WikiMatrix	v1	21391207	15180179	5269	.02	.03
UNPC	v1.0	EuroPat	v3	21391207	48256036	3363	.01	0
UNPC	v1.0	EuroPat	v2	21391207	41979278	2497	.01	0
UNPC	v1.0	QED	v2.0a	21391207	1690880	3453	.01	.20
UNPC	v1.0	OpenSubtitles	v1	21391207	1395666	2453	.01	.17
UNPC	v1.0	ELRC-2722-EMEA	v1	21391207	734279	2575	.01	.35
UNPC	v1.0	ELRC-EMEA	v1	21391207	734279	2575	.01	.35
UNPC	v1.0	EiTB-ParCC	v1	21391207	632391	2557	.01	.40
UNPC	v1.0	ECB	v1	21391207	363319	2910	.01	.80
UNPC	v1.0	EMEA	v3	21391207	338628	2751	.01	.81
UNPC	v1.0	ELRC-2410-Portal_oficial_turis	v1	21391207	205294	3677	.01	1.79
UNPC	v1.0	KDE4	v2	21391207	176261	4052	.01	2.29
UNPC	v1.0	ELRC-5179-acts_Ukrainian	v1	21391207	127708	2149	.01	1.68
UNPC	v1.0	Mozilla-I10n	v1	21391207	54369	2431	.01	4.47
UNPC	v1.0	MultiUN	v1	21391207	9831955	0	0	0
UNPC	v1.0	Europarl	v8	21391207	2106751	2124	0	.10
UNPC	v1.0	Europarl	v7	21391207	2106618	2121	0	.10
