corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Ubuntu	v14.10	GNOME	v1	6780	2179	675	9.95	30.97
Ubuntu	v14.10	XLEnt	v1.1	6780	2809447	361	5.32	.01
Ubuntu	v14.10	XLEnt	v1.2	6780	2809447	361	5.32	.01
Ubuntu	v14.10	XLEnt	v1	6780	2809447	361	5.32	.01
Ubuntu	v14.10	KDE4	v2	6780	143938	326	4.80	.22
Ubuntu	v14.10	MultiCCAligned	v1	6780	5774694	58	.85	0
Ubuntu	v14.10	CCAligned	v1	6780	5774598	58	.85	0
Ubuntu	v14.10	HPLT	v2	6780	13080716	24	.35	0
Ubuntu	v14.10	wikimedia	v20230407	6780	386194	11	.16	0
Ubuntu	v14.10	HPLT	v1	6780	8905890	9	.13	0
Ubuntu	v14.10	HPLT	v1.1	6780	8905881	9	.13	0
Ubuntu	v14.10	MultiHPLT	v1.1	6780	8905881	9	.13	0
Ubuntu	v14.10	MultiHPLT	v1	6780	8905881	9	.13	0
Ubuntu	v14.10	wikimedia	v20210402	6780	208067	9	.13	0
Ubuntu	v14.10	MaCoCu	v2	6780	3130520	4	.05	0
Ubuntu	v14.10	MultiMaCoCu	v2	6780	3130520	4	.05	0
Ubuntu	v14.10	ELRC-5129-GEnCaTA_a	v1	6780	38559	4	.05	.01
Ubuntu	v14.10	WikiMatrix	v1	6780	1205909	1	.01	0
Ubuntu	v14.10	OpenSubtitles	v2018	6780	427132	1	.01	0
Ubuntu	v14.10	OpenSubtitles	v2016	6780	350371	1	.01	0
Ubuntu	v14.10	QED	v2.0a	6780	69816	1	.01	0
Ubuntu	v14.10	CCMatrix	v1	6780	21161566	0	0	0
Ubuntu	v14.10	NLLB	v1	6780	21161243	0	0	0
Ubuntu	v14.10	TED2020	v1	6780	51400	0	0	0
Ubuntu	v14.10	GlobalVoices	v2017q3	6780	20884	0	0	0
Ubuntu	v14.10	GlobalVoices	v2015	6780	19645	0	0	0
Ubuntu	v14.10	GlobalVoices	v2018q4	6780	6878	0	0	0
Ubuntu	v14.10	Books	v1	6780	4580	0	0	0
Ubuntu	v14.10	EUbookshop	v2	6780	3740	0	0	0
Ubuntu	v14.10	ELRC-5189-Catalan_WMT2013_Mach	v1	6780	2999	0	0	0
Ubuntu	v14.10	Tatoeba	v2023-04-12	6780	1884	0	0	0
Ubuntu	v14.10	Tatoeba	v2022-03-03	6780	1860	0	0	0
Ubuntu	v14.10	Tatoeba	v2021-07-22	6780	1855	0	0	0
Ubuntu	v14.10	Tatoeba	v2021-03-10	6780	1843	0	0	0
Ubuntu	v14.10	Tatoeba	v2020-11-09	6780	1659	0	0	0
Ubuntu	v14.10	Tatoeba	v2020-05-31	6780	1629	0	0	0
Ubuntu	v14.10	Tatoeba	v20190709	6780	1626	0	0	0
Ubuntu	v14.10	ELRC-3040-wikipedia_health	v1	6780	1532	0	0	0
Ubuntu	v14.10	ELRC-wikipedia_health	v1	6780	1532	0	0	0
Ubuntu	v14.10	ELRC_2922	v1	6780	1531	0	0	0
Ubuntu	v14.10	ELRC-5190-Cyber_MT_Test	v1	6780	1004	0	0	0
Ubuntu	v14.10	Tatoeba	v2	6780	972	0	0	0
Ubuntu	v14.10	tldr-pages	v2023-08-29	6780	729	0	0	0
Ubuntu	v14.10	ELRC-2638-monumentos_2007	v1	6780	15	0	0	0
Ubuntu	v14.10	ELRC-2614-Localidades_2007	v1	6780	8	0	0	0
Ubuntu	v14.10	ELRC-Localidades_2007	v1	6780	8	0	0	0
Ubuntu	v14.10	ELRC-2612-Artigos_visitportuga	v1	6780	6	0	0	0
Ubuntu	v14.10	ELRC-2616-Museus_2007	v1	6780	6	0	0	0
Ubuntu	v14.10	ELRC-Artigos_visitportuga	v1	6780	6	0	0	0
Ubuntu	v14.10	ELRC-Museus_2007	v1	6780	6	0	0	0
Ubuntu	v14.10	ELRC-2480-Estatuto_dos_Deputad	v1	6780	2	0	0	0
Ubuntu	v14.10	ELRC-2481-Constituio_da_Repbli	v1	6780	2	0	0	0
