corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Ubuntu	v14.10	Samanantar	v0.2	2601	4071681	562	21.60	.01
Ubuntu	v14.10	KDE4	v2	2601	13141	49	1.88	.37
Ubuntu	v14.10	wikimedia	v20230407	2601	53071	9	.34	.01
Ubuntu	v14.10	wikimedia	v20210402	2601	14198	9	.34	.06
Ubuntu	v14.10	Anuvaad	v1	2601	1345690	5	.19	0
Ubuntu	v14.10	MultiCCAligned	v1	2601	163277	5	.19	0
Ubuntu	v14.10	CCAligned	v1	2601	163274	5	.19	0
Ubuntu	v14.10	GNOME	v1	2601	46	5	.19	10.86
Ubuntu	v14.10	HPLT	v2	2601	720156	3	.11	0
Ubuntu	v14.10	NLLB	v1	2601	34237366	2	.07	0
Ubuntu	v14.10	pmindia	v1	2601	35222	1	.03	0
Ubuntu	v14.10	XLEnt	v1.1	2601	30136	1	.03	0
Ubuntu	v14.10	XLEnt	v1.2	2601	30136	1	.03	0
Ubuntu	v14.10	XLEnt	v1	2601	30136	1	.03	0
Ubuntu	v14.10	bible-uedin	v1	2601	61251	0	0	0
Ubuntu	v14.10	TED2020	v1	2601	2258	0	0	0
Ubuntu	v14.10	QED	v2.0a	2601	666	0	0	0
Ubuntu	v14.10	Tatoeba	v2020-11-09	2601	179	0	0	0
Ubuntu	v14.10	Tatoeba	v2021-03-10	2601	179	0	0	0
Ubuntu	v14.10	Tatoeba	v2021-07-22	2601	179	0	0	0
Ubuntu	v14.10	Tatoeba	v2022-03-03	2601	179	0	0	0
Ubuntu	v14.10	Tatoeba	v2023-04-12	2601	179	0	0	0
Ubuntu	v14.10	Tatoeba	v20190709	2601	167	0	0	0
Ubuntu	v14.10	Tatoeba	v2020-05-31	2601	167	0	0	0
