corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Ubuntu	v14.10	GNOME	v1	1170	3988	670	57.26	16.80
Ubuntu	v14.10	ELRC-4269-NTEU_TierA	v1	1170	7895523	47	4.01	0
Ubuntu	v14.10	KDE4	v2	1170	81206	36	3.07	.04
Ubuntu	v14.10	XLEnt	v1.1	1170	1256487	33	2.82	0
Ubuntu	v14.10	XLEnt	v1	1170	1256487	33	2.82	0
Ubuntu	v14.10	XLEnt	v1.2	1170	1256487	33	2.82	0
Ubuntu	v14.10	MultiCCAligned	v1	1170	4821363	23	1.96	0
Ubuntu	v14.10	CCAligned	v1	1170	4821281	23	1.96	0
Ubuntu	v14.10	DGT	v2019	1170	3671728	12	1.02	0
Ubuntu	v14.10	DGT	v4	1170	1991420	12	1.02	0
Ubuntu	v14.10	TildeMODEL	v2018	1170	2075987	10	.85	0
Ubuntu	v14.10	ParaCrawl	v1	1170	241289	7	.59	0
Ubuntu	v14.10	JRC-Acquis	v3.0	1170	507359	5	.42	0
Ubuntu	v14.10	EMEA	v3	1170	331993	5	.42	0
Ubuntu	v14.10	ParaCrawl	v9	1170	13063805	4	.34	0
Ubuntu	v14.10	ELRC-2729-EMEA	v1	1170	776476	4	.34	0
Ubuntu	v14.10	ELRC-EMEA	v1	1170	776476	4	.34	0
Ubuntu	v14.10	EUbookshop	v2	1170	381309	3	.25	0
Ubuntu	v14.10	ECB	v1	1170	65318	3	.25	0
Ubuntu	v14.10	ELRC-399-International_Agreem	v1	1170	40897	3	.25	0
Ubuntu	v14.10	ELRA-W0158	v1	1170	40896	3	.25	0
Ubuntu	v14.10	wikimedia	v20230407	1170	20758	3	.25	.01
Ubuntu	v14.10	wikimedia	v20210402	1170	12154	2	.17	.01
Ubuntu	v14.10	ParaCrawl	v8	1170	8177648	1	.08	0
Ubuntu	v14.10	MultiParaCrawl	v7.1	1170	3950245	1	.08	0
Ubuntu	v14.10	ParaCrawl	v7.1	1170	3950244	1	.08	0
Ubuntu	v14.10	ELRC-2022-EUIPO_2017	v1	1170	17255	1	.08	0
Ubuntu	v14.10	ELRC-EUIPO_2017	v1	1170	17255	1	.08	0
Ubuntu	v14.10	EUconst	v1	1170	6697	1	.08	.01
Ubuntu	v14.10	ECDC	v2016-03-16	1170	2452	1	.08	.04
Ubuntu	v14.10	CCMatrix	v1	1170	16609664	0	0	0
Ubuntu	v14.10	NLLB	v1	1170	16609458	0	0	0
Ubuntu	v14.10	HPLT	v2	1170	11294614	0	0	0
Ubuntu	v14.10	MultiHPLT	v2	1170	11294614	0	0	0
Ubuntu	v14.10	ParaCrawl	v5	1170	1012317	0	0	0
Ubuntu	v14.10	Europarl	v8	1170	621253	0	0	0
Ubuntu	v14.10	Europarl	v7	1170	620874	0	0	0
Ubuntu	v14.10	ParaCrawl	v4	1170	550999	0	0	0
Ubuntu	v14.10	OpenSubtitles	v2018	1170	452998	0	0	0
Ubuntu	v14.10	OpenSubtitles	v2016	1170	369945	0	0	0
Ubuntu	v14.10	ELRC-5067-SciPar	v1	1170	347473	0	0	0
Ubuntu	v14.10	QED	v2.0a	1170	68105	0	0	0
Ubuntu	v14.10	ELITR-ECA	v1	1170	56639	0	0	0
Ubuntu	v14.10	TED2020	v1	1170	54132	0	0	0
Ubuntu	v14.10	ELRC-3578-EUR_LEX_covid	v1	1170	22466	0	0	0
Ubuntu	v14.10	ELRC-EUR_LEX	v1	1170	22466	0	0	0
Ubuntu	v14.10	bible-uedin	v1	1170	15837	0	0	0
Ubuntu	v14.10	ELRC-1130-www.visitestonia.com	v1	1170	13834	0	0	0
Ubuntu	v14.10	ELRC-www.visitestonia.com	v1	1170	13834	0	0	0
Ubuntu	v14.10	ELRC-2888-EU_publications_medi	v1	1170	13034	0	0	0
Ubuntu	v14.10	ELRC-EU_publications	v1	1170	13034	0	0	0
Ubuntu	v14.10	ELRC-715-Finance_Economics_Ba	v1	1170	11600	0	0	0
Ubuntu	v14.10	ELRA-W0216	v1	1170	11599	0	0	0
Ubuntu	v14.10	ELRC-402-MFA_Latvia	v1	1170	7194	0	0	0
Ubuntu	v14.10	ELRA-W0159	v1	1170	7193	0	0	0
Ubuntu	v14.10	ELRC-433-State_Latvian	v1	1170	6862	0	0	0
Ubuntu	v14.10	ELRA-W0169	v1	1170	6861	0	0	0
Ubuntu	v14.10	ELRC-3619-presscorner_covid	v1	1170	6681	0	0	0
Ubuntu	v14.10	ELRC-presscorner_covid	v1	1170	6681	0	0	0
Ubuntu	v14.10	WMT-News	v2019	1170	4004	0	0	0
Ubuntu	v14.10	ELRC_3382	v1	1170	3737	0	0	0
Ubuntu	v14.10	wikimedia	v20190628	1170	2795	0	0	0
Ubuntu	v14.10	ELRC-3477-EC_EUROPA_covid	v1	1170	2405	0	0	0
Ubuntu	v14.10	ELRC-EC_EUROPA	v1	1170	2405	0	0	0
Ubuntu	v14.10	ELRC-4994-Latvian_Financial_MT	v1	1170	2001	0	0	0
Ubuntu	v14.10	Tatoeba	v2023-04-12	1170	1807	0	0	0
Ubuntu	v14.10	Tatoeba	v2022-03-03	1170	1651	0	0	0
Ubuntu	v14.10	Tatoeba	v2020-11-09	1170	1633	0	0	0
Ubuntu	v14.10	Tatoeba	v2021-03-10	1170	1633	0	0	0
Ubuntu	v14.10	Tatoeba	v2021-07-22	1170	1633	0	0	0
Ubuntu	v14.10	Tatoeba	v2020-05-31	1170	1630	0	0	0
Ubuntu	v14.10	Tatoeba	v20190709	1170	1623	0	0	0
Ubuntu	v14.10	Tatoeba	v2	1170	1039	0	0	0
Ubuntu	v14.10	ELRC-3453-covid19.gov.lv	v1	1170	826	0	0	0
Ubuntu	v14.10	ELRC-3217-antibiotic	v1	1170	809	0	0	0
Ubuntu	v14.10	ELRC-antibiotic	v1	1170	809	0	0	0
Ubuntu	v14.10	ELRC-3306-EUROPARL_covid	v1	1170	723	0	0	0
Ubuntu	v14.10	ELRC-EUROPARL_covid	v1	1170	723	0	0	0
Ubuntu	v14.10	ELRC_2923	v1	1170	579	0	0	0
Ubuntu	v14.10	ELRC-2741-vaccination	v1	1170	521	0	0	0
Ubuntu	v14.10	ELRC-vaccination	v1	1170	521	0	0	0
Ubuntu	v14.10	ELRC-3089-wikipedia_health	v1	1170	143	0	0	0
Ubuntu	v14.10	ELRC-wikipedia_health	v1	1170	143	0	0	0
Ubuntu	v14.10	ELRC_2922	v1	1170	142	0	0	0
Ubuntu	v14.10	ELRA-W0308	v1	1170	100	0	0	0
Ubuntu	v14.10	ELRC-648-Letter_rights_person	v1	1170	84	0	0	0
Ubuntu	v14.10	ELRC-403-Rights_Arrested	v1	1170	23	0	0	0
Ubuntu	v14.10	ELRA-W0301	v1	1170	20	0	0	0
