corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Ubuntu	v14.10	GNOME	v1	7912	4306	465	5.87	10.79
Ubuntu	v14.10	XLEnt	v1.1	7912	3120821	412	5.20	.01
Ubuntu	v14.10	XLEnt	v1.2	7912	3120821	412	5.20	.01
Ubuntu	v14.10	XLEnt	v1	7912	3120821	412	5.20	.01
Ubuntu	v14.10	KDE4	v2	7912	99100	269	3.39	.27
Ubuntu	v14.10	LinguaTools-WikiTitles	v2014	7912	3330895	164	2.07	0
Ubuntu	v14.10	MultiCCAligned	v1	7912	10463174	142	1.79	0
Ubuntu	v14.10	CCAligned	v1	7912	10462991	142	1.79	0
Ubuntu	v14.10	OpenSubtitles	v2018	7912	39424613	50	.63	0
Ubuntu	v14.10	OpenSubtitles	v2016	7912	31406516	43	.54	0
Ubuntu	v14.10	DGT	v2019	7912	2753976	36	.45	0
Ubuntu	v14.10	DGT	v4	7912	1073269	35	.44	0
Ubuntu	v14.10	TildeMODEL	v2018	7912	1895503	29	.36	0
Ubuntu	v14.10	ParaCrawl	v1	7912	2454740	15	.18	0
Ubuntu	v14.10	wikimedia	v20230407	7912	304464	14	.17	0
Ubuntu	v14.10	wikimedia	v20210402	7912	227392	14	.17	0
Ubuntu	v14.10	ParaCrawl	v9	7912	25048458	9	.11	0
Ubuntu	v14.10	EMEA	v3	7912	316762	9	.11	0
Ubuntu	v14.10	ELRC-2728-EMEA	v1	7912	777379	7	.08	0
Ubuntu	v14.10	ELRC-EMEA	v1	7912	777379	7	.08	0
Ubuntu	v14.10	ECDC	v2016-03-16	7912	2467	7	.08	.28
Ubuntu	v14.10	ParaCrawl	v8	7912	13376411	5	.06	0
Ubuntu	v14.10	JRC-Acquis	v3.0	7912	314553	5	.06	0
Ubuntu	v14.10	QED	v2.0a	7912	412194	4	.05	0
Ubuntu	v14.10	EUbookshop	v2	7912	278716	4	.05	0
Ubuntu	v14.10	MultiParaCrawl	v7.1	7912	6160526	3	.03	0
Ubuntu	v14.10	ParaCrawl	v7.1	7912	6160525	3	.03	0
Ubuntu	v14.10	ELRC-1177-EUIPO_2017	v1	7912	20296	2	.02	0
Ubuntu	v14.10	ELRC-EUIPO_2017	v1	7912	20296	2	.02	0
Ubuntu	v14.10	CCMatrix	v1	7912	55211939	1	.01	0
Ubuntu	v14.10	NLLB	v1	7912	55210599	1	.01	0
Ubuntu	v14.10	Wikipedia	v1.0	7912	355116	1	.01	0
Ubuntu	v14.10	OpenSubtitles	v1	7912	253380	1	.01	0
Ubuntu	v14.10	TED2013	v1.1	7912	157384	1	.01	0
Ubuntu	v14.10	Tatoeba	v2023-04-12	7912	16283	1	.01	0
Ubuntu	v14.10	Tatoeba	v2022-03-03	7912	15250	1	.01	0
Ubuntu	v14.10	Tatoeba	v2021-07-22	7912	15159	1	.01	0
Ubuntu	v14.10	Tatoeba	v2021-03-10	7912	15138	1	.01	0
Ubuntu	v14.10	Tatoeba	v2020-11-09	7912	15071	1	.01	0
Ubuntu	v14.10	Tatoeba	v2020-05-31	7912	14610	1	.01	0
Ubuntu	v14.10	Tatoeba	v20190709	7912	14274	1	.01	0
Ubuntu	v14.10	ELRC-654-Romanian_Ombudsman_a	v1	7912	3930	1	.01	.02
Ubuntu	v14.10	ELRA-W0206	v1	7912	3929	1	.01	.02
Ubuntu	v14.10	PHP	v1	7912	3718	1	.01	.02
Ubuntu	v14.10	ParaCrawl	v5	7912	2855026	0	0	0
