corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Ubuntu	v14.10	NLLB	v1	1	6384756	0	0	0
Ubuntu	v14.10	wikimedia	v20230407	1	82	0	0	0
Ubuntu	v14.10	Tatoeba	v2020-11-09	1	79	0	0	0
Ubuntu	v14.10	Tatoeba	v2021-03-10	1	79	0	0	0
Ubuntu	v14.10	Tatoeba	v2021-07-22	1	79	0	0	0
Ubuntu	v14.10	Tatoeba	v2022-03-03	1	79	0	0	0
Ubuntu	v14.10	Tatoeba	v2023-04-12	1	79	0	0	0
Ubuntu	v14.10	Tatoeba	v20190709	1	78	0	0	0
Ubuntu	v14.10	Tatoeba	v2020-05-31	1	78	0	0	0
Ubuntu	v14.10	wikimedia	v20210402	1	76	0	0	0
Ubuntu	v14.10	QED	v2.0a	1	9	0	0	0
Ubuntu	v14.10	wikimedia	v20190628	1	7	0	0	0
