corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Ubuntu	v14.10	GNOME	v1	4295	9247	3059	71.22	33.08
Ubuntu	v14.10	XLEnt	v1.1	4295	27546	8	.18	.02
Ubuntu	v14.10	XLEnt	v1.2	4295	27546	8	.18	.02
Ubuntu	v14.10	XLEnt	v1	4295	27546	8	.18	.02
Ubuntu	v14.10	CCAligned	v1	4295	125560	5	.11	0
Ubuntu	v14.10	wikimedia	v20210402	4295	1217	1	.02	.08
Ubuntu	v14.10	wikimedia	v20190628	4295	428	1	.02	.23
Ubuntu	v14.10	bible-uedin	v1	4295	15851	0	0	0
Ubuntu	v14.10	tico-19	v2020-10-28	4295	3070	0	0	0
Ubuntu	v14.10	Tatoeba	v2020-11-09	4295	69	0	0	0
Ubuntu	v14.10	Tatoeba	v2021-03-10	4295	69	0	0	0
Ubuntu	v14.10	Tatoeba	v2021-07-22	4295	69	0	0	0
Ubuntu	v14.10	Tatoeba	v2022-03-03	4295	69	0	0	0
Ubuntu	v14.10	Tatoeba	v20190709	4295	34	0	0	0
Ubuntu	v14.10	Tatoeba	v2020-05-31	4295	34	0	0	0
