corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
WMT-News	v2014	NLLB	v1	0	56084718	0		0
WMT-News	v2014	CCMatrix	v1	0	33012321	0		0
WMT-News	v2014	HPLT	v1	0	11262915	0		0
WMT-News	v2014	MultiHPLT	v1	0	11262915	0		0
WMT-News	v2014	Samanantar	v0.2	0	9416792	0		0
WMT-News	v2014	CCAligned	v1	0	7188613	0		0
WMT-News	v2014	MultiCCAligned	v1	0	7188613	0		0
WMT-News	v2014	MultiCCAligned	v1.1	0	7188613	0		0
WMT-News	v2014	XLEnt	v1	0	1668148	0		0
WMT-News	v2014	XLEnt	v1.1	0	1668148	0		0
WMT-News	v2014	XLEnt	v1.2	0	1668148	0		0
WMT-News	v2014	WikiMatrix	v1	0	1180941	0		0
WMT-News	v2014	IITB	v2.0	0	955314	0		0
WMT-News	v2014	Anuvaad	v1	0	368106	0		0
WMT-News	v2014	OpenSubtitles	v2018	0	104997	0		0
WMT-News	v2014	wikimedia	v20230407	0	82499	0		0
WMT-News	v2014	KDE4	v2	0	67762	0		0
WMT-News	v2014	OpenSubtitles	v2016	0	60904	0		0
WMT-News	v2014	pmindia	v1	0	56679	0		0
WMT-News	v2014	wikimedia	v20210402	0	53151	0		0
WMT-News	v2014	TED2020	v1	0	46282	0		0
WMT-News	v2014	WikiTitles	v3	0	40882	0		0
WMT-News	v2014	bible-uedin	v1	0	30769	0		0
WMT-News	v2014	QED	v2.0a	0	21290	0		0
WMT-News	v2014	NeuLab-TedTalks	v1	0	19264	0		0
WMT-News	v2014	Tatoeba	v2023-04-12	0	15624	0		0
WMT-News	v2014	Tatoeba	v2022-03-03	0	14960	0		0
WMT-News	v2014	Tatoeba	v2021-07-22	0	14417	0		0
WMT-News	v2014	OpenSubtitles	v2013	0	13902	0		0
WMT-News	v2014	Tatoeba	v2021-03-10	0	13539	0		0
WMT-News	v2014	Tatoeba	v2020-11-09	0	13447	0		0
WMT-News	v2014	Tatoeba	v2020-05-31	0	13063	0		0
WMT-News	v2014	Tanzil	v1	0	12391	0		0
WMT-News	v2014	Tatoeba	v20190709	0	11696	0		0
WMT-News	v2014	Joshua-IPC	v1	0	9144	0		0
WMT-News	v2014	wikimedia	v20190628	0	8164	0		0
WMT-News	v2014	Tatoeba	v2	0	5085	0		0
WMT-News	v2014	GlobalVoices	v2018q4	0	3076	0		0
WMT-News	v2014	tico-19	v2020-10-28	0	3070	0		0
WMT-News	v2014	GlobalVoices	v2017q3	0	2979	0		0
WMT-News	v2014	News-Commentary	v16	0	2837	0		0
WMT-News	v2014	News-Commentary	v14	0	2823	0		0
WMT-News	v2014	GlobalVoices	v2015	0	2445	0		0
WMT-News	v2014	GNOME	v1	0	1735	0		0
WMT-News	v2014	OpenSubtitles	v2012	0	1485	0		0
WMT-News	v2014	Mozilla-I10n	v1	0	617	0		0
WMT-News	v2014	WMT-News	v2019	0	520	0		0
WMT-News	v2014	tldr-pages	v2023-08-29	0	483	0		0
WMT-News	v2014	ELRC_2922	v1	0	245	0		0
WMT-News	v2014	ELRC-3061-wikipedia_health	v1	0	245	0		0
WMT-News	v2014	ELRC-wikipedia_health	v1	0	245	0		0
WMT-News	v2014	Ubuntu	v14.10	0	36	0		0
