corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
WMT-News	v2019	CCMatrix	v1	2000	31007083	51	2.55	0
WMT-News	v2019	NLLB	v1	2000	30756250	51	2.55	0
WMT-News	v2019	OpenSubtitles	v2018	2000	10653542	9	.45	0
WMT-News	v2019	OpenSubtitles	v2016	2000	8829129	9	.45	0
WMT-News	v2019	OpenSubtitles	v2012	2000	5042792	7	.35	0
WMT-News	v2019	MultiParaCrawl	v9	2000	7032296	6	.30	0
WMT-News	v2019	MultiParaCrawl	v9b	2000	7032296	6	.30	0
WMT-News	v2019	ParaCrawl	v9	2000	7032296	6	.30	0
WMT-News	v2019	MultiParaCrawl	v8	2000	6718000	6	.30	0
WMT-News	v2019	ParaCrawl	v8	2000	6718000	6	.30	0
WMT-News	v2019	OpenSubtitles	v2013	2000	2566968	6	.30	0
WMT-News	v2019	HPLT	v1	2000	5498414	3	.15	0
WMT-News	v2019	MultiHPLT	v1	2000	5498414	3	.15	0
WMT-News	v2019	MultiParaCrawl	v7.1	2000	3052279	2	.10	0
WMT-News	v2019	ParaCrawl	v7.1	2000	3052279	2	.10	0
WMT-News	v2019	OpenSubtitles	v1	2000	122443	2	.10	0
WMT-News	v2019	ELRC-4271-NTEU_TierA	v1	2000	7312708	1	.05	0
WMT-News	v2019	ELRC-4186-NTEU_TierA	v1	2000	6262905	1	.05	0
WMT-News	v2019	ELRC-4133-NTEU_TierA	v1	2000	6234288	1	.05	0
WMT-News	v2019	ELRC-4163-NTEU_TierA	v1	2000	6155441	1	.05	0
WMT-News	v2019	ELRC-4138-NTEU_TierA	v1	2000	6032328	1	.05	0
WMT-News	v2019	ELRC-4199-NTEU_TierA	v1	2000	6001391	1	.05	0
WMT-News	v2019	ELRC-4210-NTEU_TierA	v1	2000	5975576	1	.05	0
WMT-News	v2019	ELRC-4280-NTEU_TierA	v1	2000	5963160	1	.05	0
WMT-News	v2019	ELRC-4158-NTEU_TierA	v1	2000	5962071	1	.05	0
WMT-News	v2019	ELRC-4218-NTEU_TierA	v1	2000	5950940	1	.05	0
WMT-News	v2019	ELRC-4246-NTEU_TierA	v1	2000	5799265	1	.05	0
WMT-News	v2019	ELRC-4148-NTEU_TierA	v1	2000	5766863	1	.05	0
WMT-News	v2019	ELRC-4206-NTEU_TierA	v1	2000	5720488	1	.05	0
WMT-News	v2019	ELRC-4257-NTEU_TierA	v1	2000	5562975	1	.05	0
WMT-News	v2019	ELRC-4173-NTEU_TierA	v1	2000	5559965	1	.05	0
WMT-News	v2019	ELRC-4252-NTEU_TierA	v1	2000	5223229	1	.05	0
WMT-News	v2019	ELRC-4225-NTEU_TierA	v1	2000	5076042	1	.05	0
WMT-News	v2019	CCAligned	v1	2000	4354555	1	.05	0
WMT-News	v2019	MultiCCAligned	v1.1	2000	4354555	1	.05	0
WMT-News	v2019	MultiCCAligned	v1	2000	4354555	1	.05	0
WMT-News	v2019	EOPC	v2022	2000	1788396	1	.05	0
WMT-News	v2019	MultiParaCrawl	v5	2000	1431163	1	.05	0
WMT-News	v2019	ParaCrawl	v5	2000	1431163	1	.05	0
WMT-News	v2019	ParaCrawl	v1	2000	924839	1	.05	0
WMT-News	v2019	Europarl	v8	2000	653015	1	.05	0
WMT-News	v2019	Europarl	v7	2000	652638	1	.05	0
WMT-News	v2019	QED	v2.0a	2000	302725	1	.05	0
WMT-News	v2019	TED2020	v1	2000	26254	1	.05	0
WMT-News	v2019	NeuLab-TedTalks	v1	2000	13648	1	.05	0
WMT-News	v2019	ELRC-4240-NTEU_TierA	v1	2000	6766037	0	0	0
WMT-News	v2019	ELRC-4230-NTEU_TierA	v1	2000	4078050	0	0	0
WMT-News	v2019	ELRC-4231-NTEU_TierA	v1	2000	4043422	0	0	0
WMT-News	v2019	ELRC-4285-NTEU_TierA	v1	2000	3864008	0	0	0
WMT-News	v2019	JRC-Acquis	v3.0	2000	2127694	0	0	0
WMT-News	v2019	TildeMODEL	v2018	2000	2074632	0	0	0
WMT-News	v2019	WikiMatrix	v1	2000	2014166	0	0	0
WMT-News	v2019	DGT	v4	2000	1841918	0	0	0
WMT-News	v2019	XLEnt	v1.1	2000	1445285	0	0	0
WMT-News	v2019	XLEnt	v1	2000	1445285	0	0	0
WMT-News	v2019	XLEnt	v1.2	2000	1445285	0	0	0
WMT-News	v2019	ELRC-4201-NTEU_TierA	v1	2000	1370000	0	0	0
WMT-News	v2019	ParaCrawl	v4	2000	928739	0	0	0
WMT-News	v2019	ELRC_2682	v1	2000	724177	0	0	0
WMT-News	v2019	ELRC-2723-EMEA	v1	2000	724177	0	0	0
WMT-News	v2019	ELRC-EMEA	v1	2000	724177	0	0	0
WMT-News	v2019	EUbookshop	v2	2000	512391	0	0	0
WMT-News	v2019	EMEA	v3	2000	299520	0	0	0
WMT-News	v2019	ELRC-4164-NTEU_TierA	v1	2000	233794	0	0	0
WMT-News	v2019	ECB	v1	2000	224522	0	0	0
WMT-News	v2019	KDE4	v2	2000	179302	0	0	0
WMT-News	v2019	ELRC-5179-acts_Ukrainian	v1	2000	125665	0	0	0
WMT-News	v2019	ELRC-5067-SciPar	v1	2000	83934	0	0	0
WMT-News	v2019	wikimedia	v20230407	2000	49809	0	0	0
WMT-News	v2019	ELRA-W0167	v1	2000	45411	0	0	0
WMT-News	v2019	ELRC-429-Legal_Estonian_Justi	v1	2000	45411	0	0	0
WMT-News	v2019	wikimedia	v20210402	2000	37678	0	0	0
WMT-News	v2019	ELRC-939-vp2006_2016.presiden	v1	2000	28568	0	0	0
WMT-News	v2019	ELRA-W0168	v1	2000	26821	0	0	0
WMT-News	v2019	ELRC-431-Estonian_Foreign_Aff	v1	2000	26821	0	0	0
WMT-News	v2019	ELRC-938-vp2001_2006.presiden	v1	2000	24889	0	0	0
WMT-News	v2019	Mozilla-I10n	v1	2000	23711	0	0	0
WMT-News	v2019	ELRC-EUR_LEX	v1	2000	21894	0	0	0
WMT-News	v2019	infopankki	v1	2000	17375	0	0	0
WMT-News	v2019	ELRC-2016-EUIPO_2017	v1	2000	16798	0	0	0
WMT-News	v2019	ELRC-EUIPO_2017	v1	2000	16798	0	0	0
WMT-News	v2019	ELRC-937-vp1992_2001.presiden	v1	2000	16507	0	0	0
WMT-News	v2019	ELRC-411-Bank_Estonia	v1	2000	15958	0	0	0
WMT-News	v2019	ELRC-2461-press_releases_Forei	v1	2000	15217	0	0	0
WMT-News	v2019	liv4ever	v1	2000	14154	0	0	0
WMT-News	v2019	ELRC-1129-www.visitestonia.com	v1	2000	13735	0	0	0
WMT-News	v2019	ELRC-www.visitestonia.com	v1	2000	13735	0	0	0
WMT-News	v2019	ELRC-2882-EU_publications_medi	v1	2000	12931	0	0	0
WMT-News	v2019	ELRC-EU_publications	v1	2000	12931	0	0	0
WMT-News	v2019	ELRA-W0154	v1	2000	11314	0	0	0
WMT-News	v2019	ELRC-393-Estonian_Cabinet_Min	v1	2000	11314	0	0	0
WMT-News	v2019	bible-uedin	v1	2000	11265	0	0	0
WMT-News	v2019	ELRA-W0265	v1	2000	8575	0	0	0
