corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
WMT-News	v2019	OpenSubtitles	v2016	1996	9346111	6	.30	0
WMT-News	v2019	MultiParaCrawl	v9	1996	9392972	2	.10	0
WMT-News	v2019	MultiParaCrawl	v9b	1996	9392972	2	.10	0
WMT-News	v2019	ParaCrawl	v9	1996	9392972	2	.10	0
WMT-News	v2019	CCMatrix	v1	1996	131711224	1	.05	0
WMT-News	v2019	NLLB	v1	1996	131709060	1	.05	0
WMT-News	v2019	UNPC	v1.0	1996	15317452	1	.05	0
WMT-News	v2019	XLEnt	v1.1	1996	5008234	1	.05	0
WMT-News	v2019	XLEnt	v1	1996	5008234	1	.05	0
WMT-News	v2019	XLEnt	v1.2	1996	5008234	1	.05	0
WMT-News	v2019	wikimedia	v20230407	1996	431739	1	.05	0
WMT-News	v2019	wikimedia	v20210402	1996	301209	1	.05	0
WMT-News	v2019	TED2013	v1.1	1996	153418	1	.05	0
WMT-News	v2019	MultiUN	v1	1996	8519010	0	0	0
WMT-News	v2019	WikiMatrix	v1	1996	7002635	0	0	0
WMT-News	v2019	LinguaTools-WikiTitles	v2014	1996	1017876	0	0	0
WMT-News	v2019	WikiTitles	v3	1996	853090	0	0	0
WMT-News	v2019	News-Commentary	v16	1996	168940	0	0	0
WMT-News	v2019	News-Commentary	v14	1996	143779	0	0	0
WMT-News	v2019	News-Commentary	v11	1996	96472	0	0	0
WMT-News	v2019	JParaCrawl	v3.0	1996	82588	0	0	0
WMT-News	v2019	UN	v20090831	1996	61335	0	0	0
WMT-News	v2019	News-Commentary	v9.0	1996	58926	0	0	0
WMT-News	v2019	News-Commentary	v9.1	1996	58926	0	0	0
WMT-News	v2019	bible-uedin	v1	1996	30607	0	0	0
WMT-News	v2019	QED	v2.0a	1996	27584	0	0	0
WMT-News	v2019	TED2020	v1	1996	15950	0	0	0
WMT-News	v2019	Tanzil	v1	1996	12221	0	0	0
WMT-News	v2019	OpenSubtitles	v1	1996	11995	0	0	0
WMT-News	v2019	infopankki	v1	1996	10157	0	0	0
WMT-News	v2019	NeuLab-TedTalks	v1	1996	7844	0	0	0
WMT-News	v2019	wikimedia	v20190628	1996	6740	0	0	0
WMT-News	v2019	tldr-pages	v2023-08-29	1996	3826	0	0	0
WMT-News	v2019	tico-19	v2020-10-28	1996	3062	0	0	0
WMT-News	v2019	SPC	v1	1996	2195	0	0	0
WMT-News	v2019	OpenSubtitles	v2012	1996	928	0	0	0
WMT-News	v2019	ELRC_2922	v1	1996	144	0	0	0
WMT-News	v2019	ELRC-3056-wikipedia_health	v1	1996	144	0	0	0
WMT-News	v2019	ELRC-wikipedia_health	v1	1996	144	0	0	0
WMT-News	v2019	Ubuntu	v14.10	1996	33	0	0	0
