corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
WikiMatrix	v1	CCMatrix	v1	16903	453011	182	1.07	.04
WikiMatrix	v1	CCAligned	v1	16903	114274	1	0	0
WikiMatrix	v1	XLEnt	v1.1	16903	107767	1	0	0
WikiMatrix	v1	XLEnt	v1	16903	107767	1	0	0
WikiMatrix	v1	XLEnt	v1.2	16903	107767	1	0	0
WikiMatrix	v1	KDE4	v2	16903	64131	0	0	0
WikiMatrix	v1	Ubuntu	v14.10	16903	24850	0	0	0
WikiMatrix	v1	OpenSubtitles	v2018	16903	17778	0	0	0
WikiMatrix	v1	GNOME	v1	16903	8788	0	0	0
WikiMatrix	v1	Tatoeba	v2022-03-03	16903	385	1	0	.25
WikiMatrix	v1	Tatoeba	v2020-11-09	16903	383	1	0	.26
WikiMatrix	v1	Tatoeba	v2021-03-10	16903	383	1	0	.26
WikiMatrix	v1	Tatoeba	v2021-07-22	16903	383	1	0	.26
WikiMatrix	v1	Tatoeba	v2020-05-31	16903	382	0	0	0
WikiMatrix	v1	Tatoeba	v20190709	16903	379	0	0	0
WikiMatrix	v1	wikimedia	v20190628	16903	209	0	0	0
WikiMatrix	v1	wikimedia	v20210402	16903	151	1	0	.66
WikiMatrix	v1	QED	v2.0a	16903	99	0	0	0
WikiMatrix	v1	Tatoeba	v2	16903	98	0	0	0
