corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
WikiTitles	v3	XLEnt	v1.1	470241	2452904	104909	22.30	4.27
WikiTitles	v3	XLEnt	v1.2	470241	2452904	104909	22.30	4.27
WikiTitles	v3	XLEnt	v1	470241	2452904	104909	22.30	4.27
WikiTitles	v3	MultiParaCrawl	v8	470241	31837190	52422	11.14	.16
WikiTitles	v3	ParaCrawl	v8	470241	31837190	52422	11.14	.16
WikiTitles	v3	CCMatrix	v1	470241	50785503	42036	8.93	.08
WikiTitles	v3	NLLB	v1	470241	50701984	41911	8.91	.08
WikiTitles	v3	MultiCCAligned	v1.1	470241	5854732	11649	2.47	.19
WikiTitles	v3	MultiCCAligned	v1	470241	5854732	11649	2.47	.19
WikiTitles	v3	CCAligned	v1	470241	5854730	11649	2.47	.19
WikiTitles	v3	MultiParaCrawl	v9	470241	16255585	9990	2.12	.06
WikiTitles	v3	MultiParaCrawl	v9b	470241	16255585	9990	2.12	.06
WikiTitles	v3	ParaCrawl	v9	470241	16255585	9990	2.12	.06
WikiTitles	v3	HPLT	v1	470241	7919073	9997	2.12	.12
WikiTitles	v3	MultiHPLT	v1	470241	7919073	9997	2.12	.12
WikiTitles	v3	DOGC	v2	470241	4430758	9451	2.00	.21
WikiTitles	v3	MultiParaCrawl	v7.1	470241	6284190	8838	1.87	.14
WikiTitles	v3	ParaCrawl	v7.1	470241	6284190	8838	1.87	.14
WikiTitles	v3	wikimedia	v20230407	470241	1263703	8096	1.72	.64
WikiTitles	v3	wikimedia	v20210402	470241	856154	7396	1.57	.86
WikiTitles	v3	DOGC	v3	470241	7858365	3511	.74	.04
WikiTitles	v3	KDE4	v2	470241	137751	2967	.63	2.15
WikiTitles	v3	MaCoCu	v2	470241	3127073	2883	.61	.09
WikiTitles	v3	MultiMaCoCu	v2	470241	3127073	2883	.61	.09
WikiTitles	v3	WikiMatrix	v1	470241	6220718	1429	.30	.02
WikiTitles	v3	Mozilla-I10n	v1	470241	26545	1129	.24	4.25
WikiTitles	v3	OpenSubtitles	v2018	470241	456959	158	.03	.03
WikiTitles	v3	ELRC-5129-GEnCaTA_a	v1	470241	37928	180	.03	.47
WikiTitles	v3	OpenSubtitles	v2016	470241	390246	133	.02	.03
WikiTitles	v3	OpenSubtitles	v2012	470241	111184	89	.01	.08
WikiTitles	v3	QED	v2.0a	470241	90557	86	.01	.09
WikiTitles	v3	OpenSubtitles	v2013	470241	85021	73	.01	.08
WikiTitles	v3	GlobalVoices	v2018q4	470241	25928	49	.01	.18
WikiTitles	v3	wikimedia	v20190628	470241	3085	59	.01	1.91
WikiTitles	v3	GNOME	v1	470241	1385	51	.01	3.68
WikiTitles	v3	TED2020	v1	470241	57042	12	0	.02
WikiTitles	v3	GlobalVoices	v2017q3	470241	25573	46	0	.17
WikiTitles	v3	GlobalVoices	v2015	470241	24258	33	0	.13
WikiTitles	v3	Tatoeba	v2023-04-12	470241	8337	3	0	.03
WikiTitles	v3	Tatoeba	v2022-03-03	470241	8268	3	0	.03
WikiTitles	v3	Tatoeba	v2021-07-22	470241	8199	3	0	.03
WikiTitles	v3	Tatoeba	v2021-03-10	470241	7955	3	0	.03
WikiTitles	v3	Tatoeba	v2020-11-09	470241	6505	3	0	.04
WikiTitles	v3	Tatoeba	v2020-05-31	470241	6213	3	0	.04
WikiTitles	v3	Tatoeba	v20190709	470241	6135	3	0	.04
WikiTitles	v3	EUbookshop	v2	470241	5164	36	0	.69
WikiTitles	v3	Tatoeba	v2	470241	4872	3	0	.06
WikiTitles	v3	Books	v1	470241	4863	2	0	.04
WikiTitles	v3	ELRC-5189-Catalan_WMT2013_Mach	v1	470241	3037	6	0	.19
WikiTitles	v3	ELRC_2922	v1	470241	1537	2	0	.13
WikiTitles	v3	ELRC-3040-wikipedia_health	v1	470241	1537	2	0	.13
WikiTitles	v3	ELRC-wikipedia_health	v1	470241	1537	2	0	.13
WikiTitles	v3	ELRC-5190-Cyber_MT_Test	v1	470241	1068	0	0	0
WikiTitles	v3	tldr-pages	v2023-08-29	470241	740	0	0	0
WikiTitles	v3	Ubuntu	v14.10	470241	45	9	0	20.00
WikiTitles	v3	ELRC-2638-monumentos_2007	v1	470241	32	0	0	0
WikiTitles	v3	ELRC-Localidades_2007	v1	470241	11	0	0	0
WikiTitles	v3	ELRC-Museus_2007	v1	470241	11	0	0	0
WikiTitles	v3	ELRC-2614-Localidades_2007	v1	470241	9	0	0	0
WikiTitles	v3	ELRC-2616-Museus_2007	v1	470241	7	0	0	0
WikiTitles	v3	ELRC-2617-Museus_2007_Part2	v1	470241	7	0	0	0
WikiTitles	v3	ELRC-Artigos_visitportuga	v1	470241	7	0	0	0
WikiTitles	v3	ELRC-2612-Artigos_visitportuga	v1	470241	6	0	0	0
WikiTitles	v3	ELRC-2615-Localidades_2007_Par	v1	470241	4	0	0	0
WikiTitles	v3	ELRC-2613-Artigos_visitportuga	v1	470241	3	0	0	0
WikiTitles	v3	ELRC-2622-Arquitectura_2007	v1	470241	3	0	0	0
WikiTitles	v3	ELRC-Arquitectura_2007	v1	470241	3	0	0	0
WikiTitles	v3	ELRC-2480-Estatuto_dos_Deputad	v1	470241	2	0	0	0
WikiTitles	v3	ELRC-2481-Constituio_da_Repbli	v1	470241	2	0	0	0
WikiTitles	v3	ELRC-2482-RELATRIO_GAM	v1	470241	1	0	0	0
WikiTitles	v3	ELRC-2611-localidades_alentejo	v1	470241	1	0	0	0
WikiTitles	v3	ELRC-2624-Arquitectura_2007_Pa	v1	470241	1	0	0	0
WikiTitles	v3	ELRC-2641-Praias_2007	v1	470241	1	0	0	0
WikiTitles	v3	ELRC-Praias_2007	v1	470241	1	0	0	0
