corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
XLEnt	v1.1	XLEnt	v1.2	5553958	5553958	5553958	100.00	100.00
XLEnt	v1.1	XLEnt	v1	5553958	5553958	5553958	100.00	100.00
XLEnt	v1.1	LinguaTools-WikiTitles	v2014	5553958	4598982	78228	1.40	1.70
XLEnt	v1.1	CCAligned	v1	5553958	12951374	54822	.98	.42
XLEnt	v1.1	UNPC	v1.0	5553958	16579281	9957	.17	.06
XLEnt	v1.1	MultiUN	v1	5553958	8210447	3007	.05	.03
XLEnt	v1.1	wikimedia	v20210402	5553958	374343	2530	.04	.67
XLEnt	v1.1	KDE4	v2	5553958	105144	1797	.03	1.70
XLEnt	v1.1	CCMatrix	v1	5553958	49234443	1390	.02	0
XLEnt	v1.1	OpenSubtitles	v2018	5553958	25630788	1246	.02	0
XLEnt	v1.1	WikiMatrix	v1	5553958	999761	97	0	0
XLEnt	v1.1	QED	v2.0a	5553958	474973	80	0	.01
XLEnt	v1.1	TED2020	v1	5553958	397855	1	0	0
XLEnt	v1.1	NeuLab-TedTalks	v1	5553958	218550	1	0	0
XLEnt	v1.1	Tanzil	v1	5553958	184868	0	0	0
XLEnt	v1.1	News-Commentary	v9.0	5553958	174557	15	0	0
XLEnt	v1.1	News-Commentary	v9.1	5553958	174557	15	0	0
XLEnt	v1.1	TED2013	v1.1	5553958	151893	479	0	.31
XLEnt	v1.1	Wikipedia	v1.0	5553958	146081	9	0	0
XLEnt	v1.1	News-Commentary	v14	5553958	90173	18	0	.01
XLEnt	v1.1	News-Commentary	v16	5553958	90173	18	0	.01
XLEnt	v1.1	News-Commentary	v11	5553958	83163	18	0	.02
XLEnt	v1.1	UN	v20090831	5553958	63742	98	0	.15
XLEnt	v1.1	bible-uedin	v1	5553958	61540	0	0	0
XLEnt	v1.1	GlobalVoices	v2018q4	5553958	58258	67	0	.11
XLEnt	v1.1	GlobalVoices	v2017q3	5553958	51838	62	0	.11
XLEnt	v1.1	GlobalVoices	v2015	5553958	40382	55	0	.13
XLEnt	v1.1	Tatoeba	v2022-03-03	5553958	29294	1	0	0
XLEnt	v1.1	Tatoeba	v2021-07-22	5553958	27887	1	0	0
XLEnt	v1.1	Tatoeba	v2021-03-10	5553958	27848	1	0	0
XLEnt	v1.1	Tatoeba	v2020-11-09	5553958	27585	1	0	0
XLEnt	v1.1	Tatoeba	v2020-05-31	5553958	27475	0	0	0
XLEnt	v1.1	Tatoeba	v20190709	5553958	27269	0	0	0
XLEnt	v1.1	infopankki	v1	5553958	15941	86	0	.53
XLEnt	v1.1	ELRC-3083-wikipedia_health	v1	5553958	15126	1	0	0
XLEnt	v1.1	ELRC-wikipedia_health	v1	5553958	15126	1	0	0
XLEnt	v1.1	ELRC_2922	v1	5553958	15125	0	0	0
XLEnt	v1.1	Tatoeba	v2	5553958	12939	0	0	0
XLEnt	v1.1	Ubuntu	v14.10	5553958	5847	242	0	4.13
XLEnt	v1.1	tico-19	v2020-10-28	5553958	3070	0	0	0
XLEnt	v1.1	EUbookshop	v2	5553958	1603	0	0	0
XLEnt	v1.1	GNOME	v1	5553958	149	12	0	8.05
