corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
XLEnt	v1.1	XLEnt	v1	1842190	1842190	1842190	100.00	100.00
XLEnt	v1.1	XLEnt	v1.2	1842190	1842190	1842190	100.00	100.00
XLEnt	v1.1	LinguaTools-WikiTitles	v2014	1842190	3436529	38902	2.11	1.13
XLEnt	v1.1	MultiCCAligned	v1	1842190	5210426	17612	.95	.33
XLEnt	v1.1	CCAligned	v1	1842190	5210326	17610	.95	.33
XLEnt	v1.1	HPLT	v2	1842190	3448296	2329	.12	.06
XLEnt	v1.1	MultiHPLT	v2	1842190	3448296	2329	.12	.06
XLEnt	v1.1	wikimedia	v20230407	1842190	307503	969	.05	.31
XLEnt	v1.1	KDE4	v2	1842190	76102	905	.04	1.18
XLEnt	v1.1	wikimedia	v20210402	1842190	149677	653	.03	.43
XLEnt	v1.1	CCMatrix	v1	1842190	24357218	325	.01	0
XLEnt	v1.1	NLLB	v1	1842190	24356686	325	.01	0
XLEnt	v1.1	OpenSubtitles	v2018	1842190	5410373	270	.01	0
XLEnt	v1.1	GNOME	v1	1842190	8104	261	.01	3.22
XLEnt	v1.1	Ubuntu	v14.10	1842190	6147	213	.01	3.46
XLEnt	v1.1	OpenSubtitles	v2016	1842190	3296530	156	0	0
XLEnt	v1.1	MIZAN	v1	1842190	1017788	78	0	0
XLEnt	v1.1	Tanzil	v1	1842190	1012397	1	0	0
XLEnt	v1.1	TEP	v1	1842190	592664	1	0	0
XLEnt	v1.1	WikiMatrix	v1	1842190	303806	23	0	0
XLEnt	v1.1	TED2020	v1	1842190	297407	1	0	0
XLEnt	v1.1	NeuLab-TedTalks	v1	1842190	155836	1	0	0
XLEnt	v1.1	Wikipedia	v1.0	1842190	95642	2	0	0
XLEnt	v1.1	TED2013	v1.1	1842190	79982	113	0	.14
XLEnt	v1.1	QED	v2.0a	1842190	15209	2	0	.01
XLEnt	v1.1	infopankki	v1	1842190	14813	68	0	.45
XLEnt	v1.1	GlobalVoices	v2018q4	1842190	9268	24	0	.25
XLEnt	v1.1	GlobalVoices	v2017q3	1842190	8996	23	0	.25
XLEnt	v1.1	GlobalVoices	v2015	1842190	8740	23	0	.26
XLEnt	v1.1	tico-19	v2020-10-28	1842190	3070	0	0	0
XLEnt	v1.1	ELRC-3078-wikipedia_health	v1	1842190	1983	2	0	.10
XLEnt	v1.1	ELRC-wikipedia_health	v1	1842190	1983	2	0	.10
XLEnt	v1.1	ELRC_2922	v1	1842190	1982	1	0	.05
XLEnt	v1.1	tldr-pages	v2023-08-29	1842190	187	1	0	.53
