corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
XLEnt	v1.1	XLEnt	v1	2694241	2694241	2694241	100.00	100.00
XLEnt	v1.1	CCAligned	v1	2694241	8612957	6812	.25	.07
XLEnt	v1.1	ParaCrawl	v9	2694241	3985516	1587	.05	.03
XLEnt	v1.1	KDE4	v2	2694241	69392	1062	.03	1.53
XLEnt	v1.1	CCMatrix	v1	2694241	19154169	114	0	0
XLEnt	v1.1	OpenSubtitles	v2018	2694241	1248658	33	0	0
XLEnt	v1.1	QED	v2.0a	2694241	493349	29	0	0
XLEnt	v1.1	TED2020	v1	2694241	389336	1	0	0
XLEnt	v1.1	WikiMatrix	v1	2694241	306822	11	0	0
XLEnt	v1.1	Tanzil	v1	2694241	92140	0	0	0
XLEnt	v1.1	bible-uedin	v1	2694241	61453	0	0	0
XLEnt	v1.1	wikimedia	v20210402	2694241	42643	181	0	.42
XLEnt	v1.1	PHP	v1	2694241	10903	0	0	0
XLEnt	v1.1	GlobalVoices	v2018q4	2694241	8913	2	0	.02
XLEnt	v1.1	GlobalVoices	v2017q3	2694241	8131	0	0	0
XLEnt	v1.1	Tatoeba	v2022-03-03	2694241	3414	1	0	.02
XLEnt	v1.1	Tatoeba	v2021-07-22	2694241	3397	1	0	.02
XLEnt	v1.1	Tatoeba	v2021-03-10	2694241	3390	1	0	.02
XLEnt	v1.1	Tatoeba	v2020-11-09	2694241	3365	1	0	.02
XLEnt	v1.1	Tatoeba	v2020-05-31	2694241	3347	0	0	0
XLEnt	v1.1	Tatoeba	v20190709	2694241	2779	0	0	0
XLEnt	v1.1	ELRC-3070-wikipedia_health	v1	2694241	1637	1	0	.06
XLEnt	v1.1	ELRC-wikipedia_health	v1	2694241	1637	1	0	.06
XLEnt	v1.1	ELRC_2922	v1	2694241	1636	0	0	0
XLEnt	v1.1	Tatoeba	v2	2694241	904	0	0	0
XLEnt	v1.1	Ubuntu	v14.10	2694241	353	35	0	9.91
XLEnt	v1.1	GNOME	v1	2694241	165	10	0	6.06
