corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
XLEnt	v1.1	XLEnt	v1.2	730647	730647	730647	100.00	100.00
XLEnt	v1.1	XLEnt	v1	730647	730647	730647	100.00	100.00
XLEnt	v1.1	MultiCCAligned	v1	730647	559355	1559	.21	.27
XLEnt	v1.1	CCAligned	v1	730647	559344	1559	.21	.27
XLEnt	v1.1	Anuvaad	v1	730647	1445240	581	.07	.04
XLEnt	v1.1	Samanantar	v0.2	730647	5881175	315	.04	0
XLEnt	v1.1	HPLT	v2	730647	547168	257	.03	.04
XLEnt	v1.1	MultiHPLT	v2	730647	547168	257	.03	.04
XLEnt	v1.1	KDE4	v2	730647	39364	229	.03	.58
XLEnt	v1.1	wikimedia	v20230407	730647	90667	171	.02	.18
XLEnt	v1.1	wikimedia	v20210402	730647	49201	167	.02	.33
XLEnt	v1.1	NLLB	v1	730647	43627223	74	.01	0
XLEnt	v1.1	CCMatrix	v1	730647	6780561	83	.01	0
XLEnt	v1.1	OpenSubtitles	v2018	730647	354795	13	0	0
XLEnt	v1.1	OpenSubtitles	v2016	730647	209866	5	0	0
XLEnt	v1.1	Tanzil	v1	730647	184529	2	0	0
XLEnt	v1.1	WikiMatrix	v1	730647	71509	1	0	0
XLEnt	v1.1	bible-uedin	v1	730647	60767	0	0	0
XLEnt	v1.1	pmindia	v1	730647	33662	1	0	0
XLEnt	v1.1	Joshua-IPC	v1	730647	28410	35	0	.12
XLEnt	v1.1	Ubuntu	v14.10	730647	11215	67	0	.59
XLEnt	v1.1	TED2020	v1	730647	5967	1	0	.01
XLEnt	v1.1	GNOME	v1	730647	3931	28	0	.71
XLEnt	v1.1	QED	v2.0a	730647	1016	0	0	0
XLEnt	v1.1	Tatoeba	v2020-11-09	730647	803	1	0	.12
XLEnt	v1.1	Tatoeba	v2021-03-10	730647	803	1	0	.12
XLEnt	v1.1	Tatoeba	v2021-07-22	730647	803	1	0	.12
XLEnt	v1.1	Tatoeba	v2022-03-03	730647	803	1	0	.12
XLEnt	v1.1	Tatoeba	v2023-04-12	730647	803	1	0	.12
XLEnt	v1.1	Tatoeba	v20190709	730647	802	0	0	0
XLEnt	v1.1	Tatoeba	v2020-05-31	730647	802	0	0	0
XLEnt	v1.1	Tatoeba	v2	730647	668	0	0	0
XLEnt	v1.1	ELRC-3072-wikipedia_health	v1	730647	452	1	0	.22
XLEnt	v1.1	ELRC-wikipedia_health	v1	730647	452	1	0	.22
XLEnt	v1.1	ELRC_2922	v1	730647	451	0	0	0
XLEnt	v1.1	tldr-pages	v2023-08-29	730647	373	1	0	.26
