corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
XLEnt	v1.1	XLEnt	v1.2	6553510	6553510	6553510	100.00	100.00
XLEnt	v1.1	XLEnt	v1	6553510	6553510	6553510	100.00	100.00
XLEnt	v1.1	CCAligned	v1	6553510	72184499	303859	4.63	.42
XLEnt	v1.1	MultiCCAligned	v1.1	6553510	72184380	303877	4.63	.42
XLEnt	v1.1	MultiCCAligned	v1	6553510	72184380	303877	4.63	.42
XLEnt	v1.1	LinguaTools-WikiTitles	v2014	6553510	1935298	285757	4.36	14.76
XLEnt	v1.1	WikiTitles	v3	6553510	1034886	140574	2.14	13.58
XLEnt	v1.1	NLLB	v1	6553510	407525371	105798	1.61	.02
XLEnt	v1.1	ParaCrawl	v1	6553510	9893906	64492	.98	.65
XLEnt	v1.1	CCMatrix	v1	6553510	107495399	55264	.84	.05
XLEnt	v1.1	UNPC	v1.0	6553510	21234699	46652	.71	.21
XLEnt	v1.1	MultiParaCrawl	v7.1	6553510	5497548	26603	.40	.48
XLEnt	v1.1	MultiParaCrawl	v8	6553510	5497548	26603	.40	.48
XLEnt	v1.1	MultiParaCrawl	v9	6553510	5497548	26603	.40	.48
XLEnt	v1.1	MultiParaCrawl	v9b	6553510	5497548	26603	.40	.48
XLEnt	v1.1	ParaCrawl	v7.1	6553510	5497548	26603	.40	.48
XLEnt	v1.1	ParaCrawl	v8	6553510	5497548	26603	.40	.48
XLEnt	v1.1	ParaCrawl	v9	6553510	5497548	26603	.40	.48
XLEnt	v1.1	OpenSubtitles	v2018	6553510	25317409	15387	.23	.06
XLEnt	v1.1	OpenSubtitles	v2016	6553510	18909647	12390	.18	.06
XLEnt	v1.1	wikimedia	v20230407	6553510	3472691	10247	.15	.29
XLEnt	v1.1	wikimedia	v20210402	6553510	2066455	7939	.12	.38
XLEnt	v1.1	OpenSubtitles	v2012	6553510	6098634	5936	.09	.09
XLEnt	v1.1	KDE4	v2	6553510	138754	6013	.09	4.33
XLEnt	v1.1	WikiMatrix	v1	6553510	17796859	5478	.08	.03
XLEnt	v1.1	OpenSubtitles	v2013	6553510	5721569	4955	.07	.08
XLEnt	v1.1	Mozilla-I10n	v1	6553510	50942	3155	.04	6.19
XLEnt	v1.1	OpenOffice	v3	6553510	46793	1762	.02	3.76
XLEnt	v1.1	QED	v2.0a	6553510	841910	1259	.01	.14
XLEnt	v1.1	TED2013	v1.1	6553510	132320	709	.01	.53
XLEnt	v1.1	EUbookshop	v2	6553510	65993	1152	.01	1.74
XLEnt	v1.1	MultiUN	v1	6553510	10186416	0	0	0
