corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
XLEnt	v1.2	XLEnt	v1.1	57906	57906	57906	100.00	100.00
XLEnt	v1.2	XLEnt	v1	57906	57906	57906	100.00	100.00
XLEnt	v1.2	MultiCCAligned	v1	57906	293884	197	.34	.06
XLEnt	v1.2	CCAligned	v1	57906	293880	197	.34	.06
XLEnt	v1.2	wikimedia	v20230407	57906	16523	24	.04	.14
XLEnt	v1.2	wikimedia	v20210402	57906	13572	21	.03	.15
XLEnt	v1.2	GNOME	v1	57906	5012	15	.02	.29
XLEnt	v1.2	NLLB	v1	57906	9933519	0	0	0
XLEnt	v1.2	bible-uedin	v1	57906	61322	0	0	0
XLEnt	v1.2	TED2020	v1	57906	61319	1	0	0
XLEnt	v1.2	MultiParaCrawl	v7.1	57906	31047	5	0	.01
XLEnt	v1.2	ParaCrawl	v8	57906	31047	5	0	.01
XLEnt	v1.2	ParaCrawl	v9	57906	31047	5	0	.01
XLEnt	v1.2	ParaCrawl	v7.1	57906	31046	4	0	.01
XLEnt	v1.2	NeuLab-TedTalks	v1	57906	22649	1	0	0
XLEnt	v1.2	ALT	v2019	57906	18086	1	0	0
XLEnt	v1.2	QED	v2.0a	57906	7516	0	0	0
XLEnt	v1.2	tico-19	v2020-10-28	57906	3070	0	0	0
XLEnt	v1.2	GlobalVoices	v2018q4	57906	2359	1	0	.04
XLEnt	v1.2	GlobalVoices	v2017q3	57906	2256	0	0	0
XLEnt	v1.2	Ubuntu	v14.10	57906	2108	2	0	.09
XLEnt	v1.2	GlobalVoices	v2015	57906	1725	0	0	0
XLEnt	v1.2	GoURMET	v2	57906	1034	1	0	.09
XLEnt	v1.2	Tatoeba	v2022-03-03	57906	221	1	0	.45
XLEnt	v1.2	Tatoeba	v2023-04-12	57906	221	1	0	.45
XLEnt	v1.2	Tatoeba	v2020-11-09	57906	217	1	0	.46
XLEnt	v1.2	Tatoeba	v2021-03-10	57906	217	1	0	.46
XLEnt	v1.2	Tatoeba	v2021-07-22	57906	217	1	0	.46
XLEnt	v1.2	Tatoeba	v2020-05-31	57906	216	0	0	0
XLEnt	v1.2	Tatoeba	v20190709	57906	79	0	0	0
