corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
XLEnt	v1	XLEnt	v1.1	2048811	2048811	2048811	100.00	100.00
XLEnt	v1	XLEnt	v1.2	2048811	2048811	2048811	100.00	100.00
XLEnt	v1	CCAligned	v1	2048811	9132909	7256	.35	.07
XLEnt	v1	GNOME	v1	2048811	8910	3388	.16	38.02
XLEnt	v1	CCMatrix	v1	2048811	47571364	489	.02	0
XLEnt	v1	ELRC-2719-EMEA	v1	2048811	574124	311	.01	.05
XLEnt	v1	ELRC-EMEA	v1	2048811	574124	311	.01	.05
XLEnt	v1	TildeMODEL	v2018	2048811	341163	275	.01	.08
XLEnt	v1	Ubuntu	v14.10	2048811	8928	354	.01	3.96
XLEnt	v1	OpenSubtitles	v2018	2048811	7354902	181	0	0
XLEnt	v1	EuroPat	v3	2048811	4341459	1	0	0
XLEnt	v1	EuroPat	v2	2048811	4050341	1	0	0
XLEnt	v1	WikiMatrix	v1	2048811	636472	10	0	0
XLEnt	v1	Tanzil	v1	2048811	132704	0	0	0
XLEnt	v1	OpenSubtitles	v1	2048811	65399	1	0	0
XLEnt	v1	bible-uedin	v1	2048811	61375	0	0	0
XLEnt	v1	ELRC-729-www.norden.org	v1	2048811	28541	53	0	.18
XLEnt	v1	ELRC-www.norden.org	v1	2048811	28541	53	0	.18
XLEnt	v1	Books	v1	2048811	3482	0	0	0
XLEnt	v1	ECDC	v2016-03-16	2048811	2443	21	0	.85
XLEnt	v1	ELRC-4996-Norwegian_Financial_	v1	2048811	2000	2	0	.10
XLEnt	v1	ELRC-4992-Customer_Support_MT	v1	2048811	1368	122	0	8.91
XLEnt	v1	ELRC-3071-wikipedia_health	v1	2048811	686	1	0	.14
XLEnt	v1	ELRC-wikipedia_health	v1	2048811	686	1	0	.14
XLEnt	v1	ELRC_2922	v1	2048811	685	0	0	0
XLEnt	v1	wikimedia	v20210402	2048811	213	3	0	1.40
XLEnt	v1	wikimedia	v20190628	2048811	86	1	0	1.16
XLEnt	v1	ELRC-2638-monumentos_2007	v1	2048811	4	1	0	25.00
XLEnt	v1	ELRC-2612-Artigos_visitportuga	v1	2048811	2	1	0	50.00
XLEnt	v1	ELRC-Artigos_visitportuga	v1	2048811	2	1	0	50.00
