corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
bible-uedin	v1	CCAligned	v1	13023	1010653	0	0	0
bible-uedin	v1	XLEnt	v1.1	13023	207694	0	0	0
bible-uedin	v1	XLEnt	v1	13023	207694	0	0	0
bible-uedin	v1	XLEnt	v1.2	13023	207694	0	0	0
bible-uedin	v1	QED	v2.0a	13023	36442	0	0	0
bible-uedin	v1	TED2020	v1	13023	36251	0	0	0
bible-uedin	v1	NeuLab-TedTalks	v1	13023	22117	0	0	0
bible-uedin	v1	wikimedia	v20210402	13023	13516	0	0	0
bible-uedin	v1	OpenSubtitles	v2018	13023	3289	0	0	0
bible-uedin	v1	Tatoeba	v2020-11-09	13023	2122	0	0	0
bible-uedin	v1	Tatoeba	v2021-03-10	13023	2122	0	0	0
bible-uedin	v1	Tatoeba	v2021-07-22	13023	2122	0	0	0
bible-uedin	v1	Tatoeba	v2022-03-03	13023	2122	0	0	0
bible-uedin	v1	Tatoeba	v20190709	13023	2121	0	0	0
bible-uedin	v1	Tatoeba	v2020-05-31	13023	2121	0	0	0
bible-uedin	v1	KDE4	v2	13023	1496	0	0	0
bible-uedin	v1	Ubuntu	v14.10	13023	845	0	0	0
bible-uedin	v1	GNOME	v1	13023	149	0	0	0
bible-uedin	v1	Tatoeba	v2	13023	137	0	0	0
