corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
bible-uedin	v1	CCMatrix	v1	61305	145080018	2	0	0
bible-uedin	v1	ParaCrawl	v9	61305	96975992	4	0	0
bible-uedin	v1	OpenSubtitles	v2018	61305	28718593	0	0	0
bible-uedin	v1	CCAligned	v1	61305	14341296	0	0	0
bible-uedin	v1	LinguaTools-WikiTitles	v2014	61305	11048442	0	0	0
bible-uedin	v1	EUbookshop	v2	61305	5801342	0	0	0
bible-uedin	v1	XLEnt	v1.1	61305	5645064	0	0	0
bible-uedin	v1	XLEnt	v1.2	61305	5645064	0	0	0
bible-uedin	v1	XLEnt	v1	61305	5645064	0	0	0
bible-uedin	v1	TildeMODEL	v2018	61305	3693634	0	0	0
bible-uedin	v1	DGT	v2019	61305	3638405	0	0	0
bible-uedin	v1	WikiMatrix	v1	61305	2126084	0	0	0
bible-uedin	v1	Europarl	v8	61305	1906929	0	0	0
bible-uedin	v1	Wikipedia	v1.0	61305	944270	0	0	0
bible-uedin	v1	ELRC-2710-EMEA	v1	61305	771346	0	0	0
bible-uedin	v1	ELRC-EMEA	v1	61305	771346	0	0	0
bible-uedin	v1	QED	v2.0a	61305	542823	0	0	0
bible-uedin	v1	JRC-Acquis	v3.0	61305	504433	0	0	0
bible-uedin	v1	Tatoeba	v2022-03-03	61305	492666	0	0	0
bible-uedin	v1	Tatoeba	v2021-07-22	61305	490263	0	0	0
bible-uedin	v1	Tatoeba	v2021-03-10	61305	486354	0	0	0
bible-uedin	v1	Tatoeba	v2020-11-09	61305	482896	0	0	0
bible-uedin	v1	Tatoeba	v2020-05-31	61305	480007	0	0	0
bible-uedin	v1	Tatoeba	v20190709	61305	468411	0	0	0
bible-uedin	v1	TED2020	v1	61305	363771	0	0	0
bible-uedin	v1	EMEA	v3	61305	352671	0	0	0
bible-uedin	v1	wikimedia	v20210402	61305	331197	0	0	0
bible-uedin	v1	ELRC-1123-CORDIS_Results_Brief	v1	61305	252920	0	0	0
bible-uedin	v1	ELRC-CORDIS_Results	v1	61305	252920	0	0	0
bible-uedin	v1	NeuLab-TedTalks	v1	61305	212659	0	0	0
bible-uedin	v1	ECB	v1	61305	192767	0	0	0
bible-uedin	v1	KDE4	v2	61305	187402	0	0	0
bible-uedin	v1	TED2013	v1.1	61305	158226	0	0	0
bible-uedin	v1	Tatoeba	v2	61305	134123	0	0	0
bible-uedin	v1	Tanzil	v1	61305	128168	0	0	0
bible-uedin	v1	GlobalVoices	v2018q4	61305	123507	0	0	0
bible-uedin	v1	ELRC-1119-CORDIS_News	v1	61305	123346	0	0	0
bible-uedin	v1	ELRC-CORDIS_News	v1	61305	123346	0	0	0
bible-uedin	v1	GlobalVoices	v2017q3	61305	96725	0	0	0
bible-uedin	v1	GNOME	v1	61305	83471	0	0	0
bible-uedin	v1	GlobalVoices	v2015	61305	80254	0	0	0
bible-uedin	v1	News-Commentary	v14	61305	78536	0	0	0
bible-uedin	v1	News-Commentary	v16	61305	78535	0	0	0
bible-uedin	v1	ELITR-ECA	v1	61305	57473	0	0	0
bible-uedin	v1	News-Commentary	v11	61305	39984	0	0	0
bible-uedin	v1	ELRC-1101-EUIPO_list	v1	61305	35017	0	0	0
bible-uedin	v1	ELRC-EUIPO_list	v1	61305	35017	0	0	0
bible-uedin	v1	ELRA-W0150	v1	61305	35016	0	0	0
bible-uedin	v1	Books	v1	61305	32035	0	0	0
bible-uedin	v1	ELRC-5067-SciPar	v1	61305	31280	0	0	0
bible-uedin	v1	ELRC-1078-EUIPO_law	v1	61305	26535	0	0	0
bible-uedin	v1	ELRC-EUIPO_law	v1	61305	26535	0	0	0
bible-uedin	v1	ELRC-3561-EUR_LEX_covid	v1	61305	22510	0	0	0
bible-uedin	v1	ELRC-EUR_LEX	v1	61305	22510	0	0	0
bible-uedin	v1	Ubuntu	v14.10	61305	19187	0	0	0
bible-uedin	v1	News-Commentary	v9.0	61305	18489	0	0	0
bible-uedin	v1	News-Commentary	v9.1	61305	18489	0	0	0
bible-uedin	v1	ELRC-2020-EUIPO_2017	v1	61305	17220	0	0	0
bible-uedin	v1	ELRC-EUIPO_2017	v1	61305	17220	0	0	0
bible-uedin	v1	OpenSubtitles	v1	61305	17172	0	0	0
bible-uedin	v1	ELRC-2871-EU_publications_medi	v1	61305	13048	0	0	0
bible-uedin	v1	ELRC-EU_publications	v1	61305	13048	0	0	0
bible-uedin	v1	PHP	v1	61305	7996	0	0	0
bible-uedin	v1	ELRC-3602-presscorner_covid	v1	61305	6714	0	0	0
bible-uedin	v1	ELRC-presscorner_covid	v1	61305	6714	0	0	0
bible-uedin	v1	EUconst	v1	61305	6657	0	0	0
bible-uedin	v1	ELRC-5219-COVID_19_Parallel	v1	61305	4056	0	0	0
bible-uedin	v1	ELRC_3382	v1	61305	3712	0	0	0
bible-uedin	v1	ELRC-3054-wikipedia_health	v1	61305	3189	0	0	0
bible-uedin	v1	ELRC-wikipedia_health	v1	61305	3189	0	0	0
bible-uedin	v1	ELRC_2922	v1	61305	3188	0	0	0
bible-uedin	v1	WMT-News	v2019	61305	3026	0	0	0
bible-uedin	v1	ELRC-3460-EC_EUROPA_covid	v1	61305	2841	0	0	0
bible-uedin	v1	ELRC-EC_EUROPA	v1	61305	2841	0	0	0
bible-uedin	v1	ECDC	v2016-03-16	61305	2441	0	0	0
bible-uedin	v1	ELRC-3198-antibiotic	v1	61305	976	0	0	0
bible-uedin	v1	ELRC-antibiotic	v1	61305	976	0	0	0
bible-uedin	v1	ELRC-837-Legal	v1	61305	950	0	0	0
bible-uedin	v1	ELRC-845-Corpora_legal_text	v1	61305	907	0	0	0
bible-uedin	v1	ELRC-3289-EUROPARL_covid	v1	61305	649	0	0	0
bible-uedin	v1	ELRC-EUROPARL_covid	v1	61305	649	0	0	0
bible-uedin	v1	ELRC-2410-Portal_oficial_turis	v1	61305	600	0	0	0
bible-uedin	v1	ELRC_2923	v1	61305	542	0	0	0
bible-uedin	v1	ELRC-2743-vaccination	v1	61305	494	0	0	0
bible-uedin	v1	ELRC-vaccination	v1	61305	494	0	0	0
bible-uedin	v1	ELRC-844-PAeSI__Administratio	v1	61305	279	0	0	0
bible-uedin	v1	ELRC-832-CHARTER_VALUES_CITIZ	v1	61305	62	0	0	0
bible-uedin	v1	ELRC-416-Swedish_Social_Secur	v1	61305	56	0	0	0
bible-uedin	v1	ELRC_416	v1	61305	55	0	0	0
bible-uedin	v1	ELRC-403-Rights_Arrested	v1	61305	24	0	0	0
bible-uedin	v1	ELRA-W0301	v1	61305	20	0	0	0
bible-uedin	v1	ELRC-5220-Information_crime_vi	v1	61305	16	0	0	0
bible-uedin	v1	ELRC-Museus_2007	v1	61305	9	0	0	0
bible-uedin	v1	ELRC-2616-Museus_2007	v1	61305	5	0	0	0
bible-uedin	v1	ELRC-2617-Museus_2007_Part2	v1	61305	5	0	0	0
bible-uedin	v1	ELRC-2638-monumentos_2007	v1	61305	5	0	0	0
bible-uedin	v1	ELRC-2480-Estatuto_dos_Deputad	v1	61305	2	0	0	0
bible-uedin	v1	ELRC-2614-Localidades_2007	v1	61305	2	0	0	0
bible-uedin	v1	ELRC-Localidades_2007	v1	61305	2	0	0	0
