corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
bible-uedin	v1	ParaCrawl	v1	37732	8109947	5759	15.26	.07
bible-uedin	v1	CCMatrix	v1	37732	341802613	5746	15.22	0
bible-uedin	v1	NLLB	v1	37732	341230483	5738	15.20	0
bible-uedin	v1	MultiParaCrawl	v5	37732	22004783	5391	14.28	.02
bible-uedin	v1	ParaCrawl	v5	37732	22004783	5391	14.28	.02
bible-uedin	v1	ParaCrawl	v4	37732	12842958	5048	13.37	.03
bible-uedin	v1	MultiParaCrawl	v7.1	37732	39257674	4936	13.08	.01
bible-uedin	v1	ParaCrawl	v7.1	37732	39257674	4936	13.08	.01
bible-uedin	v1	MultiParaCrawl	v8	37732	85374905	3642	9.65	0
bible-uedin	v1	ParaCrawl	v8	37732	85374905	3642	9.65	0
bible-uedin	v1	MultiParaCrawl	v9	37732	81712132	3444	9.12	0
bible-uedin	v1	MultiParaCrawl	v9b	37732	81712132	3444	9.12	0
bible-uedin	v1	ParaCrawl	v9	37732	81712132	3444	9.12	0
bible-uedin	v1	MultiCCAligned	v1.1	37732	54679959	359	.95	0
bible-uedin	v1	MultiCCAligned	v1	37732	54679959	359	.95	0
bible-uedin	v1	CCAligned	v1	37732	54679929	359	.95	0
bible-uedin	v1	OpenSubtitles	v2018	37732	39284521	129	.34	0
bible-uedin	v1	WikiMatrix	v1	37732	11591297	129	.34	0
bible-uedin	v1	OpenSubtitles	v2016	37732	29541858	119	.31	0
bible-uedin	v1	OpenSubtitles	v2012	37732	10571066	94	.24	0
bible-uedin	v1	OpenSubtitles	v2013	37732	9810748	86	.22	0
bible-uedin	v1	QED	v2.0a	37732	773141	36	.09	0
bible-uedin	v1	Tatoeba	v2023-04-12	37732	820741	29	.07	0
bible-uedin	v1	Tatoeba	v2022-03-03	37732	786736	29	.07	0
bible-uedin	v1	Tatoeba	v2021-03-10	37732	766261	27	.07	0
bible-uedin	v1	Tatoeba	v2021-07-22	37732	761125	27	.07	0
bible-uedin	v1	Tatoeba	v2020-11-09	37732	756382	27	.07	0
bible-uedin	v1	Tatoeba	v2020-05-31	37732	738622	27	.07	0
bible-uedin	v1	Tatoeba	v20190709	37732	708047	26	.06	0
bible-uedin	v1	ELRC-4238-NTEU_TierA	v1	37732	12497652	19	.05	0
bible-uedin	v1	XLEnt	v1.1	37732	4941805	17	.04	0
bible-uedin	v1	XLEnt	v1.2	37732	4941805	17	.04	0
bible-uedin	v1	XLEnt	v1	37732	4941805	17	.04	0
bible-uedin	v1	TED2020	v1	37732	394583	16	.04	0
bible-uedin	v1	OpenSubtitles	v1	37732	71767	17	.04	.02
bible-uedin	v1	ELRC-4205-NTEU_TierA	v1	37732	9413424	14	.03	0
bible-uedin	v1	ELRC-4272-NTEU_TierA	v1	37732	8972931	14	.03	0
bible-uedin	v1	EUbookshop	v2	37732	8655670	12	.03	0
bible-uedin	v1	LinguaTools-WikiTitles	v2014	37732	1683454	15	.03	0
bible-uedin	v1	Tatoeba	v2	37732	170202	15	.03	0
bible-uedin	v1	Europarl	v8	37732	2062568	10	.02	0
bible-uedin	v1	Europarl	v7	37732	2062238	10	.02	0
bible-uedin	v1	Europarl	v3	37732	1367344	9	.02	0
bible-uedin	v1	Wikipedia	v1.0	37732	1067797	8	.02	0
bible-uedin	v1	NeuLab-TedTalks	v1	37732	239715	11	.02	0
bible-uedin	v1	ELRC-4210-NTEU_TierA	v1	37732	6094931	7	.01	0
bible-uedin	v1	ELRC-4177-NTEU_TierA	v1	37732	6025063	7	.01	0
bible-uedin	v1	ELRC-4139-NTEU_TierA	v1	37732	5654872	7	.01	0
bible-uedin	v1	ELRC-4191-NTEU_TierA	v1	37732	5361896	7	.01	0
