ParaCrawl	v9	31315288	10112/21264	47.55
ELRA-W0217	v1	9940	5971/21264	28.08
ELRC-716-Finnish_Information_	v1	9941	5971/21264	28.08
ELRC-Finnish_Information	v1	9941	5971/21264	28.08
CCMatrix	v1	35804134	4477/21264	21.05
CCAligned	v1	9646025	608/21264	2.85
ELRC-4239-NTEU_TierA	v1	12577938	223/21264	1.04
XLEnt	v1.1	2501315	99/21264	.46
XLEnt	v1	2501315	99/21264	.46
TildeMODEL	v2018	3022117	85/21264	.39
DGT	v2019	3624390	74/21264	.34
EUbookshop	v2	1828277	54/21264	.25
ELRC-2032-www.turku.fi	v1	17670	42/21264	.19
ELRC-www.turku.fi	v1	17670	42/21264	.19
KDE4	v2	97623	22/21264	.10
ELRC-1127-www.vtv.fi	v1	42629	20/21264	.09
ELRC-www.vtv.fi	v1	42629	20/21264	.09
ELRA-W0220	v1	53843	19/21264	.08
ELRC-724-Hallituskausi_2007_2	v1	53844	19/21264	.08
ELRC-2708-EMEA	v1	746684	17/21264	.07
ELRC-EMEA	v1	746684	17/21264	.07
ELRC-725-Hallituskausi_2011_2	v1	31351	16/21264	.07
wikimedia	v20210402	32290	16/21264	.07
GNOME	v1	13430	14/21264	.06
ELRC-2036-www.vero.fi	v1	21285	13/21264	.06
ELRC-www.vero.fi	v1	21285	13/21264	.06
OpenSubtitles	v2018	23382097	13/21264	.06
ELRC-735-www.norden.org	v1	42742	9/21264	.04
ELRC-www.norden.org	v1	42742	9/21264	.04
ECB	v1	157318	8/21264	.03
EMEA	v3	352115	7/21264	.03
ELRC-1771-vnk.fi	v1	31527	6/21264	.02
ELRC-416-Swedish_Social_Secur	v1	488	6/21264	.02
ELRC_416	v1	487	6/21264	.02
ELRC-vnk.fi	v1	31527	6/21264	.02
Europarl	v8	1920092	5/21264	.02
QED	v2.0a	96483	4/21264	.01
Tatoeba	v20190709	78808	4/21264	.01
Tatoeba	v2020-05-31	79685	4/21264	.01
Tatoeba	v2020-11-09	79854	4/21264	.01
Tatoeba	v2021-03-10	80040	4/21264	.01
Tatoeba	v2021-07-22	80545	4/21264	.01
Tatoeba	v2022-03-03	81194	4/21264	.01
WikiMatrix	v1	375724	4/21264	.01
ELRC-1769-valtioneuvosto.fi	v1	49316	3/21264	.01
ELRC-2017-EUIPO_2017	v1	16802	3/21264	.01
ELRC-2869-EU_publications_medi	v1	12933	3/21264	.01
ELRC-EUIPO_2017	v1	16802	3/21264	.01
ELRC-EU_publications	v1	12933	3/21264	.01
ELRC-valtioneuvosto.fi	v1	49316	3/21264	.01
OpenSubtitles	v1	103215	3/21264	.01
ELRC-1128-www.visitestonia.com	v1	14606	2/21264	0
ELRC-www.visitestonia.com	v1	14606	2/21264	0
JRC-Acquis	v3.0	13077	2/21264	0
Tatoeba	v2	12207	2/21264	0
Ubuntu	v14.10	8138	2/21264	0
bible-uedin	v1	61310	0/21264	0
Books	v1	3634	0/21264	0
ELITR-ECA	v1	321871	0/21264	0
ELRA-W0305	v1	15	0/21264	0
ELRC-2739-vaccination	v1	471	0/21264	0
ELRC_2922	v1	333	0/21264	0
ELRC_2923	v1	396	0/21264	0
ELRC-3045-wikipedia_health	v1	334	0/21264	0
ELRC-3196-antibiotic	v1	882	0/21264	0
ELRC-3287-EUROPARL_covid	v1	695	0/21264	0
ELRC_3382	v1	3355	0/21264	0
ELRC-3458-EC_EUROPA_covid	v1	2598	0/21264	0
ELRC-3559-EUR_LEX_covid	v1	21735	0/21264	0
ELRC-3600-presscorner_covid	v1	6752	0/21264	0
ELRC-401-Swedish_Labour_Part2	v1	171	0/21264	0
ELRC-406-Swedish_Labour_Part1	v1	41	0/21264	0
ELRC-436-Swedish_Food	v1	16	0/21264	0
ELRC-4995-Finnish_Financial_MT	v1	1001	0/21264	0
ELRC-5067-SciPar	v1	457342	0/21264	0
ELRC-antibiotic	v1	882	0/21264	0
ELRC-EC_EUROPA	v1	2598	0/21264	0
ELRC-EUR_LEX	v1	21735	0/21264	0
ELRC-EUROPARL_covid	v1	695	0/21264	0
ELRC-presscorner_covid	v1	6752	0/21264	0
ELRC-Swedish_Labour	v1	211	0/21264	0
ELRC-vaccination	v1	471	0/21264	0
ELRC-wikipedia_health	v1	334	0/21264	0
EUconst	v1	6609	0/21264	0
PHP	v1	916	0/21264	0
TED2020	v1	43555	0/21264	0
WMT-News	v2019	18820	0/21264	0
