corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
tico-19	v2020-10-28	CCMatrix	v1	3070	7247808	0	0	0
tico-19	v2020-10-28	CCAligned	v1	3070	876702	0	0	0
tico-19	v2020-10-28	XLEnt	v1.1	3070	633344	0	0	0
tico-19	v2020-10-28	XLEnt	v1	3070	633344	0	0	0
tico-19	v2020-10-28	wikimedia	v20210402	3070	117969	0	0	0
tico-19	v2020-10-28	WikiMatrix	v1	3070	95157	0	0	0
tico-19	v2020-10-28	Tanzil	v1	3070	92356	0	0	0
tico-19	v2020-10-28	KDE4	v2	3070	79238	0	0	0
tico-19	v2020-10-28	pmindia	v1	3070	39516	0	0	0
tico-19	v2020-10-28	Joshua-IPC	v1	3070	33605	0	0	0
tico-19	v2020-10-28	OpenSubtitles	v2018	3070	28062	0	0	0
tico-19	v2020-10-28	TED2020	v1	3070	11032	0	0	0
tico-19	v2020-10-28	QED	v2.0a	3070	7430	0	0	0
tico-19	v2020-10-28	GNOME	v1	3070	3979	0	0	0
tico-19	v2020-10-28	Ubuntu	v14.10	3070	3880	0	0	0
tico-19	v2020-10-28	Tatoeba	v2020-11-09	3070	312	0	0	0
tico-19	v2020-10-28	Tatoeba	v2021-03-10	3070	312	0	0	0
tico-19	v2020-10-28	Tatoeba	v2021-07-22	3070	312	0	0	0
tico-19	v2020-10-28	Tatoeba	v2022-03-03	3070	312	0	0	0
tico-19	v2020-10-28	Tatoeba	v2020-05-31	3070	311	0	0	0
tico-19	v2020-10-28	Tatoeba	v20190709	3070	310	0	0	0
tico-19	v2020-10-28	ELRC-3068-wikipedia_health	v1	3070	217	0	0	0
tico-19	v2020-10-28	ELRC-wikipedia_health	v1	3070	217	0	0	0
tico-19	v2020-10-28	ELRC_2922	v1	3070	216	0	0	0
