corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
tico-19	v2020-10-28	NLLB	v1	3070	63325255	245	7.98	0
tico-19	v2020-10-28	MultiCCAligned	v1	3070	6516373	0	0	0
tico-19	v2020-10-28	CCAligned	v1	3070	6516255	0	0	0
tico-19	v2020-10-28	CCMatrix	v1	3070	3100965	0	0	0
tico-19	v2020-10-28	XLEnt	v1.1	3070	1062507	0	0	0
tico-19	v2020-10-28	XLEnt	v1.2	3070	1062507	0	0	0
tico-19	v2020-10-28	XLEnt	v1	3070	1062507	0	0	0
tico-19	v2020-10-28	MultiParaCrawl	v7.1	3070	243178	0	0	0
tico-19	v2020-10-28	ParaCrawl	v8	3070	243178	0	0	0
tico-19	v2020-10-28	ParaCrawl	v9	3070	243178	0	0	0
tico-19	v2020-10-28	ParaCrawl	v7.1	3070	243177	0	0	0
tico-19	v2020-10-28	WikiMatrix	v1	3070	75447	0	0	0
tico-19	v2020-10-28	wikimedia	v20230407	3070	69292	0	0	0
tico-19	v2020-10-28	bible-uedin	v1	3070	61599	0	0	0
tico-19	v2020-10-28	wikimedia	v20210402	3070	40716	0	0	0
tico-19	v2020-10-28	OpenSubtitles	v2018	3070	14704	0	0	0
tico-19	v2020-10-28	Tatoeba	v2023-04-12	3070	8775	0	0	0
tico-19	v2020-10-28	OpenSubtitles	v2016	3070	7495	0	0	0
tico-19	v2020-10-28	Tatoeba	v2022-03-03	3070	7347	0	0	0
tico-19	v2020-10-28	Tatoeba	v2021-07-22	3070	7297	0	0	0
tico-19	v2020-10-28	Tatoeba	v2021-03-10	3070	7277	0	0	0
tico-19	v2020-10-28	Tatoeba	v2020-11-09	3070	7259	0	0	0
tico-19	v2020-10-28	Tatoeba	v2020-05-31	3070	7253	0	0	0
tico-19	v2020-10-28	Tatoeba	v20190709	3070	6787	0	0	0
tico-19	v2020-10-28	Ubuntu	v14.10	3070	5043	0	0	0
tico-19	v2020-10-28	Tatoeba	v2	3070	4912	0	0	0
tico-19	v2020-10-28	QED	v2.0a	3070	2815	0	0	0
tico-19	v2020-10-28	TED2020	v1	3070	1167	0	0	0
tico-19	v2020-10-28	GNOME	v1	3070	468	0	0	0
tico-19	v2020-10-28	ELRC-3067-wikipedia_health	v1	3070	358	0	0	0
tico-19	v2020-10-28	ELRC-wikipedia_health	v1	3070	358	0	0	0
tico-19	v2020-10-28	ELRC_2922	v1	3070	357	0	0	0
