corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
tldr-pages	v2023-08-29	MultiCCAligned	v1.1	623	21416605	5	.80	0
tldr-pages	v2023-08-29	MultiCCAligned	v1	623	21416605	5	.80	0
tldr-pages	v2023-08-29	CCAligned	v1	623	21416601	5	.80	0
tldr-pages	v2023-08-29	XLEnt	v1.1	623	4998401	2	.32	0
tldr-pages	v2023-08-29	XLEnt	v1.2	623	4998401	2	.32	0
tldr-pages	v2023-08-29	XLEnt	v1	623	4998401	2	.32	0
tldr-pages	v2023-08-29	KDE4	v2	623	100210	2	.32	0
tldr-pages	v2023-08-29	OpenOffice	v3	623	42638	2	.32	0
tldr-pages	v2023-08-29	Mozilla-I10n	v1	623	31514	2	.32	0
tldr-pages	v2023-08-29	CCMatrix	v1	623	148110109	1	.16	0
tldr-pages	v2023-08-29	NLLB	v1	623	148109607	1	.16	0
tldr-pages	v2023-08-29	OpenSubtitles	v2018	623	2182897	1	.16	0
tldr-pages	v2023-08-29	OpenSubtitles	v2016	623	1644301	1	.16	0
tldr-pages	v2023-08-29	QED	v2.0a	623	916537	1	.16	0
tldr-pages	v2023-08-29	OpenSubtitles	v2013	623	413936	1	.16	0
tldr-pages	v2023-08-29	GNOME	v1	623	1182	1	.16	.08
tldr-pages	v2023-08-29	JParaCrawl	v3.0	623	20891161	0	0	0
tldr-pages	v2023-08-29	WikiMatrix	v1	623	13947997	0	0	0
tldr-pages	v2023-08-29	JESC	v2019-12-05	623	2452879	0	0	0
tldr-pages	v2023-08-29	LinguaTools-WikiTitles	v2014	623	1036385	0	0	0
tldr-pages	v2023-08-29	WikiTitles	v3	623	680582	0	0	0
tldr-pages	v2023-08-29	KFTT	v1.0	623	420956	0	0	0
tldr-pages	v2023-08-29	wikimedia	v20230407	623	401267	0	0	0
tldr-pages	v2023-08-29	TED2020	v1	623	356086	0	0	0
tldr-pages	v2023-08-29	OpenSubtitles	v2012	623	314267	0	0	0
tldr-pages	v2023-08-29	wikimedia	v20210402	623	262143	0	0	0
tldr-pages	v2023-08-29	Tatoeba	v2023-04-12	623	243187	0	0	0
tldr-pages	v2023-08-29	Tatoeba	v2022-03-03	623	223161	0	0	0
tldr-pages	v2023-08-29	Tatoeba	v2021-07-22	623	214515	0	0	0
tldr-pages	v2023-08-29	NeuLab-TedTalks	v1	623	212489	0	0	0
tldr-pages	v2023-08-29	Tatoeba	v2021-03-10	623	207594	0	0	0
tldr-pages	v2023-08-29	Tatoeba	v2020-11-09	623	201078	0	0	0
tldr-pages	v2023-08-29	Tatoeba	v2020-05-31	623	193826	0	0	0
tldr-pages	v2023-08-29	Tatoeba	v20190709	623	187030	0	0	0
tldr-pages	v2023-08-29	Tatoeba	v2	623	175598	0	0	0
tldr-pages	v2023-08-29	OpenSubtitles	v1	623	15183	0	0	0
tldr-pages	v2023-08-29	Tanzil	v1	623	6168	0	0	0
tldr-pages	v2023-08-29	wikimedia	v20190628	623	2752	0	0	0
tldr-pages	v2023-08-29	News-Commentary	v16	623	1064	0	0	0
tldr-pages	v2023-08-29	News-Commentary	v11	623	978	0	0	0
tldr-pages	v2023-08-29	News-Commentary	v14	623	978	0	0	0
tldr-pages	v2023-08-29	News-Commentary	v9.0	623	677	0	0	0
tldr-pages	v2023-08-29	News-Commentary	v9.1	623	677	0	0	0
tldr-pages	v2023-08-29	KDEdoc	v1	623	183	0	0	0
tldr-pages	v2023-08-29	EUbookshop	v2	623	138	0	0	0
tldr-pages	v2023-08-29	Ubuntu	v14.10	623	45	0	0	0
tldr-pages	v2023-08-29	MDN_Web_Docs	v2023-09-25	623	27	0	0	0
