corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
wikimedia	v20190628	wikimedia	v20230407	30	145	18	60.00	12.41
wikimedia	v20190628	wikimedia	v20210402	30	54	18	60.00	33.33
wikimedia	v20190628	Tanzil	v1	30	92059	0	0	0
wikimedia	v20190628	Ubuntu	v14.10	30	5690	0	0	0
wikimedia	v20190628	QED	v2.0a	30	1049	0	0	0
wikimedia	v20190628	GNOME	v1	30	53	0	0	0
wikimedia	v20190628	Tatoeba	v2021-07-22	30	5	0	0	0
wikimedia	v20190628	Tatoeba	v2022-03-03	30	5	0	0	0
wikimedia	v20190628	Tatoeba	v2023-04-12	30	5	0	0	0
wikimedia	v20190628	Tatoeba	v2020-11-09	30	4	0	0	0
wikimedia	v20190628	Tatoeba	v2021-03-10	30	4	0	0	0
