corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
wikimedia	v20190628	wikimedia	v20230407	181	919	82	45.30	8.92
wikimedia	v20190628	wikimedia	v20210402	181	557	82	45.30	14.72
wikimedia	v20190628	Ubuntu	v14.10	181	8687	1	.55	.01
wikimedia	v20190628	NLLB	v1	181	6724345	0	0	0
wikimedia	v20190628	CCMatrix	v1	181	310023	0	0	0
wikimedia	v20190628	XLEnt	v1.1	181	57951	0	0	0
wikimedia	v20190628	XLEnt	v1	181	57951	0	0	0
wikimedia	v20190628	XLEnt	v1.2	181	57951	0	0	0
wikimedia	v20190628	GNOME	v1	181	5973	0	0	0
wikimedia	v20190628	bible-uedin	v1	181	1350	0	0	0
wikimedia	v20190628	Tatoeba	v2023-04-12	181	956	0	0	0
wikimedia	v20190628	Tatoeba	v2022-03-03	181	955	0	0	0
wikimedia	v20190628	Tatoeba	v2021-03-10	181	954	0	0	0
wikimedia	v20190628	Tatoeba	v2021-07-22	181	954	0	0	0
wikimedia	v20190628	Tatoeba	v2020-11-09	181	916	0	0	0
wikimedia	v20190628	Tatoeba	v2020-05-31	181	915	0	0	0
wikimedia	v20190628	Tatoeba	v20190709	181	913	0	0	0
wikimedia	v20190628	Tatoeba	v2	181	308	0	0	0
wikimedia	v20190628	EUbookshop	v2	181	100	0	0	0
wikimedia	v20190628	QED	v2.0a	181	27	0	0	0
