corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
wikimedia	v20190628	wikimedia	v20210402	2221	18939	770	34.66	4.06
wikimedia	v20190628	wikimedia	v20230407	2221	40443	769	34.62	1.90
wikimedia	v20190628	MultiCCAligned	v1	2221	9327209	57	2.56	0
wikimedia	v20190628	CCAligned	v1	2221	9327047	57	2.56	0
wikimedia	v20190628	XLEnt	v1.1	2221	2717963	52	2.34	0
wikimedia	v20190628	XLEnt	v1	2221	2717963	52	2.34	0
wikimedia	v20190628	XLEnt	v1.2	2221	2717963	52	2.34	0
wikimedia	v20190628	ELRC-4142-NTEU_TierA	v1	2221	2273079	40	1.80	0
wikimedia	v20190628	OpenSubtitles	v2018	2221	28591047	21	.94	0
wikimedia	v20190628	KDE4	v2	2221	81410	20	.90	.02
wikimedia	v20190628	OpenSubtitles	v2016	2221	22002428	19	.85	0
wikimedia	v20190628	CCMatrix	v1	2221	18694537	18	.81	0
wikimedia	v20190628	NLLB	v1	2221	18694206	18	.81	0
wikimedia	v20190628	WikiMatrix	v1	2221	259499	17	.76	0
wikimedia	v20190628	TildeMODEL	v2018	2221	736487	14	.63	0
wikimedia	v20190628	ParaCrawl	v8	2221	11063124	11	.49	0
wikimedia	v20190628	Ubuntu	v14.10	2221	13128	10	.45	.07
wikimedia	v20190628	GNOME	v1	2221	8921	10	.45	.11
wikimedia	v20190628	ELRC-2706-EMEA	v1	2221	644560	8	.36	0
wikimedia	v20190628	ELRC-EMEA	v1	2221	644560	8	.36	0
wikimedia	v20190628	ELRC-2542-Agriculture	v1	2221	68113	5	.22	0
wikimedia	v20190628	DGT	v2019	2221	668790	4	.18	0
wikimedia	v20190628	QED	v2.0a	2221	196487	4	.18	0
wikimedia	v20190628	ELRC-2541-Regional_Development	v1	2221	7903	3	.13	.03
wikimedia	v20190628	ELRC-Regional_Development	v1	2221	7903	3	.13	.03
wikimedia	v20190628	HPLT	v1	2221	9310276	2	.09	0
wikimedia	v20190628	ParaCrawl	v7.1	2221	6959288	2	.09	0
wikimedia	v20190628	MultiParaCrawl	v7.1	2221	6959286	2	.09	0
wikimedia	v20190628	ELRC-943-Journal_Croatian_Ass	v1	2221	18478	2	.09	.01
wikimedia	v20190628	ELRA-W0273	v1	2221	18477	2	.09	.01
wikimedia	v20190628	ELRC-2866-EU_publications_medi	v1	2221	12820	2	.09	.01
wikimedia	v20190628	ELRC-EU_publications	v1	2221	12820	2	.09	.01
wikimedia	v20190628	ELRC-788-Croatian_Bank	v1	2221	11708	2	.09	.01
wikimedia	v20190628	ELRA-W0226	v1	2221	11707	2	.09	.01
wikimedia	v20190628	ParaCrawl	v9	2221	3240421	1	.04	0
wikimedia	v20190628	SETIMES	v2	2221	204109	1	.04	0
wikimedia	v20190628	ELRC-4329-PRINCIPLE_MVEP_legal	v1	2221	40102	1	.04	0
wikimedia	v20190628	EUbookshop	v2	2221	5750	1	.04	.01
wikimedia	v20190628	ELRC-984-Government_Cooperati	v1	2221	1026	1	.04	.09
wikimedia	v20190628	ELRA-W0291	v1	2221	1025	1	.04	.09
wikimedia	v20190628	ParaCrawl	v5	2221	1846962	0	0	0
wikimedia	v20190628	ParaCrawl	v4	2221	995511	0	0	0
wikimedia	v20190628	ELRC-5067-SciPar	v1	2221	806581	0	0	0
wikimedia	v20190628	TED2020	v1	2221	192409	0	0	0
wikimedia	v20190628	SETIMES	v1	2221	158180	0	0	0
wikimedia	v20190628	ELITR-ECA	v1	2221	157728	0	0	0
wikimedia	v20190628	EuroPat	v3	2221	154775	0	0	0
wikimedia	v20190628	NeuLab-TedTalks	v1	2221	124970	0	0	0
wikimedia	v20190628	hrenWaC	v1	2221	96379	0	0	0
wikimedia	v20190628	TedTalks	v1	2221	81962	0	0	0
wikimedia	v20190628	EuroPat	v2	2221	75105	0	0	0
wikimedia	v20190628	bible-uedin	v1	2221	61623	0	0	0
wikimedia	v20190628	ELRC-3556-EUR_LEX_covid	v1	2221	21997	0	0	0
wikimedia	v20190628	ELRC-EUR_LEX	v1	2221	21997	0	0	0
wikimedia	v20190628	ELRC-651-government_websites_	v1	2221	21334	0	0	0
wikimedia	v20190628	ELRC-government_websites	v1	2221	21334	0	0	0
wikimedia	v20190628	ELRA-W0204	v1	2221	21333	0	0	0
wikimedia	v20190628	ELRC-1174-EUIPO_2017	v1	2221	17203	0	0	0
wikimedia	v20190628	ELRC-EUIPO_2017	v1	2221	17203	0	0	0
wikimedia	v20190628	ELRC-1015-Croatian_Mine_Action	v1	2221	13354	0	0	0
wikimedia	v20190628	ELRA-W0131	v1	2221	13353	0	0	0
wikimedia	v20190628	ELRC-921-studies_challenges_C	v1	2221	11780	0	0	0
wikimedia	v20190628	ELRA-W0266	v1	2221	11779	0	0	0
wikimedia	v20190628	ELRC-915-statistical_reports_	v1	2221	11660	0	0	0
wikimedia	v20190628	ELRC-statistical_reports	v1	2221	11660	0	0	0
wikimedia	v20190628	ELRA-W0264	v1	2221	11659	0	0	0
wikimedia	v20190628	ELRC-3597-presscorner_covid	v1	2221	6642	0	0	0
wikimedia	v20190628	ELRC-presscorner_covid	v1	2221	6642	0	0	0
wikimedia	v20190628	OpenSubtitles	v1	2221	6635	0	0	0
wikimedia	v20190628	ELRC-992-Rural_Development_Pr	v1	2221	5185	0	0	0
wikimedia	v20190628	ELRC-Rural_Development	v1	2221	5185	0	0	0
wikimedia	v20190628	ELRC_3382	v1	2221	3668	0	0	0
wikimedia	v20190628	ELRC-989-Foreign_Affairs_Croa	v1	2221	3103	0	0	0
wikimedia	v20190628	ELRC-Foreign_Affairs	v1	2221	3103	0	0	0
wikimedia	v20190628	ELRA-W0293	v1	2221	3102	0	0	0
wikimedia	v20190628	ELRC-3478-EC_EUROPA_covid	v1	2221	2595	0	0	0
wikimedia	v20190628	ELRC-EC_EUROPA	v1	2221	2595	0	0	0
wikimedia	v20190628	Tatoeba	v2023-04-12	2221	2444	0	0	0
wikimedia	v20190628	Tatoeba	v2022-03-03	2221	2431	0	0	0
